date,infected,exposed,active,recovered,deaths,diff_exposed,diff_active,diff_recovered,diff_deaths
2020-05-29,152255.0,30055.0,53199.0,98559.297,496.703,-775.62057,-495.36713,7138.282,35.974
2020-05-30,158870.729,29317.865,52666.394,105671.787,532.548,-679.77624,-587.34929,7066.816,35.614
2020-05-31,165330.213,28665.526,52053.742,112708.461,568.01,-611.34524,-649.6931,6984.61,35.2
2020-06-01,171650.139,28073.906,51387.111,119659.985,603.043,-562.05045,-691.26438,6895.161,34.749
2020-06-02,177842.495,27526.197,50684.775,126520.105,637.616,-526.11213,-718.26254,6800.921,34.274
2020-06-03,183915.989,27010.67,49959.561,133284.721,671.707,-499.49425,-735.02393,6703.611,33.784
2020-06-04,189877.039,26519.14,49220.484,139951.251,705.304,-479.3785,-744.58304,6604.441,33.284
2020-06-05,195730.466,26045.899,48473.889,146518.178,738.399,-463.79697,-749.06444,6504.263,32.779
2020-06-06,201479.978,25586.964,47724.256,152984.734,770.988,-451.37579,-749.95661,6403.676,32.272
2020-06-07,207128.505,25139.563,46974.753,159350.682,803.07,-441.15603,-748.30332,6303.107,31.765
2020-06-08,212678.438,24701.764,46227.63,165616.162,834.646,-432.46865,-744.83735,6202.858,31.26
2020-06-09,218131.789,24272.222,45484.494,171781.578,865.717,-424.84716,-740.07393,6103.143,30.758
2020-06-10,223490.311,23850.003,44746.495,177847.529,896.287,-417.96659,-734.37609,6004.118,30.259
2020-06-11,228755.571,23434.457,44014.465,183814.747,926.36,-411.60085,-728.00032,5905.894,29.764
2020-06-12,233929.013,23025.132,43289.008,189684.066,955.939,-405.59295,-721.12851,5808.552,29.273
2020-06-13,239011.991,22621.715,42570.569,195456.391,985.03,-399.83414,-713.89032,5712.151,28.787
2020-06-14,244005.797,22223.986,41859.478,201132.683,1013.636,-394.2494,-706.37874,5616.736,28.306
2020-06-15,248911.683,21831.793,41155.979,206713.94,1041.764,-388.78724,-698.66108,5522.34,27.831
2020-06-16,253730.869,21445.027,40460.26,212201.191,1069.417,-383.4126,-690.78654,5428.988,27.36
2020-06-17,258464.553,21063.61,39772.464,217595.487,1096.603,-378.10185,-682.79165,5336.699,26.895
2020-06-18,263113.92,20687.485,39092.698,222897.897,1123.325,-372.83935,-674.70394,5245.488,26.435
2020-06-19,267680.142,20316.608,38421.049,228109.503,1149.59,-367.61497,-666.54461,5155.365,25.981
2020-06-20,272164.381,19950.942,37757.581,233231.398,1175.402,-362.42244,-658.33032,5066.341,25.533
2020-06-21,276567.794,19590.459,37102.344,238264.682,1200.768,-357.25814,-650.07451,4978.42,25.089
2020-06-22,280891.529,19235.129,36455.375,243210.461,1225.693,-352.12025,-641.7883,4891.61,24.652
2020-06-23,285136.73,18884.928,35816.701,248069.847,1250.183,-347.00819,-633.48109,4805.912,24.22
2020-06-24,289304.534,18539.829,35186.339,252843.953,1274.242,-341.92222,-625.16105,4721.329,23.794
2020-06-25,293396.073,18199.806,34564.3,257533.895,1297.878,-336.86314,-616.83539,4637.864,23.373
2020-06-26,297412.473,17864.832,33950.586,262140.791,1321.095,-331.8321,-608.5106,4555.515,22.958
2020-06-27,301354.852,17534.878,33345.196,266665.757,1343.899,-326.83045,-600.1926,4474.283,22.549
2020-06-28,305224.325,17209.914,32748.119,271109.91,1366.296,-321.85968,-591.88684,4394.167,22.145
2020-06-29,309021.997,16889.909,32159.342,275474.364,1388.291,-316.92131,-583.5984,4315.165,21.747
2020-06-30,312748.969,16574.829,31578.845,279760.233,1409.891,-312.01689,-575.33204,4237.273,21.354
2020-07-01,316406.33,16264.641,31006.605,283968.626,1431.099,-307.14791,-567.09222,4160.49,20.967
2020-07-02,319995.167,15959.308,30442.594,288100.649,1451.923,-302.31585,-558.88313,4084.81,20.586
2020-07-03,323516.553,15658.793,29886.779,292157.406,1472.368,-297.5221,-550.70877,4010.23,20.21
2020-07-04,326971.558,15363.057,29339.125,296139.994,1492.439,-292.76802,-542.57287,3936.746,19.84
2020-07-05,330361.239,15072.059,28799.59,300049.507,1512.141,-288.05485,-534.47899,3864.351,19.475
2020-07-06,333686.646,14785.76,28268.133,303887.032,1531.481,-283.38379,-526.43048,3793.039,19.116
2020-07-07,336948.819,14504.115,27744.707,307653.649,1550.463,-278.75595,-518.43052,3722.806,18.762
2020-07-08,340148.79,14227.081,27229.261,311350.435,1569.094,-274.17237,-510.4821,3653.643,18.413
2020-07-09,343287.579,13954.614,26721.744,314978.458,1587.378,-269.63399,-502.58803,3585.544,18.07
2020-07-10,346366.198,13686.668,26222.099,318538.778,1605.321,-265.14172,-494.75098,3518.501,17.732
2020-07-11,349385.646,13423.197,25730.269,322032.45,1622.927,-260.69634,-486.97343,3452.507,17.399
2020-07-12,352346.916,13164.154,25246.194,325460.518,1640.204,-256.29862,-479.25774,3387.553,17.072
2020-07-13,355250.986,12909.49,24769.811,328824.02,1657.155,-251.94921,-471.60608,3323.632,16.75
2020-07-14,358098.825,12659.157,24301.055,332123.986,1673.785,-247.64873,-464.02052,3260.734,16.433
2020-07-15,360891.393,12413.107,23839.859,335361.434,1690.101,-243.39771,-456.50295,3198.85,16.121
2020-07-16,363629.637,12171.288,23386.154,338537.377,1706.106,-239.19664,-449.05516,3137.972,15.814
2020-07-17,366314.493,11933.652,22939.871,341652.815,1721.807,-235.04594,-441.67877,3078.089,15.512
2020-07-18,368946.885,11700.148,22500.936,344708.741,1737.208,-230.94596,-434.37532,3019.192,15.216
2020-07-19,371527.729,11470.724,22069.278,347706.138,1752.314,-226.89703,-427.14618,2961.272,14.924
2020-07-20,374057.927,11245.33,21644.82,350645.977,1767.129,-222.8994,-419.99264,2904.318,14.637
2020-07-21,376538.369,11023.915,21227.487,353529.222,1781.66,-218.95328,-412.91586,2848.32,14.355
