Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-12,7294,23,87,6885,322,6,0,8,0
2020-07-13,7298,29,84,6892,322,5,0,7,0
2020-07-14,7306,33,83,6900,323,4,0,7,0
2020-07-15,7312,36,82,6907,323,3,0,7,0
2020-07-16,7319,39,82,6914,323,2,0,7,0
2020-07-17,7327,41,82,6921,324,2,1,7,0
2020-07-18,7335,43,83,6928,324,2,1,7,0
2020-07-19,7343,45,84,6935,324,2,1,7,0
2020-07-20,7353,47,85,6943,325,1,1,7,0
2020-07-21,7362,48,87,6950,325,1,2,8,0
2020-07-22,7371,49,88,6958,325,1,2,8,0
2020-07-23,7381,50,90,6965,326,1,2,8,0
2020-07-24,7391,52,92,6973,326,1,2,8,0
2020-07-25,7401,53,93,6981,327,1,2,8,0
2020-07-26,7411,54,95,6989,327,1,2,8,0
2020-07-27,7422,55,97,6998,327,1,2,8,0
2020-07-28,7433,56,99,7006,328,1,2,9,0
2020-07-29,7444,58,101,7015,328,1,2,9,0
2020-07-30,7456,59,103,7024,329,1,2,9,0
2020-07-31,7468,60,106,7033,329,1,2,9,0
2020-08-01,7479,61,108,7042,329,1,2,9,0
2020-08-02,7492,63,110,7052,330,1,2,10,0
2020-08-03,7503,64,112,7061,330,1,2,10,0
2020-08-04,7517,65,115,7071,331,1,2,10,0
2020-08-05,7529,67,117,7081,331,1,2,10,0
2020-08-06,7543,68,120,7091,332,1,2,10,0
2020-08-07,7556,70,122,7102,332,1,3,11,0
2020-08-08,7571,71,125,7113,333,1,3,11,1
2020-08-09,7583,72,127,7123,333,2,3,11,1
2020-08-10,7599,74,130,7135,334,2,3,11,1
2020-08-11,7613,76,133,7146,334,2,3,12,1
2020-08-12,7628,77,135,7158,335,2,3,12,1
2020-08-13,7642,79,138,7169,335,2,3,12,1
2020-08-14,7658,80,141,7181,336,2,3,12,1
2020-08-15,7675,82,144,7194,337,2,3,13,1
2020-08-16,7690,84,147,7206,337,2,3,13,1
2020-08-17,7707,86,150,7219,338,2,3,13,1
2020-08-18,7723,87,153,7232,338,2,3,13,1
2020-08-19,7742,89,157,7246,339,2,3,14,1
2020-08-20,7760,91,160,7260,340,2,3,14,1
2020-08-21,7777,93,163,7274,340,2,3,14,1
2020-08-22,7796,95,167,7288,341,2,3,14,1
2020-08-23,7814,97,170,7302,342,2,4,15,1
2020-08-24,7833,99,174,7317,342,2,4,15,1
2020-08-25,7853,101,177,7333,343,2,4,15,1
2020-08-26,7873,103,181,7348,344,2,4,16,1
2020-08-27,7893,105,185,7364,344,2,4,16,1
2020-08-28,7914,108,189,7380,345,2,4,16,1
2020-08-29,7936,110,193,7397,346,2,4,17,1
2020-08-30,7957,112,197,7413,347,2,4,17,1
2020-08-31,7980,114,201,7431,348,2,4,17,1
2020-09-01,8001,117,205,7448,348,2,4,18,1
2020-09-02,8024,119,209,7466,349,2,4,18,1
2020-09-03,8049,122,214,7485,350,3,4,19,1
2020-09-04,8072,124,218,7503,351,3,5,19,1
2020-09-05,8097,127,223,7522,352,3,5,19,1
2020-09-06,8122,130,227,7542,353,3,5,20,1
2020-09-07,8148,132,232,7562,354,3,5,20,1
2020-09-08,8174,135,237,7582,355,3,5,21,1
2020-09-09,8201,138,242,7603,356,3,5,21,1
2020-09-10,8228,141,247,7624,357,3,5,21,1
2020-09-11,8256,144,252,7646,358,3,5,22,1
2020-09-12,8285,147,258,7668,359,3,5,22,1
2020-09-13,8313,150,263,7690,360,3,5,23,1
2020-09-14,8342,153,268,7713,361,3,6,23,1
2020-09-15,8373,156,274,7737,362,3,6,24,1
2020-09-16,8404,159,280,7761,363,3,6,24,1
2020-09-17,8435,163,286,7785,364,3,6,25,1
2020-09-18,8467,166,292,7810,365,3,6,25,1
2020-09-19,8501,170,298,7836,367,4,6,26,1
2020-09-20,8534,173,304,7862,368,4,6,26,1
2020-09-21,8567,177,310,7888,369,4,6,27,1
2020-09-22,8603,181,317,7916,370,4,7,28,1
2020-09-23,8639,184,324,7943,372,4,7,28,1
2020-09-24,8675,188,330,7972,373,4,7,29,1
2020-09-25,8712,192,337,8001,374,4,7,29,1
2020-09-26,8750,196,344,8030,376,4,7,30,1
2020-09-27,8789,200,352,8060,377,4,7,31,1
2020-09-28,8828,204,359,8091,378,4,7,31,1
2020-09-29,8868,209,366,8122,380,4,8,32,1
2020-09-30,8910,213,374,8155,381,4,8,32,2
2020-10-01,8952,218,382,8187,383,5,8,33,2
2020-10-02,8996,222,390,8221,385,5,8,34,2
2020-10-03,9039,227,398,8255,386,5,8,35,2
2020-10-04,9084,232,406,8290,388,5,8,35,2
2020-10-05,9129,236,415,8325,389,5,9,36,2
2020-10-06,9177,241,424,8362,391,5,9,37,2
2020-10-07,9225,246,433,8399,393,5,9,38,2
2020-10-08,9274,252,442,8437,395,5,9,38,2
2020-10-09,9322,257,451,8475,396,5,9,39,2
