Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-23,4952,844,1450,3396,106,70,34,128,4
2020-06-24,5123,911,1488,3525,110,63,43,131,4
2020-06-25,5306,973,1534,3658,114,59,51,135,4
2020-06-26,5501,1030,1588,3795,118,56,58,140,4
2020-06-27,5708,1086,1648,3937,123,55,63,145,5
2020-06-28,5924,1141,1713,4084,127,55,68,151,5
2020-06-29,6151,1196,1782,4237,132,55,72,157,5
2020-06-30,6390,1251,1856,4397,137,56,77,164,5
2020-07-01,6639,1308,1934,4563,142,58,81,171,5
2020-07-02,6900,1367,2017,4736,147,60,85,178,6
2020-07-03,7173,1428,2103,4917,153,62,89,185,6
2020-07-04,7457,1490,2193,5105,159,64,93,193,6
2020-07-05,7755,1556,2288,5302,165,67,97,202,6
2020-07-06,8064,1624,2386,5507,171,70,101,210,7
2020-07-07,8387,1694,2489,5720,178,73,106,219,7
2020-07-08,8725,1768,2597,5943,185,76,111,229,7
2020-07-09,9077,1845,2709,6176,192,79,115,239,7
2020-07-10,9446,1925,2827,6419,200,82,120,249,8
2020-07-11,9829,2008,2949,6672,208,86,126,260,8
2020-07-12,10229,2095,3077,6936,216,89,131,271,8
2020-07-13,10647,2186,3210,7212,225,93,137,283,9
2020-07-14,11082,2281,3349,7499,234,97,143,295,9
2020-07-15,11536,2379,3494,7799,243,101,149,308,10
2020-07-16,12010,2482,3645,8112,253,106,155,321,10
2020-07-17,12505,2590,3803,8439,263,110,162,335,10
2020-07-18,13021,2702,3968,8780,273,115,169,350,11
2020-07-19,13559,2819,4140,9135,284,120,176,365,11
2020-07-20,14121,2941,4319,9506,296,125,184,381,12
2020-07-21,14707,3069,4506,9893,308,131,192,397,12
2020-07-22,15318,3202,4701,10296,321,136,200,414,13
2020-07-23,15957,3340,4905,10718,334,142,209,432,13
2020-07-24,16621,3485,5117,11157,347,148,218,451,14
2020-07-25,17316,3636,5339,11615,362,155,228,471,15
2020-07-26,18041,3793,5570,12094,377,162,237,491,15
2020-07-27,18796,3957,5811,12593,392,169,248,512,16
2020-07-28,19584,4129,6063,13113,408,176,258,535,17
2020-07-29,20406,4307,6325,13656,425,184,270,558,17
2020-07-30,21265,4494,6599,14223,443,191,281,582,18
2020-07-31,22160,4688,6885,14814,461,200,293,607,19
2020-08-01,23094,4891,7183,15431,480,208,306,633,20
2020-08-02,24069,5103,7494,16074,501,217,319,661,21
2020-08-03,25085,5324,7818,16746,521,227,333,689,21
2020-08-04,26146,5554,8157,17446,543,237,348,719,22
2020-08-05,27253,5794,8510,18177,566,247,363,750,23
2020-08-06,28407,6045,8878,18939,590,257,378,783,24
2020-08-07,29612,6307,9263,19735,614,269,395,817,25
2020-08-08,30868,6580,9664,20564,640,280,412,852,27
2020-08-09,32179,6864,10082,21430,667,292,429,889,28
2020-08-10,33546,7161,10518,22333,695,305,448,927,29
2020-08-11,34973,7471,10973,23275,725,318,467,967,30
2020-08-12,36461,7794,11448,24258,755,332,488,1009,31
2020-08-13,38014,8131,11943,25284,787,346,509,1053,33
2020-08-14,39635,8483,12460,26354,821,361,531,1099,34
2020-08-15,41324,8850,12999,27470,855,377,553,1146,36
2020-08-16,43088,9232,13562,28634,892,393,577,1196,37
2020-08-17,44926,9631,14148,29849,929,410,602,1247,39
2020-08-18,46846,10048,14760,31117,969,427,628,1301,41
2020-08-19,48848,10482,15399,32439,1010,446,655,1358,42
2020-08-20,50936,10935,16065,33818,1053,465,684,1416,44
2020-08-21,53114,11408,16759,35257,1098,485,713,1478,46
2020-08-22,55388,11900,17484,36759,1145,506,744,1541,48
2020-08-23,57758,12415,18240,38325,1193,528,776,1608,50
2020-08-24,60231,12951,19028,39959,1244,551,810,1678,52
2020-08-25,62812,13510,19851,41664,1297,574,844,1750,54
2020-08-26,65504,14094,20709,43442,1353,599,881,1826,57
2020-08-27,68311,14702,21604,45297,1410,625,919,1905,59
2020-08-28,71240,15337,22537,47232,1471,652,958,1987,62
2020-08-29,74296,15999,23511,49251,1534,680,1000,2073,65
2020-08-30,77483,16689,24527,51357,1599,709,1043,2162,67
2020-08-31,80808,17410,25586,53554,1668,739,1088,2256,70
2020-09-01,84276,18161,26691,55846,1739,771,1134,2353,73
2020-09-02,87894,18944,27844,58237,1813,804,1183,2455,76
2020-09-03,91668,19761,29046,60731,1891,839,1234,2561,80
2020-09-04,95605,20613,30300,63333,1972,875,1287,2671,83
2020-09-05,99713,21502,31608,66048,2057,912,1343,2787,87
2020-09-06,103996,22428,32972,68879,2145,951,1400,2907,91
2020-09-07,108463,23395,34394,71832,2237,992,1460,3032,94
2020-09-08,113124,24402,35878,74913,2333,1034,1523,3163,98
2020-09-09,117986,25453,37426,78127,2433,1079,1589,3300,103
2020-09-10,123056,26549,39039,81480,2537,1125,1657,3442,107
2020-09-11,128345,27692,40722,84977,2646,1173,1728,3590,112
2020-09-12,133862,28883,42478,88624,2760,1223,1802,3745,117
2020-09-13,139615,30126,44308,92429,2878,1275,1879,3906,122
2020-09-14,145617,31421,46217,96398,3002,1330,1959,4075,127
2020-09-15,151877,32772,48208,100538,3131,1386,2043,4250,132
2020-09-16,158405,34180,50283,104857,3265,1445,2131,4433,138
2020-09-17,165214,35648,52448,109361,3405,1507,2222,4624,144
2020-09-18,172316,37179,54705,114059,3552,1571,2317,4823,150
2020-09-19,179722,38775,57059,118959,3704,1638,2416,5031,157
2020-09-20,187446,40438,59513,124070,3863,1707,2519,5247,163
2020-09-21,195501,42172,62072,129400,4029,1780,2626,5472,170
2020-09-22,203901,43980,64739,134960,4202,1855,2738,5708,178
2020-09-23,212663,45865,67521,140759,4383,1934,2855,5953,185
2020-09-24,221799,47829,70421,146807,4571,2016,2976,6209,193
2020-09-25,231327,49876,73444,153115,4768,2101,3103,6475,202
2020-09-26,241261,52010,76596,159693,4972,2189,3235,6753,210
2020-09-27,251622,54234,79882,166554,5186,2282,3372,7043,219
2020-09-28,262425,56551,83307,173709,5409,2378,3515,7345,229
2020-09-29,273690,58966,86878,181171,5641,2478,3664,7659,238
2020-09-30,285435,61483,90599,188952,5884,2582,3819,7988,249
2020-10-01,297682,64105,94479,197067,6136,2690,3981,8330,259
2020-10-02,310451,66837,98522,205529,6400,2803,4149,8686,270
2020-10-03,323763,69684,102736,214353,6674,2920,4324,9058,282
2020-10-04,337643,72650,107127,223555,6961,3042,4506,9445,294
2020-10-05,352113,75739,111704,233149,7260,3169,4696,9848,307
2020-10-06,367198,78957,116473,243154,7571,3301,4893,10269,320
2020-10-07,382925,82309,121443,253586,7896,3438,5099,10707,333
2020-10-08,399318,85801,126621,264462,8235,3581,5313,11163,348
2020-10-09,416408,89437,132017,275803,8588,3729,5535,11639,362
2020-10-10,434220,93223,137638,287626,8956,3883,5767,12135,378
2020-10-11,452787,97166,143494,299953,9340,4043,6007,12651,394
2020-10-12,472138,101271,149594,312804,9740,4210,6258,13189,411
2020-10-13,492307,105545,155949,326201,10157,4382,6518,13749,428
2020-10-14,513326,109994,162567,340167,10592,4562,6789,14333,446
2020-10-15,535231,114625,169461,354725,11045,4748,7070,14940,465
2020-10-16,558059,119446,176640,369901,11518,4942,7363,15573,485
2020-10-17,581844,124462,184115,385719,12010,5142,7667,16232,505
2020-10-18,606630,129682,191899,402207,12524,5351,7982,16919,527
2020-10-19,632454,135113,200004,419391,13059,5567,8311,17633,549
2020-10-20,659359,140763,208441,437301,13617,5791,8651,18377,572
2020-10-21,687388,146641,217224,455966,14198,6023,9005,19151,596
2020-10-22,716587,152754,226367,475417,14803,6264,9373,19957,621
2020-10-23,747002,159111,235881,495686,15435,6514,9754,20796,648
2020-10-24,778682,165721,245783,516807,16092,6773,10150,21669,675
2020-10-25,811678,172593,256087,538814,16777,7040,10561,22578,703
2020-10-26,846040,179737,266806,561743,17491,7318,10987,23523,732
2020-10-27,881824,187161,277958,585631,18235,7605,11429,24506,763
2020-10-28,919086,194877,289558,610518,19010,7901,11888,25529,795
2020-10-29,957882,202892,301623,636442,19817,8208,12363,26592,828
2020-10-30,998271,211219,314168,663445,20658,8526,12855,27698,862
2020-10-31,1040318,219867,327213,691571,21534,8854,13365,28848,898
2020-11-01,1084085,228847,340774,720865,22446,9192,13892,30044,936
2020-11-02,1129637,238170,354870,751371,23396,9542,14439,31287,974
2020-11-03,1177042,247846,369519,783138,24385,9903,15005,32578,1014
2020-11-04,1226372,257888,384742,816215,25415,10275,15590,33920,1056
2020-11-05,1277699,268306,400557,850655,26487,10659,16195,35315,1100
2020-11-06,1331097,279112,416985,886508,27604,11054,16820,36763,1145
2020-11-07,1386642,290318,434045,923831,28766,11461,17466,38267,1192
2020-11-08,1444415,301935,451760,962679,29976,11880,18134,39829,1240
2020-11-09,1504497,313975,470151,1003111,31235,12310,18823,41450,1291
2020-11-10,1566971,326451,489238,1045188,32545,12753,19534,43133,1343
2020-11-11,1631924,339373,509045,1088971,33908,13207,20267,44879,1397
2020-11-12,1699445,352754,529594,1134524,35327,13674,21023,46691,1454
2020-11-13,1769623,366607,550907,1181914,36802,14152,21801,48570,1512
2020-11-14,1842554,380942,573007,1231210,38337,14642,22603,50518,1573
2020-11-15,1918331,395771,595917,1282480,39934,15144,23428,52538,1636
2020-11-16,1997053,411106,619661,1335798,41594,15657,24276,54632,1701
2020-11-17,2078820,426958,644263,1391237,43320,16181,25148,56801,1769
2020-11-18,2163733,443338,669744,1448874,45115,16716,26043,59047,1839
2020-11-19,2251897,460258,696130,1508787,46980,17261,26962,61374,1911
2020-11-20,2343420,477726,723444,1571057,48919,17816,27904,63782,1986
2020-11-21,2438408,495754,751708,1635766,50934,18381,28869,66274,2064
2020-11-22,2536975,514350,780947,1703000,53028,18955,29858,68851,2144
2020-11-23,2639228,533523,811182,1772844,55202,19538,30868,71517,2227
2020-11-24,2745284,553281,842436,1845387,57461,20127,31901,74272,2313
