Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-25,1806,12,52,1677,77,2,0,5,0
2020-06-26,1808,14,50,1681,77,2,0,4,0
2020-06-27,1811,15,48,1686,77,1,0,4,0
2020-06-28,1815,16,47,1690,78,1,0,4,0
2020-06-29,1818,17,46,1694,78,1,0,4,0
2020-06-30,1821,18,45,1698,78,0,0,4,0
2020-07-01,1825,18,45,1702,78,0,0,4,0
2020-07-02,1828,18,44,1706,78,0,0,4,0
2020-07-03,1833,19,44,1710,79,0,0,4,0
2020-07-04,1836,19,44,1713,79,0,0,4,0
2020-07-05,1839,19,43,1717,79,0,0,4,0
2020-07-06,1843,19,43,1721,79,0,0,4,0
2020-07-07,1847,19,43,1725,79,0,0,4,0
2020-07-08,1850,19,43,1728,79,0,0,4,0
2020-07-09,1855,19,43,1732,80,0,0,4,0
2020-07-10,1858,19,42,1736,80,0,0,4,0
2020-07-11,1861,19,42,1739,80,0,0,4,0
2020-07-12,1865,19,42,1743,80,0,0,4,0
2020-07-13,1869,19,42,1747,80,0,0,4,0
2020-07-14,1872,19,42,1750,80,0,0,4,0
2020-07-15,1877,19,42,1754,81,0,0,4,0
2020-07-16,1881,19,42,1758,81,0,0,4,0
2020-07-17,1884,19,42,1761,81,0,0,4,0
2020-07-18,1887,19,41,1765,81,0,0,4,0
2020-07-19,1890,19,41,1768,81,0,0,4,0
2020-07-20,1894,19,41,1772,81,0,0,4,0
2020-07-21,1899,18,41,1776,82,0,0,4,0
2020-07-22,1902,18,41,1779,82,0,0,4,0
2020-07-23,1906,18,41,1783,82,0,0,4,0
2020-07-24,1909,18,41,1786,82,0,0,4,0
2020-07-25,1913,18,41,1790,82,0,0,4,0
2020-07-26,1916,18,41,1793,82,0,0,4,0
2020-07-27,1920,18,40,1797,83,0,0,4,0
2020-07-28,1923,18,40,1800,83,0,0,4,0
2020-07-29,1927,18,40,1804,83,0,0,3,0
2020-07-30,1930,18,40,1807,83,0,0,3,0
2020-07-31,1934,18,40,1811,83,0,0,3,0
2020-08-01,1937,18,40,1814,83,0,0,3,0
2020-08-02,1941,18,40,1818,83,0,0,3,0
2020-08-03,1945,18,40,1821,84,0,0,3,0
