Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-20,266096,9097,27887,232779,5430,0,0,2477,58
2020-07-21,267800,8049,27082,235231,5487,0,0,2406,56
2020-07-22,269311,7173,26162,237606,5543,0,0,2324,54
2020-07-23,270662,6436,25168,239898,5596,0,0,2236,52
2020-07-24,271875,5811,24129,242099,5647,0,0,2144,50
2020-07-25,272976,5276,23071,244208,5697,0,0,2050,48
2020-07-26,273975,4815,22009,246222,5744,0,0,1955,46
2020-07-27,274888,4415,20958,248142,5788,0,0,1862,43
2020-07-28,275727,4065,19927,249969,5831,0,0,1770,41
2020-07-29,276501,3756,18924,251706,5871,0,0,1681,39
2020-07-30,277217,3481,17953,253354,5910,0,0,1595,37
2020-07-31,277881,3235,17017,254918,5946,0,0,1512,35
2020-08-01,278498,3014,16118,256399,5981,0,0,1432,33
2020-08-02,279075,2813,15259,257802,6014,0,0,1356,32
2020-08-03,279613,2631,14438,259130,6045,0,0,1283,30
2020-08-04,280116,2463,13655,260387,6074,0,0,1213,28
2020-08-05,280588,2310,12911,261575,6102,0,0,1147,27
2020-08-06,281030,2168,12204,262698,6128,0,0,1084,25
2020-08-07,281445,2037,11533,263759,6153,0,0,1025,24
2020-08-08,281836,1915,10897,264763,6176,0,0,968,23
2020-08-09,282202,1801,10294,265710,6198,0,0,914,21
2020-08-10,282548,1696,9723,266606,6219,0,0,864,20
2020-08-11,282873,1597,9183,267451,6239,0,0,816,19
2020-08-12,283179,1504,8672,268250,6257,0,0,770,18
2020-08-13,283468,1417,8189,269004,6275,0,0,727,17
2020-08-14,283740,1336,7732,269716,6292,0,0,687,16
2020-08-15,283995,1260,7300,270388,6307,0,0,649,15
2020-08-16,284237,1188,6892,271023,6322,0,0,612,14
2020-08-17,284465,1120,6507,271622,6336,0,0,578,13
2020-08-18,284680,1057,6143,272188,6349,0,0,546,13
2020-08-19,284883,997,5799,272722,6362,0,0,515,12
2020-08-20,285073,941,5474,273226,6373,0,0,486,11
2020-08-21,285255,887,5168,273702,6385,0,0,459,11
2020-08-22,285425,837,4878,274152,6395,0,0,433,10
2020-08-23,285586,790,4605,274576,6405,0,0,409,10
2020-08-24,285737,746,4347,274976,6414,0,0,386,9
2020-08-25,285880,704,4103,275354,6423,0,0,365,9
2020-08-26,286015,664,3873,275711,6431,0,0,344,8
2020-08-27,286143,627,3656,276048,6439,0,0,325,8
2020-08-28,286263,592,3451,276365,6447,0,0,307,7
2020-08-29,286376,558,3257,276665,6454,0,0,289,7
2020-08-30,286484,527,3075,276949,6460,0,0,273,6
2020-08-31,286585,497,2902,277216,6467,0,0,258,6
2020-09-01,286679,469,2739,277468,6472,0,0,243,6
2020-09-02,286771,443,2586,277707,6478,0,0,230,5
2020-09-03,286855,418,2441,277931,6483,0,0,217,5
2020-09-04,286936,395,2304,278144,6488,0,0,205,5
2020-09-05,287012,373,2175,278344,6493,0,0,193,5
2020-09-06,287083,352,2053,278533,6497,0,0,182,4
2020-09-07,287149,332,1937,278711,6501,0,0,172,4
2020-09-08,287214,313,1829,278880,6505,0,0,162,4
2020-09-09,287274,296,1726,279039,6509,0,0,153,4
2020-09-10,287331,279,1629,279189,6513,0,0,145,3
2020-09-11,287385,263,1538,279331,6516,0,0,137,3
2020-09-12,287435,249,1452,279464,6519,0,0,129,3
2020-09-13,287483,235,1370,279591,6522,0,0,122,3
2020-09-14,287528,222,1293,279710,6525,0,0,115,3
2020-09-15,287570,209,1221,279822,6527,0,0,108,3
2020-09-16,287610,197,1152,279928,6530,0,0,102,2
2020-09-17,287648,186,1088,280028,6532,0,0,97,2
2020-09-18,287684,176,1027,280123,6534,0,0,91,2
2020-09-19,287717,166,969,280212,6536,0,0,86,2
2020-09-20,287749,157,915,280296,6538,0,0,81,2
2020-09-21,287779,148,863,280376,6540,0,0,77,2
2020-09-22,287808,140,815,280451,6542,0,0,72,2
2020-09-23,287835,132,769,280522,6544,0,0,68,2
2020-09-24,287860,124,726,280589,6545,0,0,64,2
2020-09-25,287884,117,685,280652,6547,0,0,61,1
2020-09-26,287907,111,647,280712,6548,0,0,57,1
2020-09-27,287928,105,611,280768,6549,0,0,54,1
2020-09-28,287948,99,576,280821,6551,0,0,51,1
2020-09-29,287967,93,544,280871,6552,0,0,48,1
2020-09-30,287984,88,513,280918,6553,0,0,46,1
2020-10-01,288002,83,485,280963,6554,0,0,43,1
2020-10-02,288017,78,457,281005,6555,0,0,41,1
2020-10-03,288033,74,432,281045,6556,0,0,38,1
2020-10-04,288047,70,408,281082,6557,0,0,36,1
2020-10-05,288061,66,385,281118,6558,0,0,34,1
2020-10-06,288072,62,363,281151,6558,0,0,32,1
2020-10-07,288085,59,343,281183,6559,0,0,30,1
2020-10-08,288097,55,324,281213,6560,0,0,29,1
2020-10-09,288106,52,305,281241,6560,0,0,27,1
2020-10-10,288116,49,288,281267,6561,0,0,26,1
2020-10-11,288126,47,272,281292,6562,0,0,24,1
2020-10-12,288135,44,257,281316,6562,0,0,23,1
2020-10-13,288143,42,242,281338,6563,0,0,22,1
2020-10-14,288151,39,229,281359,6563,0,0,20,0
2020-10-15,288159,37,216,281379,6564,0,0,19,0
2020-10-16,288166,35,204,281398,6564,0,0,18,0
2020-10-17,288172,33,192,281416,6564,0,0,17,0
2020-10-18,288180,31,182,281433,6565,0,0,16,0
2020-10-19,288184,29,171,281448,6565,0,0,15,0
2020-10-20,288191,28,162,281463,6566,0,0,14,0
2020-10-21,288196,26,153,281477,6566,0,0,14,0
2020-10-22,288201,25,144,281491,6566,0,0,13,0
2020-10-23,288206,23,136,281503,6567,0,0,12,0
2020-10-24,288210,22,128,281515,6567,0,0,11,0
2020-10-25,288214,21,121,281526,6567,0,0,11,0
2020-10-26,288218,20,114,281537,6567,0,0,10,0
2020-10-27,288223,19,108,281547,6568,0,0,10,0
2020-10-28,288226,17,102,281556,6568,0,0,9,0
2020-10-29,288229,16,96,281565,6568,0,0,9,0
2020-10-30,288232,16,91,281573,6568,0,0,8,0
2020-10-31,288235,15,86,281581,6568,0,0,8,0
2020-11-01,288239,14,81,281589,6569,0,0,7,0
2020-11-02,288241,13,76,281596,6569,0,0,7,0
2020-11-03,288243,12,72,281602,6569,0,0,6,0
2020-11-04,288246,12,68,281609,6569,0,0,6,0
2020-11-05,288247,11,64,281614,6569,0,0,6,0
2020-11-06,288250,10,61,281620,6569,0,0,5,0
2020-11-07,288251,10,57,281625,6569,0,0,5,0
2020-11-08,288253,9,54,281630,6569,0,0,5,0
2020-11-09,288256,9,51,281635,6570,0,0,5,0
2020-11-10,288257,8,48,281639,6570,0,0,4,0
2020-11-11,288259,8,45,281644,6570,0,0,4,0
2020-11-12,288261,7,43,281648,6570,0,0,4,0
2020-11-13,288261,7,40,281651,6570,0,0,4,0
2020-11-14,288263,7,38,281655,6570,0,0,3,0
2020-11-15,288264,6,36,281658,6570,0,0,3,0
2020-11-16,288265,6,34,281661,6570,0,0,3,0
2020-11-17,288266,6,32,281664,6570,0,0,3,0
2020-11-18,288267,5,30,281667,6570,0,0,3,0
2020-11-19,288269,5,29,281670,6570,0,0,3,0
