Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-14,3074,525,735,2311,28,0,36,66,1
2020-07-15,3177,524,770,2378,29,2,33,69,1
2020-07-16,3280,528,802,2448,30,6,31,72,1
2020-07-17,3384,534,832,2521,31,8,29,75,1
2020-07-18,3490,544,861,2597,32,11,28,77,1
2020-07-19,3597,555,889,2675,33,12,28,80,1
2020-07-20,3707,568,917,2756,34,14,28,82,1
2020-07-21,3819,582,945,2839,35,15,28,85,1
2020-07-22,3934,597,973,2925,36,16,29,87,1
2020-07-23,4052,613,1002,3013,37,16,29,90,1
2020-07-24,4173,629,1031,3104,38,17,30,93,1
2020-07-25,4298,646,1061,3198,39,18,30,95,1
2020-07-26,4426,664,1091,3294,41,18,31,98,1
2020-07-27,4558,683,1123,3393,42,19,32,101,1
2020-07-28,4693,702,1155,3495,43,20,33,104,1
2020-07-29,4832,722,1188,3600,44,20,34,107,1
2020-07-30,4976,742,1222,3708,46,21,34,110,1
2020-07-31,5122,764,1257,3818,47,21,35,113,1
2020-08-01,5274,785,1293,3933,48,22,36,116,1
2020-08-02,5429,807,1329,4050,50,23,37,119,1
2020-08-03,5588,830,1367,4170,51,23,39,123,2
2020-08-04,5754,854,1406,4295,53,24,40,126,2
2020-08-05,5922,878,1446,4422,54,25,41,130,2
2020-08-06,6096,903,1487,4553,56,25,42,134,2
2020-08-07,6276,929,1530,4688,58,26,43,137,2
2020-08-08,6459,955,1573,4827,59,27,44,141,2
2020-08-09,6649,982,1618,4970,61,28,46,145,2
2020-08-10,6844,1010,1664,5117,63,28,47,149,2
2020-08-11,7044,1039,1711,5268,65,29,48,154,2
2020-08-12,7250,1069,1760,5423,67,30,50,158,2
2020-08-13,7462,1099,1810,5583,69,31,51,163,2
2020-08-14,7680,1130,1862,5747,71,32,52,167,2
2020-08-15,7904,1162,1915,5916,73,33,54,172,2
2020-08-16,8134,1195,1969,6090,75,34,55,177,2
2020-08-17,8371,1229,2025,6269,77,35,57,182,2
2020-08-18,8613,1264,2082,6452,79,36,59,187,2
2020-08-19,8865,1300,2142,6641,82,37,60,192,2
2020-08-20,9123,1337,2203,6836,84,38,62,198,2
2020-08-21,9388,1375,2265,7036,87,39,64,203,3
2020-08-22,9659,1414,2329,7241,89,40,65,209,3
2020-08-23,9941,1454,2396,7453,92,41,67,215,3
2020-08-24,10228,1495,2464,7670,94,42,69,221,3
2020-08-25,10525,1538,2534,7894,97,43,71,228,3
2020-08-26,10830,1581,2606,8124,100,44,73,234,3
2020-08-27,11143,1626,2680,8360,103,46,75,241,3
2020-08-28,11465,1672,2756,8603,106,47,77,247,3
2020-08-29,11796,1720,2834,8853,109,48,80,254,3
2020-08-30,12137,1769,2914,9111,112,50,82,262,3
2020-08-31,12487,1819,2997,9375,115,51,84,269,3
2020-09-01,12848,1870,3082,9647,119,52,87,277,3
2020-09-02,13219,1923,3170,9927,122,54,89,285,4
2020-09-03,13599,1978,3259,10214,126,55,91,293,4
2020-09-04,13991,2034,3352,10510,129,57,94,301,4
2020-09-05,14394,2091,3447,10814,133,59,97,310,4
2020-09-06,14809,2151,3545,11127,137,60,99,318,4
2020-09-07,15235,2211,3645,11449,141,62,102,327,4
2020-09-08,15673,2274,3748,11780,145,64,105,337,4
2020-09-09,16124,2338,3855,12120,149,65,108,346,4
2020-09-10,16587,2404,3964,12470,153,67,111,356,4
2020-09-11,17063,2472,4076,12829,158,69,114,366,5
2020-09-12,17553,2542,4192,13199,162,71,117,376,5
2020-09-13,18057,2614,4310,13580,167,73,121,387,5
2020-09-14,18575,2688,4432,13971,172,75,124,398,5
2020-09-15,19108,2764,4558,14373,177,77,128,409,5
2020-09-16,19656,2842,4687,14787,182,79,131,421,5
2020-09-17,20218,2922,4819,15212,187,82,135,433,5
2020-09-18,20798,3005,4956,15649,193,84,139,445,5
2020-09-19,21393,3090,5096,16099,198,86,143,458,6
2020-09-20,22006,3177,5240,16562,204,89,147,471,6
2020-09-21,22635,3266,5388,17037,210,91,151,484,6
2020-09-22,23282,3358,5540,17526,216,94,155,498,6
2020-09-23,23948,3453,5697,18029,222,96,159,512,6
2020-09-24,24631,3550,5857,18546,228,99,164,526,6
2020-09-25,25335,3650,6023,19077,235,102,168,541,7
2020-09-26,26059,3753,6193,19624,242,105,173,556,7
2020-09-27,26801,3859,6367,20186,248,107,178,572,7
2020-09-28,27567,3967,6547,20764,256,110,183,588,7
2020-09-29,28353,4079,6732,21358,263,113,188,605,7
2020-09-30,29160,4193,6921,21969,270,117,193,622,8
2020-10-01,29991,4311,7116,22597,278,120,198,639,8
2020-10-02,30846,4432,7317,23243,286,123,204,657,8
2020-10-03,31724,4557,7523,23907,294,127,210,676,8
2020-10-04,32627,4685,7735,24589,303,130,215,695,9
2020-10-05,33554,4816,7952,25291,311,134,221,714,9
2020-10-06,34509,4951,8176,26013,320,137,228,734,9
2020-10-07,35490,5090,8406,26755,329,141,234,755,9
2020-10-08,36498,5232,8642,27517,339,145,240,776,10
2020-10-09,37535,5379,8885,28302,348,149,247,798,10
2020-10-10,38600,5529,9134,29108,358,153,254,820,10
2020-10-11,39696,5684,9391,29937,368,157,261,843,10
2020-10-12,40822,5842,9654,30789,379,161,268,867,11
2020-10-13,41980,6006,9925,31665,390,166,275,891,11
2020-10-14,43170,6173,10203,32566,401,170,283,916,11
2020-10-15,44392,6345,10489,33491,412,175,291,942,12
2020-10-16,45649,6522,10782,34443,424,180,299,968,12
2020-10-17,46941,6704,11084,35421,436,185,307,995,12
2020-10-18,48269,6890,11394,36427,448,190,315,1023,13
2020-10-19,49634,7082,11712,37461,461,195,324,1052,13
2020-10-20,51038,7279,12040,38524,474,200,333,1081,13
2020-10-21,52480,7481,12376,39616,488,206,342,1111,14
2020-10-22,53961,7689,12721,40739,501,211,351,1142,14
2020-10-23,55486,7902,13076,41894,516,217,361,1174,14
2020-10-24,57050,8121,13440,43080,530,223,370,1207,15
