Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-17,4413,1700,4413,0,0,48,0,0,0
2020-06-18,4351,1743,4351,0,0,34,0,0,0
2020-06-19,4301,1773,4301,0,0,24,0,0,0
2020-06-20,4261,1794,4261,0,0,17,0,0,0
2020-06-21,4228,1808,4228,0,0,11,0,0,0
2020-06-22,4200,1818,4200,0,0,7,0,0,0
2020-06-23,4175,1823,4175,0,0,3,0,0,0
2020-06-24,4154,1825,4154,0,0,1,0,0,0
2020-06-25,4135,1826,4135,0,0,0,0,0,0
2020-06-26,4118,1825,4118,0,0,0,0,0,0
2020-06-27,4102,1823,4102,0,0,0,0,0,0
2020-06-28,4087,1819,4087,0,0,0,0,0,0
2020-06-29,4072,1816,4072,0,0,0,0,0,0
2020-06-30,4058,1812,4058,0,0,0,0,0,0
2020-07-01,4044,1807,4044,0,0,0,0,0,0
2020-07-02,4031,1802,4031,0,0,0,0,0,0
2020-07-03,4018,1797,4018,0,0,0,0,0,0
2020-07-04,4005,1792,4005,0,0,0,0,0,0
2020-07-05,3993,1787,3993,0,0,0,0,0,0
2020-07-06,3980,1782,3980,0,0,0,0,0,0
2020-07-07,3968,1776,3968,0,0,0,0,0,0
2020-07-08,3955,1771,3955,0,0,0,0,0,0
2020-07-09,3943,1765,3943,0,0,0,0,0,0
2020-07-10,3931,1760,3931,0,0,0,0,0,0
2020-07-11,3918,1755,3918,0,0,0,0,0,0
2020-07-12,3906,1749,3906,0,0,0,0,0,0
2020-07-13,3894,1744,3894,0,0,0,0,0,0
2020-07-14,3882,1739,3882,0,0,0,0,0,0
2020-07-15,3870,1733,3870,0,0,0,0,0,0
2020-07-16,3858,1728,3858,0,0,0,0,0,0
2020-07-17,3846,1722,3846,0,0,0,0,0,0
2020-07-18,3834,1717,3834,0,0,0,0,0,0
2020-07-19,3822,1712,3822,0,0,0,0,0,0
2020-07-20,3811,1706,3811,0,0,0,0,0,0
2020-07-21,3799,1701,3799,0,0,0,0,0,0
2020-07-22,3787,1696,3787,0,0,0,0,0,0
2020-07-23,3775,1691,3775,0,0,0,0,0,0
2020-07-24,3764,1685,3764,0,0,0,0,0,0
2020-07-25,3752,1680,3752,0,0,0,0,0,0
2020-07-26,3740,1675,3740,0,0,0,0,0,0
2020-07-27,3729,1670,3729,0,0,0,0,0,0
2020-07-28,3717,1665,3717,0,0,0,0,0,0
2020-07-29,3706,1659,3706,0,0,0,0,0,0
2020-07-30,3694,1654,3694,0,0,0,0,0,0
2020-07-31,3683,1649,3683,0,0,0,0,0,0
2020-08-01,3671,1644,3671,0,0,0,0,0,0
2020-08-02,3660,1639,3660,0,0,0,0,0,0
2020-08-03,3649,1634,3649,0,0,0,0,0,0
2020-08-04,3637,1629,3637,0,0,0,0,0,0
2020-08-05,3626,1624,3626,0,0,0,0,0,0
2020-08-06,3615,1619,3615,0,0,0,0,0,0
2020-08-07,3604,1614,3604,0,0,0,0,0,0
2020-08-08,3592,1609,3592,0,0,0,0,0,0
2020-08-09,3581,1604,3581,0,0,0,0,0,0
2020-08-10,3570,1599,3570,0,0,0,0,0,0
2020-08-11,3559,1594,3559,0,0,0,0,0,0
2020-08-12,3548,1589,3548,0,0,0,0,0,0
2020-08-13,3537,1584,3537,0,0,0,0,0,0
2020-08-14,3526,1579,3526,0,0,0,0,0,0
2020-08-15,3515,1574,3515,0,0,0,0,0,0
2020-08-16,3504,1569,3504,0,0,0,0,0,0
2020-08-17,3493,1564,3493,0,0,0,0,0,0
2020-08-18,3482,1559,3482,0,0,0,0,0,0
2020-08-19,3472,1555,3472,0,0,0,0,0,0
2020-08-20,3461,1550,3461,0,0,0,0,0,0
2020-08-21,3450,1545,3450,0,0,0,0,0,0
2020-08-22,3439,1540,3439,0,0,0,0,0,0
2020-08-23,3429,1535,3429,0,0,0,0,0,0
2020-08-24,3418,1530,3418,0,0,0,0,0,0
2020-08-25,3407,1526,3407,0,0,0,0,0,0
2020-08-26,3397,1521,3397,0,0,0,0,0,0
2020-08-27,3386,1516,3386,0,0,0,0,0,0
2020-08-28,3376,1512,3376,0,0,0,0,0,0
2020-08-29,3365,1507,3365,0,0,0,0,0,0
2020-08-30,3355,1502,3355,0,0,0,0,0,0
2020-08-31,3344,1497,3344,0,0,0,0,0,0
2020-09-01,3334,1493,3334,0,0,0,0,0,0
2020-09-02,3324,1488,3324,0,0,0,0,0,0
2020-09-03,3313,1483,3313,0,0,0,0,0,0
2020-09-04,3303,1479,3303,0,0,0,0,0,0
2020-09-05,3293,1474,3293,0,0,0,0,0,0
2020-09-06,3282,1470,3282,0,0,0,0,0,0
2020-09-07,3272,1465,3272,0,0,0,0,0,0
2020-09-08,3262,1460,3262,0,0,0,0,0,0
2020-09-09,3252,1456,3252,0,0,0,0,0,0
2020-09-10,3242,1451,3242,0,0,0,0,0,0
2020-09-11,3232,1447,3232,0,0,0,0,0,0
2020-09-12,3221,1442,3221,0,0,0,0,0,0
2020-09-13,3211,1438,3211,0,0,0,0,0,0
2020-09-14,3201,1433,3201,0,0,0,0,0,0
2020-09-15,3191,1429,3191,0,0,0,0,0,0
2020-09-16,3182,1424,3182,0,0,0,0,0,0
2020-09-17,3172,1420,3172,0,0,0,0,0,0
2020-09-18,3162,1416,3162,0,0,0,0,0,0
2020-09-19,3152,1411,3152,0,0,0,0,0,0
2020-09-20,3142,1407,3142,0,0,0,0,0,0
2020-09-21,3132,1402,3132,0,0,0,0,0,0
2020-09-22,3122,1398,3122,0,0,0,0,0,0
2020-09-23,3113,1394,3113,0,0,0,0,0,0
2020-09-24,3103,1389,3103,0,0,0,0,0,0
2020-09-25,3093,1385,3093,0,0,0,0,0,0
2020-09-26,3084,1381,3084,0,0,0,0,0,0
2020-09-27,3074,1376,3074,0,0,0,0,0,0
2020-09-28,3064,1372,3064,0,0,0,0,0,0
2020-09-29,3055,1368,3055,0,0,0,0,0,0
2020-09-30,3045,1363,3045,0,0,0,0,0,0
2020-10-01,3036,1359,3036,0,0,0,0,0,0
2020-10-02,3026,1355,3026,0,0,0,0,0,0
2020-10-03,3017,1351,3017,0,0,0,0,0,0
2020-10-04,3008,1346,3008,0,0,0,0,0,0
2020-10-05,2998,1342,2998,0,0,0,0,0,0
2020-10-06,2989,1338,2989,0,0,0,0,0,0
2020-10-07,2979,1334,2979,0,0,0,0,0,0
2020-10-08,2970,1330,2970,0,0,0,0,0,0
2020-10-09,2961,1326,2961,0,0,0,0,0,0
2020-10-10,2952,1321,2952,0,0,0,0,0,0
2020-10-11,2942,1317,2942,0,0,0,0,0,0
2020-10-12,2933,1313,2933,0,0,0,0,0,0
2020-10-13,2924,1309,2924,0,0,0,0,0,0
2020-10-14,2915,1305,2915,0,0,0,0,0,0
2020-10-15,2906,1301,2906,0,0,0,0,0,0
2020-10-16,2897,1297,2897,0,0,0,0,0,0
2020-10-17,2888,1293,2888,0,0,0,0,0,0
2020-10-18,2879,1289,2879,0,0,0,0,0,0
2020-10-19,2870,1285,2870,0,0,0,0,0,0
2020-10-20,2861,1281,2861,0,0,0,0,0,0
2020-10-21,2852,1277,2852,0,0,0,0,0,0
2020-10-22,2843,1273,2843,0,0,0,0,0,0
2020-10-23,2834,1269,2834,0,0,0,0,0,0
2020-10-24,2825,1265,2825,0,0,0,0,0,0
2020-10-25,2816,1261,2816,0,0,0,0,0,0
2020-10-26,2807,1257,2807,0,0,0,0,0,0
2020-10-27,2799,1253,2799,0,0,0,0,0,0
