date,infected,exposed,active,recovered,deaths,diff_exposed,diff_active,diff_recovered,diff_deaths
2020-06-15,31131,103,267,28921,1943,16,0,23,2
2020-06-16,31155,118,267,28944,1944,13,2,23,2
2020-06-17,31183,129,270,28967,1946,10,4,23,2
2020-06-18,31211,139,274,28990,1947,9,6,23,2
2020-06-19,31244,148,281,29014,1949,8,7,24,2
2020-06-20,31277,156,288,29038,1951,7,8,25,2
2020-06-21,31312,163,297,29063,1952,7,9,25,2
2020-06-22,31349,170,306,29089,1954,7,10,26,2
2020-06-23,31387,177,316,29115,1956,7,10,27,2
2020-06-24,31428,183,327,29143,1958,7,11,28,2
2020-06-25,31468,190,338,29171,1959,7,11,29,2
2020-06-26,31510,197,349,29200,1961,7,12,30,2
2020-06-27,31556,204,362,29231,1963,7,12,31,2
2020-06-28,31602,211,374,29262,1966,7,13,32,2
2020-06-29,31649,219,387,29294,1968,8,13,33,2
2020-06-30,31699,227,401,29328,1970,8,14,34,2
2020-07-01,31750,235,415,29363,1972,8,14,35,2
2020-07-02,31803,243,429,29399,1975,8,15,37,2
2020-07-03,31857,251,444,29436,1977,9,15,38,3
2020-07-04,31914,260,460,29474,1980,9,16,39,3
2020-07-05,31972,269,476,29514,1982,9,16,41,3
2020-07-06,32032,279,492,29555,1985,10,17,42,3
2020-07-07,32096,289,510,29598,1988,10,18,44,3
2020-07-08,32160,299,527,29642,1991,10,18,45,3
2020-07-09,32228,309,546,29688,1994,11,19,47,3
2020-07-10,32297,320,565,29735,1997,11,20,48,3
2020-07-11,32370,331,585,29784,2001,11,20,50,3
2020-07-12,32444,343,605,29835,2004,12,21,52,3
2020-07-13,32521,355,626,29887,2008,12,22,54,4
2020-07-14,32601,367,648,29942,2011,13,22,55,4
2020-07-15,32684,380,671,29998,2015,13,23,57,4
2020-07-16,32770,393,695,30056,2019,14,24,59,4
2020-07-17,32858,407,719,30116,2023,14,25,62,4
2020-07-18,32950,421,744,30179,2027,15,26,64,4
2020-07-19,33044,436,770,30243,2031,15,27,66,4
2020-07-20,33143,451,797,30310,2036,16,28,68,5
2020-07-21,33245,467,825,30379,2041,16,28,71,5
2020-07-22,33349,484,854,30450,2045,17,29,73,5
2020-07-23,33458,500,884,30524,2050,17,31,76,5
2020-07-24,33571,518,915,30601,2055,18,32,78,5
2020-07-25,33688,536,947,30680,2061,19,33,81,5
2020-07-26,33808,555,980,30762,2066,19,34,84,6
2020-07-27,33933,574,1014,30847,2072,20,35,87,6
2020-07-28,34062,594,1049,30935,2078,21,36,90,6
2020-07-29,34196,615,1086,31026,2084,21,38,93,6
2020-07-30,34334,637,1124,31120,2090,22,39,96,6
2020-07-31,34479,659,1164,31218,2097,23,40,100,7
