Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-23,2156940,296480,553430,1511512,91998,2603,7822,47425,2887
2020-06-24,2215269,299206,561182,1559187,94900,2913,7651,48090,2927
2020-06-25,2274154,302214,568790,1607522,97842,3153,7549,48742,2967
2020-06-26,2333647,305440,576317,1656506,100824,3340,7498,49387,3006
2020-06-27,2393784,308838,583807,1706133,103844,3489,7483,50028,3045
2020-06-28,2454599,312374,591293,1756402,106904,3610,7496,50670,3084
2020-06-29,2516115,316024,598800,1807313,110002,3712,7529,51313,3123
2020-06-30,2578354,319769,606346,1858868,113140,3798,7577,51960,3163
2020-07-01,2641335,323596,613945,1911072,116318,3874,7637,52611,3202
2020-07-02,2705070,327497,621607,1963928,119535,3942,7705,53268,3242
2020-07-03,2769576,331463,629340,2017444,122792,4005,7780,53930,3282
2020-07-04,2834865,335491,637150,2071625,126090,4064,7860,54599,3323
2020-07-05,2900946,339576,645041,2126477,129428,4121,7944,55276,3364
2020-07-06,2967833,343717,653016,2182009,132808,4175,8030,55959,3406
2020-07-07,3035536,347912,661080,2238226,136230,4228,8120,56650,3448
2020-07-08,3104066,352160,669234,2295138,139694,4281,8212,57349,3491
2020-07-09,3173433,356460,677481,2352751,143201,4333,8305,58056,3534
2020-07-10,3243645,360812,685821,2411074,146750,4384,8400,58770,3577
2020-07-11,3314717,365216,694258,2470115,150344,4436,8497,59493,3621
2020-07-12,3386655,369672,702791,2529882,153982,4488,8595,60225,3666
2020-07-13,3459470,374180,711423,2590383,157664,4540,8694,60964,3711
2020-07-14,3533173,378740,720154,2651627,161392,4593,8794,61712,3756
2020-07-15,3607774,383352,728986,2713623,165165,4646,8896,62469,3802
2020-07-16,3683284,388018,737920,2776379,168985,4699,8998,63235,3849
2020-07-17,3759711,392737,746957,2839903,172851,4753,9102,64009,3896
2020-07-18,3837069,397510,756099,2904205,176765,4807,9207,64793,3944
2020-07-19,3915366,402338,765345,2969294,180727,4862,9313,65585,3992
2020-07-20,3994614,407220,774698,3035179,184737,4917,9420,66386,4041
2020-07-21,4074824,412157,784159,3101869,188796,4972,9528,67197,4090
2020-07-22,4156005,417151,793728,3169373,192904,5029,9637,68017,4140
2020-07-23,4238170,422201,803406,3237701,197063,5085,9748,68847,4190
2020-07-24,4321329,427307,813195,3306861,201273,5142,9859,69685,4241
2020-07-25,4405493,432471,823096,3376864,205533,5200,9971,70534,4293
2020-07-26,4490675,437693,833110,3447719,209846,5258,10085,71392,4345
2020-07-27,4576884,442974,843238,3519435,214211,5317,10200,72260,4398
2020-07-28,4664134,448313,853481,3592024,218629,5377,10315,73138,4452
2020-07-29,4752434,453712,863840,3665493,223101,5436,10432,74025,4506
2020-07-30,4841798,459171,874316,3739855,227627,5497,10550,74923,4560
2020-07-31,4932236,464690,884911,3815117,232208,5558,10669,75831,4615
2020-08-01,5023761,470271,895625,3891292,236844,5619,10790,76749,4671
2020-08-02,5116385,475914,906460,3968388,241537,5681,10911,77678,4728
2020-08-03,5210120,481618,917417,4046417,246286,5744,11033,78617,4785
2020-08-04,5304979,487386,928497,4125389,251093,5807,11157,79566,4843
2020-08-05,5400972,493217,939701,4205314,255957,5871,11282,80526,4901
2020-08-06,5498114,499112,951030,4286203,260881,5935,11408,81497,4960
2020-08-07,5596416,505071,962485,4368068,265863,6000,11535,82479,5020
2020-08-08,5695892,511095,974068,4450918,270906,6065,11663,83471,5080
2020-08-09,5796552,517185,985779,4534764,276009,6131,11793,84475,5142
2020-08-10,5898414,523341,997621,4619619,281174,6198,11923,85489,5203
2020-08-11,6001486,529564,1009593,4705492,286401,6265,12055,86515,5266
2020-08-12,6105783,535853,1021698,4792395,291690,6332,12188,87553,5329
2020-08-13,6211318,542211,1033935,4880340,297043,6400,12322,88601,5393
2020-08-14,6318107,548637,1046308,4969339,302460,6469,12457,89662,5457
2020-08-15,6426158,555132,1058816,5059401,307941,6538,12593,90733,5523
2020-08-16,6535490,561697,1071461,5150540,313489,6608,12731,91817,5588
2020-08-17,6646113,568331,1084244,5242767,319102,6679,12870,92912,5655
2020-08-18,6758042,575036,1097166,5336094,324782,6750,13010,94020,5723
2020-08-19,6871292,581813,1110229,5430533,330530,6821,13151,95139,5791
2020-08-20,6985875,588661,1123433,5526095,336347,6893,13293,96271,5860
2020-08-21,7101806,595581,1136780,5622794,342232,6966,13437,97415,5929
2020-08-22,7219100,602574,1150271,5720641,348188,7039,13582,98571,6000
2020-08-23,7337771,609640,1163908,5819649,354214,7113,13728,99739,6071
2020-08-24,7457831,616781,1177690,5919830,360311,7187,13875,100920,6143
2020-08-25,7579298,623996,1191620,6021197,366481,7262,14023,102114,6215
2020-08-26,7702185,631286,1205699,6123762,372724,7337,14172,103320,6289
2020-08-27,7826507,638651,1219928,6227539,379040,7413,14323,104540,6363
2020-08-28,7952279,646093,1234308,6332540,385431,7490,14475,105772,6438
2020-08-29,8079516,653611,1248841,6438778,391897,7567,14628,107017,6514
2020-08-30,8208233,661207,1263527,6546266,398440,7644,14782,108276,6590
2020-08-31,8338443,668880,1278367,6655017,405059,7722,14938,109548,6668
2020-09-01,8470166,676632,1293364,6765046,411756,7801,15094,110833,6746
2020-09-02,8603412,684462,1308517,6876364,418531,7880,15252,112131,6825
2020-09-03,8738202,692372,1323829,6988987,425386,7960,15411,113443,6905
2020-09-04,8874547,700362,1339300,7102926,432321,8040,15571,114769,6985
2020-09-05,9012465,708432,1354932,7218196,439337,8121,15733,116109,7067
2020-09-06,9151972,716583,1370725,7334812,446435,8202,15895,117462,7149
2020-09-07,9293082,724816,1386682,7452785,453615,8284,16059,118829,7233
2020-09-08,9435813,733131,1402802,7572132,460879,8366,16224,120211,7317
2020-09-09,9580181,741528,1419088,7692865,468228,8449,16390,121606,7402
2020-09-10,9726200,750008,1435540,7814999,475661,8532,16557,123016,7487
2020-09-11,9873889,758571,1452160,7938548,483181,8616,16725,124440,7574
2020-09-12,10023263,767218,1468948,8063527,490788,8700,16894,125879,7662
2020-09-13,10174338,775950,1485906,8189949,498483,8785,17065,127332,7750
2020-09-14,10327132,784767,1503035,8317831,506266,8870,17236,128800,7839
2020-09-15,10481661,793669,1520336,8447186,514139,8956,17409,130283,7930
2020-09-16,10637942,802657,1537810,8578029,522103,9042,17583,131780,8021
2020-09-17,10795993,811732,1555459,8710375,530159,9129,17758,133292,8113
2020-09-18,10955827,820893,1573282,8844239,538306,9216,17934,134820,8206
2020-09-19,11117465,830141,1591282,8979636,546547,9303,18111,136362,8300
2020-09-20,11280923,839477,1609460,9116581,554882,9391,18289,137920,8395
2020-09-21,11446219,848902,1627816,9255090,563313,9479,18468,139493,8490
2020-09-22,11613368,858414,1646351,9395178,571839,9568,18648,141081,8587
2020-09-23,11782389,868016,1665067,9536859,580463,9657,18829,142685,8685
2020-09-24,11953299,877707,1683965,9680150,589184,9747,19012,144305,8783
2020-09-25,12126116,887487,1703045,9825067,598004,9837,19195,145940,8883
2020-09-26,12300858,897358,1722309,9971624,606925,9927,19379,147590,8983
2020-09-27,12477542,907319,1741757,10119839,615946,10018,19564,149257,9085
2020-09-28,12656185,917371,1761391,10269725,625069,10109,19750,150940,9187
2020-09-29,12836807,927514,1781212,10421301,634294,10200,19937,152638,9290
2020-09-30,13019423,937749,1801219,10574580,643624,10292,20125,154353,9395
2020-10-01,13204053,948076,1821415,10729580,653058,10384,20314,156083,9500
2020-10-02,13390715,958495,1841800,10886317,662598,10477,20504,157830,9606
2020-10-03,13579426,969006,1862375,11044807,672244,10569,20694,159593,9714
2020-10-04,13770206,979610,1883141,11205067,681998,10662,20886,161373,9822
2020-10-05,13963071,990307,1904099,11367111,691861,10755,21078,163169,9931
2020-10-06,14158041,1001097,1925249,11530958,701834,10849,21271,164981,10042
2020-10-07,14355134,1011981,1946593,11696624,711917,10942,21465,166810,10153
2020-10-08,14554367,1022959,1968130,11864125,722112,11036,21659,168656,10265
