date,infected,exposed,active,recovered,deaths,diff_exposed,diff_active,diff_recovered,diff_deaths
2020-05-23,1015.0,86.0,378.0,576.354,60.646,0.1193,-10.38156,31.403,3.304
2020-05-24,1039.326,85.871,367.971,607.439,63.917,-0.49278,-9.49719,30.57,3.217
2020-05-25,1063.555,85.211,358.736,637.716,67.103,-0.9034,-8.83588,29.803,3.136
2020-05-26,1087.556,84.197,350.1,667.246,70.21,-1.17504,-8.32981,29.085,3.06
2020-05-27,1111.244,82.95,341.926,696.074,73.243,-1.35088,-7.93208,28.406,2.989
2020-05-28,1134.561,81.554,334.12,724.235,76.207,-1.46078,-7.61027,27.758,2.921
2020-05-29,1157.473,80.066,326.614,751.757,79.102,-1.52536,-7.34193,27.134,2.855
2020-05-30,1179.958,78.526,319.361,778.663,81.934,-1.55885,-7.11155,26.531,2.792
2020-05-31,1202.004,76.961,312.327,804.974,84.702,-1.57111,-6.90835,25.947,2.73
2020-06-01,1223.606,75.39,305.489,830.707,87.41,-1.56892,-6.72491,25.379,2.67
2020-06-02,1244.764,73.825,298.828,855.877,90.058,-1.55698,-6.55603,24.826,2.612
2020-06-03,1265.481,72.274,292.332,880.5,92.649,-1.53853,-6.39814,24.286,2.555
2020-06-04,1285.762,70.744,285.991,904.587,95.184,-1.5158,-6.24872,23.759,2.5
2020-06-05,1305.612,69.238,279.796,928.152,97.663,-1.49032,-6.10603,23.244,2.446
2020-06-06,1325.038,67.757,273.742,951.207,100.089,-1.46316,-5.96884,22.742,2.393
2020-06-07,1344.049,66.305,267.823,973.764,102.463,-1.43504,-5.83628,22.25,2.341
2020-06-08,1362.652,64.88,262.035,995.832,104.785,-1.40645,-5.70774,21.769,2.291
2020-06-09,1380.855,63.485,256.375,1017.424,107.057,-1.37775,-5.58277,21.299,2.241
2020-06-10,1398.667,62.118,250.838,1038.549,109.28,-1.34915,-5.46106,20.839,2.193
2020-06-11,1416.095,60.779,245.421,1059.219,111.455,-1.32083,-5.34235,20.389,2.145
2020-06-12,1433.147,59.469,240.123,1079.442,113.583,-1.29286,-5.22646,19.949,2.099
2020-06-13,1449.831,58.186,234.939,1099.228,115.665,-1.26534,-5.11326,19.518,2.054
2020-06-14,1466.156,56.931,229.867,1118.587,117.702,-1.23829,-5.00263,19.097,2.009
2020-06-15,1482.129,55.703,224.905,1137.528,119.695,-1.21174,-4.89447,18.684,1.966
2020-06-16,1497.756,54.501,220.051,1156.061,121.645,-1.18571,-4.7887,18.281,1.924
2020-06-17,1513.047,53.325,215.301,1174.193,123.553,-1.16021,-4.68526,17.886,1.882
2020-06-18,1528.008,52.174,210.654,1191.934,125.419,-1.13523,-4.58408,17.5,1.841
2020-06-19,1542.646,51.048,206.107,1209.292,127.246,-1.11077,-4.4851,17.123,1.802
2020-06-20,1556.967,49.946,201.659,1226.276,129.033,-1.08682,-4.38828,16.753,1.763
2020-06-21,1570.98,48.868,197.306,1242.893,130.782,-1.06338,-4.29355,16.392,1.725
2020-06-22,1584.691,47.813,193.047,1259.151,132.492,-1.04045,-4.20087,16.038,1.688
2020-06-23,1598.105,46.781,188.881,1275.058,134.166,-1.018,-4.11019,15.692,1.651
2020-06-24,1611.23,45.772,184.804,1290.622,135.804,-0.99603,-4.02148,15.353,1.615
2020-06-25,1624.071,44.784,180.815,1305.85,137.406,-0.97454,-3.93468,15.021,1.581
2020-06-26,1636.636,43.817,176.912,1320.75,138.974,-0.95351,-3.84976,14.697,1.546
2020-06-27,1648.929,42.871,173.094,1335.327,140.508,-0.93293,-3.76667,14.38,1.513
2020-06-28,1660.957,41.946,169.358,1349.591,142.009,-0.9128,-3.68538,14.07,1.48
2020-06-29,1672.725,41.041,165.702,1363.546,143.477,-0.8931,-3.60583,13.766,1.449
2020-06-30,1684.24,40.155,162.126,1377.2,144.914,-0.87382,-3.52801,13.469,1.417
2020-07-01,1695.505,39.288,158.627,1390.559,146.319,-0.85496,-3.45187,13.178,1.387
2020-07-02,1706.528,38.44,155.203,1403.63,147.695,-0.83651,-3.37737,12.894,1.357
2020-07-03,1717.313,37.61,151.853,1416.419,149.041,-0.81846,-3.30447,12.615,1.327
2020-07-04,1727.864,36.799,148.575,1428.932,150.357,-0.80079,-3.23315,12.343,1.299
2020-07-05,1738.189,36.004,145.368,1441.175,151.645,-0.78351,-3.16337,12.077,1.271
