date,infected,exposed,active,recovered,deaths,diff_exposed,diff_active,diff_recovered,diff_deaths
2020-04-15,493.0,6.0,212.0,234.807,46.193,-5.72588,-0.54588,5.42,1.066
2020-04-16,497.143,2.07,209.674,240.213,47.257,-1.83785,-4.3651,5.36,1.055
2020-04-17,498.616,0.8077,204.785,245.529,48.303,-0.59276,-5.46555,5.235,1.03
2020-04-18,499.229,0.3991,199.196,250.711,49.322,-0.19396,-5.69903,5.092,1.002
2020-04-19,499.563,0.2642,193.502,255.748,50.313,-0.06614,-5.65838,4.947,0.9732
2020-04-20,499.804,0.217,187.887,260.641,51.276,-0.02509,-5.53332,4.803,0.9449
2020-04-21,500.01,0.198,182.408,265.392,52.21,-0.01183,-5.3845,4.663,0.9174
2020-04-22,500.202,0.1882,177.081,270.003,53.118,-0.00748,-5.23127,4.527,0.8906
2020-04-23,500.386,0.1814,171.907,274.481,53.998,-0.00597,-5.0797,4.395,0.8646
2020-04-24,500.563,0.1757,166.883,278.827,54.853,-0.00539,-4.93166,4.266,0.8393
2020-04-25,500.735,0.1704,162.006,283.046,55.683,-0.0051,-4.78766,4.142,0.8148
2020-04-26,500.902,0.1654,157.271,287.142,56.489,-0.00491,-4.64777,4.021,0.791
2020-04-27,501.064,0.1606,152.675,291.118,57.271,-0.00475,-4.51195,3.903,0.7678
2020-04-28,501.221,0.1559,148.212,294.978,58.031,-0.00461,-4.38008,3.789,0.7454
2020-04-29,501.374,0.1513,143.881,298.725,58.768,-0.00447,-4.25207,3.678,0.7236
2020-04-30,501.522,0.1469,139.675,302.363,59.484,-0.00434,-4.12779,3.571,0.7025
2020-05-01,501.666,0.1426,135.593,305.894,60.178,-0.00421,-4.00715,3.466,0.6819
2020-05-02,501.806,0.1384,131.63,309.323,60.853,-0.00409,-3.89003,3.365,0.662
2020-05-03,501.941,0.1344,127.783,312.651,61.507,-0.00397,-3.77634,3.267,0.6427
2020-05-04,502.073,0.1304,124.048,315.881,62.143,-0.00386,-3.66597,3.171,0.6239
2020-05-05,502.2,0.1266,120.423,319.017,62.76,-0.00374,-3.55882,3.079,0.6056
2020-05-06,502.324,0.1229,116.903,322.062,63.359,-0.00363,-3.45481,2.989,0.5879
2020-05-07,502.445,0.1193,113.487,325.018,63.94,-0.00353,-3.35384,2.901,0.5708
2020-05-08,502.562,0.1159,110.17,327.887,64.505,-0.00342,-3.25582,2.816,0.5541
2020-05-09,502.675,0.1125,106.95,330.672,65.053,-0.00332,-3.16066,2.734,0.5379
2020-05-10,502.785,0.1092,103.824,333.376,65.585,-0.00323,-3.06828,2.654,0.5222
2020-05-11,502.892,0.106,100.79,336.001,66.101,-0.00313,-2.97861,2.577,0.5069
2020-05-12,502.996,0.1029,97.844,338.549,66.603,-0.00304,-2.89155,2.501,0.4921
2020-05-13,503.096,0.09988,94.984,341.023,67.089,-0.00295,-2.80704,2.428,0.4777
2020-05-14,503.194,0.09696,92.208,343.425,67.562,-0.00287,-2.725,2.357,0.4637
2020-05-15,503.289,0.09413,89.513,345.756,68.02,-0.00278,-2.64536,2.288,0.4502
2020-05-16,503.381,0.09138,86.897,348.019,68.465,-0.0027,-2.56804,2.221,0.437
2020-05-17,503.471,0.08871,84.357,350.216,68.898,-0.00262,-2.49299,2.157,0.4243
2020-05-18,503.558,0.08612,81.892,352.349,69.317,-0.00254,-2.42012,2.094,0.4119
2020-05-19,503.642,0.0836,79.498,354.419,69.725,-0.00247,-2.34939,2.032,0.3998
2020-05-20,503.724,0.08116,77.175,356.429,70.12,-0.0024,-2.28073,1.973,0.3881
2020-05-21,503.803,0.07878,74.919,358.38,70.504,-0.00233,-2.21407,1.915,0.3768
2020-05-22,503.88,0.07648,72.73,360.274,70.876,-0.00226,-2.14936,1.859,0.3658
2020-05-23,503.955,0.07425,70.604,362.113,71.238,-0.00219,-2.08654,1.805,0.3551
2020-05-24,504.028,0.07208,68.54,363.898,71.589,-0.00213,-2.02556,1.752,0.3447
2020-05-25,504.099,0.06997,66.537,365.631,71.93,-0.00207,-1.96635,1.701,0.3346
2020-05-26,504.167,0.06792,64.592,367.313,72.261,-0.00201,-1.90888,1.651,0.3249
2020-05-27,504.234,0.06594,62.705,368.946,72.582,-0.00195,-1.85309,1.603,0.3154
2020-05-28,504.298,0.06401,60.872,370.532,72.894,-0.00189,-1.79893,1.556,0.3061
2020-05-29,504.361,0.06214,59.093,372.071,73.197,-0.00184,-1.74636,1.511,0.2972
2020-05-30,504.422,0.06032,57.366,373.565,73.491,-0.00178,-1.69532,1.467,0.2885
2020-05-31,504.481,0.05856,55.689,375.015,73.776,-0.00173,-1.64577,1.424,0.2801
2020-06-01,504.538,0.05685,54.062,376.423,74.053,-0.00168,-1.59767,1.382,0.2719
2020-06-02,504.594,0.05519,52.482,377.79,74.322,-0.00163,-1.55097,1.342,0.2639
2020-06-03,504.648,0.05358,50.948,379.117,74.583,-0.00158,-1.50564,1.302,0.2562
2020-06-04,504.7,0.05201,49.459,380.405,74.837,-0.00154,-1.46164,1.264,0.2487
2020-06-05,504.751,0.05049,48.013,381.655,75.083,-0.00149,-1.41892,1.227,0.2415
2020-06-06,504.801,0.04901,46.61,382.869,75.321,-0.00145,-1.37745,1.192,0.2344
2020-06-07,504.849,0.04758,45.248,384.048,75.553,-0.00141,-1.33719,1.157,0.2276
2020-06-08,504.895,0.04619,43.925,385.192,75.778,-0.00137,-1.29811,1.123,0.2209
2020-06-09,504.94,0.04484,42.641,386.302,75.997,-0.00133,-1.26017,1.09,0.2145
2020-06-10,504.984,0.04353,41.395,387.38,76.209,-0.00129,-1.22334,1.058,0.2082
2020-06-11,505.027,0.04226,40.185,388.427,76.415,-0.00125,-1.18758,1.027,0.2021
2020-06-12,505.068,0.04102,39.011,389.443,76.615,-0.00121,-1.15287,0.9973,0.1962
2020-06-13,505.108,0.03982,37.871,390.429,76.809,-0.00118,-1.11918,0.9681,0.1905
2020-06-14,505.147,0.03866,36.764,391.387,76.997,-0.00114,-1.08647,0.9398,0.1849
2020-06-15,505.185,0.03753,35.689,392.316,77.18,-0.00111,-1.05471,0.9124,0.1795
2020-06-16,505.222,0.03643,34.646,393.218,77.357,-0.00108,-1.02389,0.8857,0.1742
2020-06-17,505.258,0.03537,33.634,394.094,77.53,-0.00105,-0.99396,0.8598,0.1692
2020-06-18,505.292,0.03433,32.651,394.945,77.697,-0.00101,-0.96491,0.8347,0.1642
2020-06-19,505.326,0.03333,31.696,395.77,77.859,-0.00099,-0.93671,0.8103,0.1594
2020-06-20,505.359,0.03236,30.77,396.572,78.017,-0.00096,-0.90933,0.7866,0.1548
2020-06-21,505.39,0.03141,29.871,397.349,78.17,-0.00093,-0.88276,0.7636,0.1502
2020-06-22,505.421,0.03049,28.998,398.105,78.319,-0.0009,-0.85696,0.7413,0.1458
2020-06-23,505.451,0.0296,28.15,398.838,78.463,-0.00087,-0.83191,0.7196,0.1416
2020-06-24,505.48,0.02874,27.327,399.55,78.603,-0.00085,-0.8076,0.6986,0.1374
2020-06-25,505.508,0.0279,26.529,400.24,78.739,-0.00082,-0.78399,0.6782,0.1334
2020-06-26,505.535,0.02708,25.753,400.911,78.871,-0.0008,-0.76108,0.6584,0.1295
2020-06-27,505.562,0.02629,25.001,401.562,78.999,-0.00078,-0.73884,0.6391,0.1257
2020-06-28,505.588,0.02552,24.27,402.194,79.123,-0.00075,-0.71724,0.6204,0.1221
2020-06-29,505.613,0.02478,23.561,402.808,79.244,-0.00073,-0.69628,0.6023,0.1185
2020-06-30,505.637,0.02405,22.872,403.404,79.361,-0.00071,-0.67593,0.5847,0.115
2020-07-01,505.66,0.02335,22.204,403.982,79.475,-0.00069,-0.65617,0.5676,0.1117
2020-07-02,505.683,0.02267,21.555,404.543,79.585,-0.00067,-0.637,0.551,0.1084
2020-07-03,505.705,0.022,20.925,405.088,79.693,-0.00065,-0.61838,0.5349,0.1052
2020-07-04,505.727,0.02136,20.313,405.617,79.797,-0.00063,-0.60031,0.5193,0.1022
2020-07-05,505.748,0.02074,19.719,406.131,79.898,-0.00061,-0.58276,0.5041,0.09917
2020-07-06,505.768,0.02013,19.143,406.629,79.996,-0.00059,-0.56573,0.4894,0.09628
2020-07-07,505.788,0.01954,18.584,407.113,80.091,-0.00058,-0.54919,0.4751,0.09346
2020-07-08,505.807,0.01897,18.04,407.583,80.183,-0.00056,-0.53314,0.4612,0.09073
2020-07-09,505.826,0.01842,17.513,408.039,80.273,-0.00054,-0.51756,0.4477,0.08808
2020-07-10,505.844,0.01788,17.001,408.482,80.36,-0.00053,-0.50243,0.4346,0.0855
2020-07-11,505.861,0.01736,16.504,408.912,80.445,-0.00051,-0.48775,0.4219,0.08301
2020-07-12,505.878,0.01685,16.022,409.329,80.527,-0.0005,-0.47349,0.4096,0.08058
