Date,Confirmed,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-05-14,69,13,69,0,0,1,3,0,0
2020-05-15,72,14,72,0,0,1,4,0,0
2020-05-16,76,15,76,0,0,1,4,0,0
2020-05-17,80,15,80,0,0,1,4,0,0
2020-05-18,84,16,84,0,0,1,4,0,0
2020-05-19,88,17,88,0,0,1,4,0,0
2020-05-20,93,18,93,0,0,1,5,0,0
2020-05-21,97,19,97,0,0,1,5,0,0
2020-05-22,102,20,102,0,0,1,5,0,0
2020-05-23,107,21,107,0,0,1,5,0,0
2020-05-24,113,22,113,0,0,1,6,0,0
2020-05-25,118,23,118,0,0,1,6,0,0
2020-05-26,124,24,124,0,0,1,6,0,0
2020-05-27,131,25,131,0,0,1,7,0,0
2020-05-28,137,26,137,0,0,1,7,0,0
2020-05-29,144,28,144,0,0,1,7,0,0
2020-05-30,151,29,151,0,0,1,8,0,0
2020-05-31,159,30,159,0,0,2,8,0,0
2020-06-01,167,32,167,0,0,2,8,0,0
2020-06-02,175,34,175,0,0,2,9,0,0
2020-06-03,184,35,184,0,0,2,9,0,0
2020-06-04,194,37,194,0,0,2,10,0,0
2020-06-05,203,39,203,0,0,2,10,0,0
2020-06-06,214,41,214,0,0,2,11,0,0
2020-06-07,224,43,224,0,0,2,11,0,0
2020-06-08,236,45,236,0,0,2,12,0,0
2020-06-09,248,47,248,0,0,2,12,0,0
2020-06-10,260,50,260,0,0,2,13,0,0
2020-06-11,273,52,273,0,0,3,14,0,0
2020-06-12,287,55,287,0,0,3,14,0,0
2020-06-13,301,58,301,0,0,3,15,0,0
2020-06-14,316,60,316,0,0,3,16,0,0
2020-06-15,332,63,332,0,0,3,17,0,0
2020-06-16,349,67,349,0,0,3,17,0,0
2020-06-17,366,70,366,0,0,3,18,0,0
2020-06-18,385,73,385,0,0,4,19,0,0
2020-06-19,404,77,404,0,0,4,20,0,0
2020-06-20,424,81,424,0,0,4,21,0,0
2020-06-21,445,85,445,0,0,4,22,0,0
2020-06-22,467,89,467,0,0,4,23,0,0
2020-06-23,491,93,491,0,0,5,24,0,0
2020-06-24,515,98,515,0,0,5,26,0,0
2020-06-25,541,103,541,0,0,5,27,0,0
2020-06-26,568,108,568,0,0,5,28,0,0
2020-06-27,596,113,596,0,0,6,30,0,0
2020-06-28,626,119,626,0,0,6,31,0,0
2020-06-29,657,125,657,0,0,6,33,0,0
2020-06-30,689,131,689,0,0,6,34,0,0
2020-07-01,723,137,723,0,0,7,36,0,0
2020-07-02,759,144,759,0,0,7,37,0,0
2020-07-03,797,151,797,0,0,7,39,0,0
2020-07-04,836,158,836,0,0,8,41,0,0
2020-07-05,877,166,877,0,0,8,43,0,0
2020-07-06,920,174,920,0,0,8,45,0,0
2020-07-07,965,182,965,0,0,9,47,0,0
2020-07-08,1013,191,1013,0,0,9,50,0,0
2020-07-09,1062,200,1062,0,0,10,52,0,0
2020-07-10,1114,210,1114,0,0,10,54,0,0
2020-07-11,1168,220,1168,0,0,10,57,0,0
2020-07-12,1225,230,1225,0,0,11,59,0,0
2020-07-13,1285,241,1285,0,0,11,62,0,0
2020-07-14,1347,252,1347,0,0,12,65,0,0
2020-07-15,1412,264,1412,0,0,12,68,0,0
2020-07-16,1480,277,1480,0,0,13,71,0,0
2020-07-17,1551,290,1551,0,0,13,74,0,0
2020-07-18,1626,303,1626,0,0,14,78,0,0
2020-07-19,1703,317,1703,0,0,15,81,0,0
2020-07-20,1784,332,1784,0,0,15,85,0,0
2020-07-21,1869,347,1869,0,0,16,89,0,0
