Date,Confirmed,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-05-13,9,41,9,0,0,0,1,0,0
2020-05-14,10,41,10,0,0,0,1,0,0
2020-05-15,11,40,11,0,0,0,1,0,0
2020-05-16,12,40,12,0,0,0,1,0,0
2020-05-17,12,40,12,0,0,0,1,0,0
2020-05-18,13,40,13,0,0,0,1,0,0
2020-05-19,14,40,14,0,0,0,1,0,0
2020-05-20,14,40,14,0,0,0,1,0,0
2020-05-21,15,40,15,0,0,0,1,0,0
2020-05-22,16,41,16,0,0,0,1,0,0
2020-05-23,16,41,16,0,0,0,1,0,0
2020-05-24,17,42,17,0,0,0,0,0,0
2020-05-25,17,42,17,0,0,1,0,0,0
2020-05-26,18,43,18,0,0,1,0,0,0
2020-05-27,18,43,18,0,0,1,0,0,0
2020-05-28,18,44,18,0,0,1,0,0,0
2020-05-29,19,44,19,0,0,1,0,0,0
2020-05-30,19,45,19,0,0,1,0,0,0
2020-05-31,20,46,20,0,0,1,0,0,0
2020-06-01,20,46,20,0,0,1,0,0,0
2020-06-02,21,47,21,0,0,1,0,0,0
2020-06-03,21,48,21,0,0,1,0,0,0
2020-06-04,21,49,21,0,0,1,0,0,0
2020-06-05,22,49,22,0,0,1,0,0,0
2020-06-06,22,50,22,0,0,1,0,0,0
2020-06-07,23,51,23,0,0,1,0,0,0
2020-06-08,23,52,23,0,0,1,0,0,0
2020-06-09,24,53,24,0,0,1,0,0,0
2020-06-10,24,54,24,0,0,1,0,0,0
2020-06-11,24,55,24,0,0,1,0,0,0
2020-06-12,25,56,25,0,0,1,0,0,0
2020-06-13,25,57,25,0,0,1,0,0,0
2020-06-14,26,58,26,0,0,1,0,0,0
2020-06-15,26,59,26,0,0,1,0,0,0
2020-06-16,27,60,27,0,0,1,0,0,0
2020-06-17,27,61,27,0,0,1,0,0,0
2020-06-18,28,62,28,0,0,1,0,0,0
2020-06-19,28,63,28,0,0,1,1,0,0
2020-06-20,29,64,29,0,0,1,1,0,0
2020-06-21,29,65,29,0,0,1,1,0,0
2020-06-22,30,66,30,0,0,1,1,0,0
2020-06-23,30,67,30,0,0,1,1,0,0
2020-06-24,31,69,31,0,0,1,1,0,0
2020-06-25,31,70,31,0,0,1,1,0,0
2020-06-26,32,71,32,0,0,1,1,0,0
2020-06-27,33,72,33,0,0,1,1,0,0
2020-06-28,33,73,33,0,0,1,1,0,0
2020-06-29,34,75,34,0,0,1,1,0,0
2020-06-30,34,76,34,0,0,1,1,0,0
2020-07-01,35,77,35,0,0,1,1,0,0
2020-07-02,36,79,36,0,0,1,1,0,0
2020-07-03,36,80,36,0,0,1,1,0,0
2020-07-04,37,82,37,0,0,1,1,0,0
2020-07-05,37,83,37,0,0,1,1,0,0
2020-07-06,38,84,38,0,0,1,1,0,0
2020-07-07,39,86,39,0,0,2,1,0,0
2020-07-08,39,87,39,0,0,2,1,0,0
2020-07-09,40,89,40,0,0,2,1,0,0
2020-07-10,41,90,41,0,0,2,1,0,0
2020-07-11,42,92,42,0,0,2,1,0,0
2020-07-12,42,94,42,0,0,2,1,0,0
2020-07-13,43,95,43,0,0,2,1,0,0
2020-07-14,44,97,44,0,0,2,1,0,0
2020-07-15,45,99,45,0,0,2,1,0,0
2020-07-16,45,100,45,0,0,2,1,0,0
2020-07-17,46,102,46,0,0,2,1,0,0
2020-07-18,47,104,47,0,0,2,1,0,0
2020-07-19,48,106,48,0,0,2,1,0,0
2020-07-20,49,108,49,0,0,2,1,0,0
2020-07-21,50,109,50,0,0,2,1,0,0
2020-07-22,50,111,50,0,0,2,1,0,0
2020-07-23,51,113,51,0,0,2,1,0,0
2020-07-24,52,115,52,0,0,2,1,0,0
2020-07-25,53,117,53,0,0,2,1,0,0
2020-07-26,54,119,54,0,0,2,1,0,0
2020-07-27,55,121,55,0,0,2,1,0,0
2020-07-28,56,123,56,0,0,2,1,0,0
2020-07-29,57,126,57,0,0,2,1,0,0
2020-07-30,58,128,58,0,0,2,1,0,0
2020-07-31,59,130,59,0,0,2,1,0,0
2020-08-01,60,132,60,0,0,2,1,0,0
2020-08-02,61,134,61,0,0,2,1,0,0
2020-08-03,62,137,62,0,0,2,1,0,0
2020-08-04,63,139,63,0,0,2,1,0,0
2020-08-05,64,142,64,0,0,2,1,0,0
2020-08-06,65,144,65,0,0,2,1,0,0
2020-08-07,66,146,66,0,0,3,1,0,0
2020-08-08,68,149,68,0,0,3,1,0,0
2020-08-09,69,151,69,0,0,3,1,0,0
2020-08-10,70,154,70,0,0,3,1,0,0
2020-08-11,71,157,71,0,0,3,1,0,0
2020-08-12,72,159,72,0,0,3,1,0,0
2020-08-13,74,162,74,0,0,3,1,0,0
2020-08-14,75,165,75,0,0,3,1,0,0
2020-08-15,76,168,76,0,0,3,1,0,0
2020-08-16,77,170,77,0,0,3,1,0,0
2020-08-17,79,173,79,0,0,3,1,0,0
2020-08-18,80,176,80,0,0,3,1,0,0
2020-08-19,81,179,81,0,0,3,1,0,0
2020-08-20,83,182,83,0,0,3,1,0,0
2020-08-21,84,185,84,0,0,3,1,0,0
2020-08-22,86,189,86,0,0,3,1,0,0
2020-08-23,87,192,87,0,0,3,1,0,0
2020-08-24,89,195,89,0,0,3,2,0,0
2020-08-25,90,198,90,0,0,3,2,0,0
2020-08-26,92,202,92,0,0,3,2,0,0
2020-08-27,93,205,93,0,0,3,2,0,0
2020-08-28,95,208,95,0,0,3,2,0,0
2020-08-29,96,212,96,0,0,4,2,0,0
2020-08-30,98,215,98,0,0,4,2,0,0
2020-08-31,100,219,100,0,0,4,2,0,0
2020-09-01,101,223,101,0,0,4,2,0,0
2020-09-02,103,226,103,0,0,4,2,0,0
2020-09-03,105,230,105,0,0,4,2,0,0
2020-09-04,107,234,107,0,0,4,2,0,0
2020-09-05,108,238,108,0,0,4,2,0,0
2020-09-06,110,242,110,0,0,4,2,0,0
2020-09-07,112,246,112,0,0,4,2,0,0
2020-09-08,114,250,114,0,0,4,2,0,0
2020-09-09,116,254,116,0,0,4,2,0,0
2020-09-10,118,258,118,0,0,4,2,0,0
2020-09-11,120,262,120,0,0,4,2,0,0
2020-09-12,122,266,122,0,0,4,2,0,0
2020-09-13,124,271,124,0,0,4,2,0,0
2020-09-14,126,275,126,0,0,4,2,0,0
2020-09-15,128,280,128,0,0,5,2,0,0
2020-09-16,130,284,130,0,0,5,2,0,0
2020-09-17,132,289,132,0,0,5,2,0,0
2020-09-18,134,293,134,0,0,5,2,0,0
2020-09-19,137,298,137,0,0,5,2,0,0
2020-09-20,139,303,139,0,0,5,2,0,0
2020-09-21,141,308,141,0,0,5,2,0,0
2020-09-22,143,313,143,0,0,5,2,0,0
2020-09-23,146,318,146,0,0,5,2,0,0
2020-09-24,148,323,148,0,0,5,2,0,0
2020-09-25,151,328,151,0,0,5,2,0,0
2020-09-26,153,333,153,0,0,5,2,0,0
