Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-05-24,10099,1702,10099,0,0,-189,568,0,0
2020-05-25,10667,1513,10667,0,0,-59,456,0,0
2020-05-26,11123,1454,11123,0,0,-2,414,0,0
2020-05-27,11537,1452,11537,0,0,23,401,0,0
2020-05-28,11938,1475,11938,0,0,35,401,0,0
2020-05-29,12339,1510,12339,0,0,40,407,0,0
2020-05-30,12747,1550,12747,0,0,43,416,0,0
2020-05-31,13163,1593,13163,0,0,45,426,0,0
2020-06-01,13589,1638,13589,0,0,46,436,0,0
2020-06-02,14025,1684,14025,0,0,47,447,0,0
2020-06-03,14472,1731,14472,0,0,48,458,0,0
2020-06-04,14930,1778,14930,0,0,48,469,0,0
2020-06-05,15399,1827,15399,0,0,49,480,0,0
2020-06-06,15879,1876,15879,0,0,49,491,0,0
2020-06-07,16369,1925,16369,0,0,50,502,0,0
2020-06-08,16871,1975,16871,0,0,51,512,0,0
2020-06-09,17383,2026,17383,0,0,51,523,0,0
2020-06-10,17907,2076,17907,0,0,51,534,0,0
2020-06-11,18440,2128,18440,0,0,52,545,0,0
2020-06-12,18985,2179,18985,0,0,52,555,0,0
2020-06-13,19540,2231,19540,0,0,52,565,0,0
2020-06-14,20105,2284,20105,0,0,52,575,0,0
2020-06-15,20681,2336,20681,0,0,52,585,0,0
2020-06-16,21266,2388,21266,0,0,52,595,0,0
2020-06-17,21861,2440,21861,0,0,52,604,0,0
2020-06-18,22465,2493,22465,0,0,52,613,0,0
2020-06-19,23078,2545,23078,0,0,52,622,0,0
2020-06-20,23700,2596,23700,0,0,51,630,0,0
2020-06-21,24331,2648,24331,0,0,51,638,0,0
2020-06-22,24969,2699,24969,0,0,50,646,0,0
2020-06-23,25615,2749,25615,0,0,50,653,0,0
2020-06-24,26268,2799,26268,0,0,49,659,0,0
2020-06-25,26927,2848,26927,0,0,48,665,0,0
2020-06-26,27592,2896,27592,0,0,47,671,0,0
2020-06-27,28262,2944,28262,0,0,46,675,0,0
2020-06-28,28938,2990,28938,0,0,45,679,0,0
2020-06-29,29617,3035,29617,0,0,44,683,0,0
2020-06-30,30300,3079,30300,0,0,43,685,0,0
2020-07-01,30985,3122,30985,0,0,41,687,0,0
2020-07-02,31673,3163,31673,0,0,40,689,0,0
2020-07-03,32361,3203,32361,0,0,38,689,0,0
2020-07-04,33051,3241,33051,0,0,36,689,0,0
2020-07-05,33739,3278,33739,0,0,35,687,0,0
2020-07-06,34427,3313,34427,0,0,33,685,0,0
2020-07-07,35112,3345,35112,0,0,31,682,0,0
2020-07-08,35794,3376,35794,0,0,29,678,0,0
2020-07-09,36473,3405,36473,0,0,27,674,0,0
2020-07-10,37147,3432,37147,0,0,25,668,0,0
2020-07-11,37814,3456,37814,0,0,22,661,0,0
2020-07-12,38476,3478,38476,0,0,20,654,0,0
2020-07-13,39129,3498,39129,0,0,18,645,0,0
2020-07-14,39775,3516,39775,0,0,15,636,0,0
2020-07-15,40410,3531,40410,0,0,13,625,0,0
2020-07-16,41036,3544,41036,0,0,10,614,0,0
2020-07-17,41649,3554,41649,0,0,8,602,0,0
2020-07-18,42251,3562,42251,0,0,5,588,0,0
2020-07-19,42840,3567,42840,0,0,3,574,0,0
2020-07-20,43414,3570,43414,0,0,0,560,0,0
2020-07-21,43974,3570,43974,0,0,-2,544,0,0
2020-07-22,44517,3568,44517,0,0,-5,527,0,0
2020-07-23,45045,3563,45045,0,0,-7,510,0,0
2020-07-24,45554,3556,45554,0,0,-10,492,0,0
2020-07-25,46046,3547,46046,0,0,-12,473,0,0
2020-07-26,46519,3534,46519,0,0,-14,453,0,0
2020-07-27,46973,3520,46973,0,0,-17,433,0,0
2020-07-28,47406,3503,47406,0,0,-19,413,0,0
2020-07-29,47819,3484,47819,0,0,-21,391,0,0
2020-07-30,48210,3463,48210,0,0,-23,370,0,0
2020-07-31,48579,3440,48579,0,0,-25,347,0,0
2020-08-01,48927,3414,48927,0,0,-27,325,0,0
2020-08-02,49252,3387,49252,0,0,-29,302,0,0
2020-08-03,49553,3357,49553,0,0,-31,279,0,0
2020-08-04,49832,3326,49832,0,0,-33,255,0,0
2020-08-05,50087,3293,50087,0,0,-34,231,0,0
2020-08-06,50318,3259,50318,0,0,-36,207,0,0
2020-08-07,50525,3223,50525,0,0,-37,183,0,0
2020-08-08,50709,3185,50709,0,0,-39,159,0,0
2020-08-09,50868,3147,50868,0,0,-40,135,0,0
2020-08-10,51004,3107,51004,0,0,-41,111,0,0
2020-08-11,51115,3065,51115,0,0,-42,88,0,0
2020-08-12,51203,3023,51203,0,0,-43,64,0,0
2020-08-13,51266,2980,51266,0,0,-44,40,0,0
2020-08-14,51307,2935,51307,0,0,-45,17,0,0
2020-08-15,51324,2891,51324,0,0,-46,-6,0,0
2020-08-16,51317,2845,51317,0,0,-46,-29,0,0
2020-08-17,51289,2799,51289,0,0,-47,-51,0,0
2020-08-18,51237,2752,51237,0,0,-47,-73,0,0
2020-08-19,51164,2705,51164,0,0,-47,-95,0,0
2020-08-20,51070,2658,51070,0,0,-48,-116,0,0
2020-08-21,50954,2610,50954,0,0,-48,-136,0,0
2020-08-22,50817,2562,50817,0,0,-48,-157,0,0
2020-08-23,50661,2514,50661,0,0,-48,-176,0,0
2020-08-24,50484,2466,50484,0,0,-48,-195,0,0
2020-08-25,50289,2418,50289,0,0,-48,-214,0,0
2020-08-26,50075,2370,50075,0,0,-48,-232,0,0
2020-08-27,49843,2323,49843,0,0,-47,-249,0,0
2020-08-28,49594,2275,49594,0,0,-47,-266,0,0
2020-08-29,49328,2228,49328,0,0,-47,-282,0,0
2020-08-30,49046,2181,49046,0,0,-46,-297,0,0
2020-08-31,48749,2135,48749,0,0,-46,-312,0,0
2020-09-01,48437,2089,48437,0,0,-46,-327,0,0
2020-09-02,48110,2043,48110,0,0,-45,-340,0,0
2020-09-03,47770,1998,47770,0,0,-45,-353,0,0
2020-09-04,47417,1954,47417,0,0,-44,-365,0,0
2020-09-05,47051,1910,47051,0,0,-43,-377,0,0
2020-09-06,46674,1866,46674,0,0,-43,-388,0,0
2020-09-07,46286,1824,46286,0,0,-42,-399,0,0
2020-09-08,45888,1782,45888,0,0,-41,-408,0,0
2020-09-09,45479,1740,45479,0,0,-41,-418,0,0
2020-09-10,45062,1699,45062,0,0,-40,-426,0,0
2020-09-11,44635,1659,44635,0,0,-39,-434,0,0
2020-09-12,44201,1620,44201,0,0,-39,-442,0,0
2020-09-13,43760,1581,43760,0,0,-38,-449,0,0
2020-09-14,43311,1543,43311,0,0,-37,-455,0,0
2020-09-15,42856,1506,42856,0,0,-37,-461,0,0
