Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-05-24,16100,653,9448,6645,7,-38,266,163,0
2020-05-25,16529,615,9714,6808,7,-2,236,168,0
2020-05-26,16934,613,9950,6976,8,9,231,172,0
2020-05-27,17336,622,10181,7147,8,12,232,176,0
2020-05-28,17744,634,10413,7323,8,13,236,180,0
2020-05-29,18161,647,10650,7503,8,14,241,184,0
2020-05-30,18586,661,10891,7687,8,14,246,188,0
2020-05-31,19021,676,11137,7875,9,15,251,192,0
2020-06-01,19464,690,11388,8067,9,15,257,197,0
2020-06-02,19918,705,11645,8264,9,15,262,201,0
2020-06-03,20381,720,11907,8465,9,16,267,206,0
2020-06-04,20855,736,12174,8671,10,16,273,210,0
2020-06-05,21338,752,12447,8881,10,16,279,215,0
2020-06-06,21832,768,12726,9096,10,16,284,220,0
2020-06-07,22337,784,13011,9316,10,17,290,225,0
2020-06-08,22851,801,13301,9540,10,17,296,230,0
2020-06-09,23378,818,13597,9770,11,17,302,235,0
2020-06-10,23915,835,13899,10005,11,18,308,240,0
2020-06-11,24464,853,14208,10245,11,18,315,245,0
2020-06-12,25024,871,14522,10490,12,18,321,251,0
2020-06-13,25596,889,14843,10741,12,19,327,256,0
2020-06-14,26180,907,15171,10997,12,19,334,262,0
2020-06-15,26776,926,15505,11259,12,19,341,268,0
2020-06-16,27385,946,15845,11527,13,20,347,274,0
2020-06-17,28006,965,16193,11800,13,20,354,280,0
2020-06-18,28640,985,16547,12080,13,20,361,286,0
2020-06-19,29288,1005,16908,12366,14,21,368,292,0
2020-06-20,29948,1026,17276,12658,14,21,375,298,0
2020-06-21,30621,1047,17651,12956,14,21,382,305,0
2020-06-22,31310,1068,18034,13261,15,22,390,311,0
2020-06-23,32010,1089,18423,13572,15,22,397,318,0
2020-06-24,32725,1111,18820,13890,15,22,405,325,0
2020-06-25,33456,1133,19225,14215,16,23,412,332,0
2020-06-26,34201,1156,19638,14547,16,23,420,339,0
2020-06-27,34960,1179,20058,14886,16,23,428,346,0
2020-06-28,35735,1202,20485,15233,17,24,436,354,0
2020-06-29,36524,1226,20921,15586,17,24,444,361,0
2020-06-30,37331,1250,21365,15948,18,24,452,369,0
2020-07-01,38152,1274,21817,16317,18,25,460,377,0
2020-07-02,38988,1299,22277,16693,18,25,468,385,0
2020-07-03,39842,1324,22745,17078,19,25,477,393,0
2020-07-04,40711,1349,23221,17471,19,26,485,401,0
2020-07-05,41598,1375,23706,17872,20,26,493,409,0
2020-07-06,42501,1401,24200,18281,20,26,502,418,0
2020-07-07,43422,1427,24702,18699,21,27,511,427,0
2020-07-08,44358,1454,25212,19125,21,27,519,435,0
2020-07-09,45314,1481,25732,19561,21,27,528,444,0
2020-07-10,46287,1508,26260,20005,22,28,537,453,0
2020-07-11,47277,1536,26797,20458,22,28,546,463,1
2020-07-12,48287,1564,27343,20921,23,28,555,472,1
2020-07-13,49314,1592,27898,21393,23,29,564,482,1
2020-07-14,50360,1621,28461,21875,24,29,573,491,1
2020-07-15,51426,1650,29034,22367,25,29,582,501,1
2020-07-16,52509,1679,29616,22868,25,30,591,511,1
2020-07-17,53613,1709,30208,23379,26,30,600,522,1
2020-07-18,54735,1739,30808,23901,26,30,610,532,1
2020-07-19,55878,1769,31418,24433,27,30,619,543,1
2020-07-20,57039,1799,32037,24975,27,31,628,553,1
2020-07-21,58222,1830,32665,25529,28,31,638,564,1
2020-07-22,59425,1861,33303,26093,29,31,647,575,1
2020-07-23,60647,1892,33950,26668,29,31,656,586,1
