Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-05-21,1617,122,955,656,6,6,66,54,0
2020-05-22,1737,128,1021,710,6,9,69,58,0
2020-05-23,1865,137,1090,768,7,9,73,62,1
2020-05-24,2001,146,1164,830,7,10,78,66,1
2020-05-25,2145,156,1242,895,8,10,84,70,1
2020-05-26,2298,166,1325,965,8,11,89,75,1
2020-05-27,2464,177,1415,1040,9,12,95,80,1
2020-05-28,2640,189,1510,1120,10,13,101,85,1
2020-05-29,2826,202,1611,1205,10,13,108,91,1
2020-05-30,3026,215,1719,1296,11,14,115,97,1
2020-05-31,3239,229,1834,1393,12,15,123,104,1
2020-06-01,3466,244,1956,1497,13,16,131,110,1
2020-06-02,3708,261,2087,1607,14,17,139,118,1
2020-06-03,3966,278,2226,1725,15,18,148,126,1
2020-06-04,4241,296,2374,1851,16,19,158,134,1
2020-06-05,4534,315,2532,1985,17,21,168,143,1
2020-06-06,4846,336,2700,2128,18,22,179,152,1
2020-06-07,5180,358,2879,2281,20,23,190,163,1
2020-06-08,5533,381,3069,2443,21,25,202,173,1
2020-06-09,5909,406,3271,2616,22,26,215,185,2
2020-06-10,6312,432,3487,2801,24,28,229,197,2
2020-06-11,6739,459,3715,2998,26,29,243,210,2
2020-06-12,7195,489,3959,3208,28,31,258,224,2
2020-06-13,7678,520,4217,3432,29,33,274,238,2
2020-06-14,8193,553,4491,3670,32,35,291,254,2
2020-06-15,8740,587,4783,3923,34,37,309,270,2
2020-06-16,9321,624,5092,4193,36,39,328,288,2
2020-06-17,9939,663,5420,4481,38,41,348,306,3
2020-06-18,10596,704,5768,4787,41,43,369,326,3
2020-06-19,11293,747,6136,5113,44,46,390,347,3
2020-06-20,12033,793,6527,5459,47,48,413,369,3
2020-06-21,12818,841,6940,5828,50,51,437,392,3
2020-06-22,13650,892,7377,6220,53,53,462,417,4
2020-06-23,14533,945,7840,6636,57,56,489,443,4
2020-06-24,15468,1000,8328,7079,61,58,516,470,4
2020-06-25,16458,1059,8844,7549,65,61,544,499,4
2020-06-26,17507,1120,9389,8049,69,64,574,530,5
2020-06-27,18615,1184,9962,8579,74,67,605,563,5
2020-06-28,19788,1251,10567,9142,79,70,636,597,5
2020-06-29,21025,1320,11203,9738,84,73,669,633,5
2020-06-30,22332,1393,11872,10371,89,75,703,670,6
2020-07-01,23712,1468,12575,11042,95,78,737,710,6
2020-07-02,25165,1546,13312,11752,101,81,773,752,6
2020-07-03,26696,1627,14085,12504,107,84,809,795,7
2020-07-04,28306,1711,14893,13299,114,86,845,841,7
2020-07-05,30000,1797,15739,14140,121,89,883,889,8
2020-07-06,31779,1886,16621,15029,129,91,920,939,8
2020-07-07,33645,1977,17541,15967,137,93,958,991,9
2020-07-08,35603,2070,18499,16958,146,95,995,1045,9
2020-07-09,37652,2165,19494,18003,155,97,1033,1101,9
2020-07-10,39795,2261,20527,19104,164,98,1069,1159,10
2020-07-11,42033,2359,21596,20263,174,99,1105,1220,10
2020-07-12,44370,2458,22702,21483,185,99,1140,1282,11
2020-07-13,46803,2557,23842,22765,196,100,1174,1346,12
2020-07-14,49333,2657,25015,24111,207,99,1205,1413,12
2020-07-15,51964,2756,26221,25524,219,99,1235,1481,13
2020-07-16,54693,2855,27456,27005,232,97,1262,1551,13
2020-07-17,57518,2952,28718,28555,245,96,1287,1622,14
2020-07-18,60441,3048,30005,30177,259,93,1308,1695,15
2020-07-19,63459,3141,31314,31871,274,91,1326,1768,15
2020-07-20,66569,3232,32640,33640,289,87,1340,1843,16
2020-07-21,69769,3319,33981,35483,305,83,1350,1919,16
2020-07-22,73054,3402,35331,37402,321,78,1356,1995,17
2020-07-23,76422,3480,36687,39397,338,73,1356,2072,18
2020-07-24,79868,3554,38043,41469,356,67,1351,2148,18
2020-07-25,83387,3621,39394,43618,375,61,1341,2225,19
2020-07-26,86971,3682,40735,45842,394,54,1325,2300,20
2020-07-27,90617,3737,42060,48143,414,47,1304,2375,20
2020-07-28,94316,3784,43364,50518,434,40,1276,2449,21
2020-07-29,98062,3824,44640,52967,455,32,1243,2521,22
2020-07-30,101848,3856,45883,55488,477,24,1204,2591,22
2020-07-31,105665,3880,47087,58079,499,15,1159,2659,23
2020-08-01,109506,3895,48246,60738,522,7,1108,2725,23
2020-08-02,113362,3902,49354,63463,545,-1,1052,2787,24
2020-08-03,117225,3901,50406,66250,569,-10,991,2847,24
2020-08-04,121087,3891,51396,69097,594,-18,925,2903,25
2020-08-05,124938,3873,52321,71999,618,-26,854,2955,25
2020-08-06,128773,3847,53175,74954,644,-34,780,3003,26
2020-08-07,132581,3813,53954,77957,670,-41,702,3047,26
2020-08-08,136356,3772,54656,81004,696,-48,621,3087,27
2020-08-09,140090,3723,55277,84091,722,-55,537,3122,27
2020-08-10,143775,3668,55814,87212,749,-61,452,3152,27
2020-08-11,147407,3607,56267,90364,776,-67,366,3178,27
2020-08-12,150978,3540,56633,93542,803,-72,279,3198,27
2020-08-13,154483,3469,56912,96740,831,-76,192,3214,28
2020-08-14,157917,3392,57104,99954,859,-80,106,3225,28
2020-08-15,161275,3312,57210,103179,886,-83,21,3231,28
2020-08-16,164555,3229,57231,106410,914,-86,-63,3232,28
2020-08-17,167751,3143,57167,109642,942,-88,-145,3228,28
2020-08-18,170863,3054,57023,112870,970,-90,-224,3220,28
2020-08-19,173886,2964,56798,116091,997,-91,-301,3208,28
2020-08-20,176821,2873,56498,119298,1025,-92,-374,3191,27
2020-08-21,179665,2781,56124,122489,1052,-92,-444,3170,27
2020-08-22,182417,2689,55680,125658,1079,-92,-510,3144,27
2020-08-23,185080,2597,55171,128803,1106,-92,-572,3116,27
2020-08-24,187650,2505,54599,131918,1133,-91,-630,3083,26
2020-08-25,190131,2415,53969,135002,1160,-89,-684,3048,26
2020-08-26,192522,2325,53286,138050,1186,-88,-733,3009,26
2020-08-27,194824,2237,52553,141059,1212,-86,-779,2968,25
2020-08-28,197038,2151,51774,144027,1237,-85,-820,2924,25
2020-08-29,199167,2066,50954,146951,1262,-83,-857,2878,25
2020-08-30,201213,1984,50098,149828,1287,-80,-890,2829,24
2020-08-31,203176,1903,49208,152657,1311,-78,-918,2779,24
2020-09-01,205061,1825,48290,155436,1335,-76,-943,2727,23
2020-09-02,206869,1750,47346,158164,1359,-73,-965,2674,23
2020-09-03,208601,1676,46382,160837,1382,-71,-982,2619,22
2020-09-04,210260,1605,45399,163457,1404,-68,-997,2564,22
2020-09-05,211848,1537,44402,166020,1426,-66,-1008,2508,22
2020-09-06,213371,1471,43395,168528,1448,-64,-1016,2451,21
2020-09-07,214827,1407,42379,170979,1469,-61,-1021,2393,21
2020-09-08,216220,1346,41359,173372,1489,-59,-1023,2336,20
2020-09-09,217552,1287,40335,175708,1509,-56,-1023,2278,20
2020-09-10,218827,1231,39312,177986,1529,-54,-1021,2220,19
2020-09-11,220046,1177,38292,180206,1548,-52,-1016,2162,19
2020-09-12,221210,1125,37276,182368,1566,-50,-1009,2105,18
2020-09-13,222324,1075,36266,184473,1585,-48,-1001,2048,18
2020-09-14,223388,1028,35265,186521,1602,-46,-991,1992,17
2020-09-15,224406,982,34274,188513,1619,-44,-980,1936,17
2020-09-16,225378,939,33294,190448,1636,-42,-967,1880,16
2020-09-17,226308,897,32327,192329,1652,-40,-953,1826,16
2020-09-18,227196,857,31374,194154,1668,-38,-938,1772,15
2020-09-19,228045,819,30436,195926,1683,-36,-922,1719,15
2020-09-20,228856,783,29513,197645,1698,-35,-906,1667,14
2020-09-21,229631,748,28607,199312,1712,-33,-889,1616,14
2020-09-22,230372,715,27719,200927,1726,-32,-871,1565,13
2020-09-23,231080,684,26848,202493,1739,-30,-852,1516,13
2020-09-24,231757,653,25996,204009,1752,-29,-834,1468,13
2020-09-25,232404,625,25162,205477,1765,-27,-815,1421,12
2020-09-26,233022,597,24347,206898,1777,-26,-796,1375,12
2020-09-27,233614,571,23552,208273,1789,-25,-776,1330,11
2020-09-28,234178,546,22775,209603,1800,-24,-757,1286,11
2020-09-29,234719,522,22019,210889,1811,-23,-737,1243,11
2020-09-30,235236,499,21281,212133,1822,-22,-718,1202,10
2020-10-01,235730,478,20564,213334,1832,-21,-698,1161,10
2020-10-02,236203,457,19865,214496,1842,-20,-679,1122,10
2020-10-03,236656,437,19186,215618,1852,-19,-660,1083,9
2020-10-04,237088,418,18526,216701,1861,-18,-641,1046,9
2020-10-05,237502,400,17885,217747,1870,-17,-623,1010,9
2020-10-06,237898,383,17262,218757,1879,-16,-604,975,8
2020-10-07,238277,366,16658,219732,1887,-16,-586,941,8
2020-10-08,238641,351,16072,220673,1896,-15,-568,908,8
2020-10-09,238986,336,15503,221580,1903,-14,-551,876,8
2020-10-10,239320,321,14953,222456,1911,-14,-534,844,7
2020-10-11,239637,308,14419,223300,1918,-13,-517,814,7
2020-10-12,239942,295,13902,224115,1925,-12,-500,785,7
2020-10-13,240234,282,13402,224900,1932,-12,-484,757,7
2020-10-14,240513,270,12918,225657,1938,-11,-468,730,6
2020-10-15,240781,259,12450,226386,1945,-11,-453,703,6
2020-10-16,241037,248,11997,227089,1951,-10,-438,677,6
2020-10-17,241282,237,11559,227767,1956,-10,-423,653,6
2020-10-18,241516,227,11135,228419,1962,-10,-409,629,5
2020-10-19,241741,218,10726,229048,1967,-9,-395,606,5
2020-10-20,241958,209,10331,229654,1973,-9,-382,583,5
2020-10-21,242164,200,9949,230237,1978,-8,-369,562,5
2020-10-22,242362,192,9581,230799,1982,-8,-356,541,5
2020-10-23,242552,184,9225,231340,1987,-8,-343,521,4
2020-10-24,242734,176,8881,231861,1992,-7,-331,502,4
2020-10-25,242909,169,8550,232363,1996,-7,-320,483,4
2020-10-26,243076,162,8230,232846,2000,-7,-309,465,4
2020-10-27,243236,155,7921,233311,2004,-6,-298,447,4
2020-10-28,243390,149,7624,233758,2008,-6,-287,431,4
2020-10-29,243537,143,7337,234188,2012,-6,-277,414,4
2020-10-30,243678,137,7060,234603,2015,-6,-267,399,3
2020-10-31,243814,131,6794,235001,2019,-5,-257,384,3
2020-11-01,243943,126,6536,235385,2022,-5,-248,369,3
2020-11-02,244068,121,6289,235754,2025,-5,-239,355,3
2020-11-03,244187,116,6050,236109,2028,-5,-230,342,3
2020-11-04,244302,111,5820,236451,2031,-5,-222,329,3
2020-11-05,244412,106,5598,236780,2034,-4,-213,316,3
2020-11-06,244518,102,5385,237096,2037,-4,-206,304,3
2020-11-07,244618,98,5179,237400,2039,-4,-198,292,3
2020-11-08,244715,94,4981,237692,2042,-4,-191,281,2
2020-11-09,244809,90,4791,237974,2044,-4,-184,271,2
2020-11-10,244897,87,4607,238244,2046,-4,-177,260,2
2020-11-11,244983,83,4430,238504,2049,-3,-170,250,2
2020-11-12,245066,80,4260,238755,2051,-3,-164,241,2
2020-11-13,245144,76,4096,238995,2053,-3,-158,231,2
2020-11-14,245221,73,3939,239227,2055,-3,-152,222,2
2020-11-15,245293,70,3787,239449,2057,-3,-146,214,2
2020-11-16,245363,68,3641,239663,2059,-3,-141,206,2
2020-11-17,245428,65,3500,239868,2060,-3,-135,198,2
2020-11-18,245493,62,3365,240066,2062,-3,-130,190,2
2020-11-19,245555,60,3235,240256,2064,-2,-125,183,2
2020-11-20,245614,57,3110,240439,2065,-2,-120,176,2
2020-11-21,245672,55,2990,240615,2067,-2,-116,169,1
2020-11-22,245725,53,2874,240783,2068,-2,-111,162,1
2020-11-23,245778,51,2762,240946,2070,-2,-107,156,1
2020-11-24,245828,49,2655,241102,2071,-2,-103,150,1
2020-11-25,245876,47,2552,241252,2072,-2,-99,144,1
2020-11-26,245923,45,2453,241396,2074,-2,-95,139,1
2020-11-27,245967,43,2358,241534,2075,-2,-92,133,1
2020-11-28,246009,41,2266,241667,2076,-2,-88,128,1
2020-11-29,246050,40,2178,241795,2077,-2,-85,123,1
2020-11-30,246089,38,2093,241918,2078,-2,-82,118,1
2020-12-01,246128,37,2012,242037,2079,-1,-78,114,1
2020-12-02,246163,35,1933,242150,2080,-1,-75,109,1
2020-12-03,246198,34,1858,242259,2081,-1,-72,105,1
2020-12-04,246231,32,1785,242364,2082,-1,-70,101,1
2020-12-05,246264,31,1716,242465,2083,-1,-67,97,1
2020-12-06,246295,30,1649,242562,2084,-1,-64,93,1
2020-12-07,246323,29,1584,242655,2084,-1,-62,89,1
2020-12-08,246353,28,1523,242745,2085,-1,-59,86,1
2020-12-09,246380,26,1463,242831,2086,-1,-57,83,1
2020-12-10,246406,25,1406,242913,2087,-1,-55,79,1
2020-12-11,246431,24,1351,242993,2087,-1,-53,76,1
2020-12-12,246455,23,1298,243069,2088,-1,-51,73,1
2020-12-13,246478,22,1247,243142,2089,-1,-49,70,1
2020-12-14,246501,22,1199,243213,2089,-1,-47,68,1
2020-12-15,246522,21,1152,243280,2090,-1,-45,65,1
2020-12-16,246542,20,1107,243345,2090,-1,-43,62,1
2020-12-17,246562,19,1063,243408,2091,-1,-42,60,1
2020-12-18,246581,18,1022,243468,2091,-1,-40,58,0
2020-12-19,246600,18,982,243526,2092,-1,-38,55,0
2020-12-20,246616,17,943,243581,2092,-1,-37,53,0
2020-12-21,246633,16,906,243634,2093,-1,-36,51,0
2020-12-22,246649,16,871,243685,2093,-1,-34,49,0
2020-12-23,246665,15,836,243735,2094,-1,-33,47,0
2020-12-24,246680,14,804,243782,2094,-1,-32,45,0
2020-12-25,246693,14,772,243827,2094,-1,-30,44,0
2020-12-26,246708,13,742,243871,2095,-1,-29,42,0
2020-12-27,246721,13,713,243913,2095,-1,-28,40,0
2020-12-28,246733,12,685,243953,2095,0,-27,39,0
2020-12-29,246746,12,658,243992,2096,0,-26,37,0
2020-12-30,246757,11,632,244029,2096,0,-25,36,0
2020-12-31,246767,11,607,244064,2096,0,-24,34,0
2021-01-01,246779,10,583,244099,2097,0,-23,33,0
2021-01-02,246789,10,560,244132,2097,0,-22,32,0
2021-01-03,246798,10,538,244163,2097,0,-21,30,0
2021-01-04,246809,9,517,244194,2098,0,-20,29,0
2021-01-05,246818,9,497,244223,2098,0,-20,28,0
2021-01-06,246826,9,477,244251,2098,0,-19,27,0
2021-01-07,246835,8,459,244278,2098,0,-18,26,0
2021-01-08,246843,8,441,244304,2098,0,-17,25,0
2021-01-09,246851,8,423,244329,2099,0,-17,24,0
2021-01-10,246859,7,407,244353,2099,0,-16,23,0
2021-01-11,246866,7,391,244376,2099,0,-15,22,0
2021-01-12,246872,7,375,244398,2099,0,-15,21,0
2021-01-13,246879,6,361,244419,2099,0,-14,20,0
2021-01-14,246885,6,346,244439,2100,0,-14,20,0
2021-01-15,246892,6,333,244459,2100,0,-13,19,0
2021-01-16,246898,6,320,244478,2100,0,-13,18,0
2021-01-17,246903,5,307,244496,2100,0,-12,17,0
2021-01-18,246908,5,295,244513,2100,0,-12,17,0
2021-01-19,246913,5,283,244530,2100,0,-11,16,0
2021-01-20,246919,5,272,244546,2101,0,-11,15,0
2021-01-21,246924,5,262,244561,2101,0,-10,15,0
2021-01-22,246928,4,251,244576,2101,0,-10,14,0
2021-01-23,246932,4,241,244590,2101,0,-9,14,0
2021-01-24,246937,4,232,244604,2101,0,-9,13,0
2021-01-25,246941,4,223,244617,2101,0,-9,13,0
2021-01-26,246944,4,214,244629,2101,0,-8,12,0
2021-01-27,246948,4,206,244641,2101,0,-8,12,0
2021-01-28,246951,4,197,244653,2101,0,-8,11,0
2021-01-29,246956,3,190,244664,2102,0,-7,11,0
2021-01-30,246959,3,182,244675,2102,0,-7,10,0
2021-01-31,246962,3,175,244685,2102,0,-7,10,0
2021-02-01,246965,3,168,244695,2102,0,-7,9,0
2021-02-02,246969,3,162,244705,2102,0,-6,9,0
2021-02-03,246971,3,155,244714,2102,0,-6,9,0
2021-02-04,246974,3,149,244723,2102,0,-6,8,0
2021-02-05,246976,3,143,244731,2102,0,-6,8,0
2021-02-06,246979,2,138,244739,2102,0,-5,8,0
2021-02-07,246981,2,132,244747,2102,0,-5,7,0
2021-02-08,246983,2,127,244754,2102,0,-5,7,0
2021-02-09,246985,2,122,244761,2102,0,-5,7,0
2021-02-10,246987,2,117,244768,2102,0,-5,7,0
