Date,Confirmed,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-05-13,11,1,11,0,0,2,0,0,0
2020-05-14,11,3,11,0,0,2,0,0,0
2020-05-15,11,4,11,0,0,1,1,0,0
2020-05-16,12,6,12,0,0,1,1,0,0
2020-05-17,13,7,13,0,0,1,1,0,0
2020-05-18,14,8,14,0,0,1,1,0,0
2020-05-19,15,9,15,0,0,1,1,0,0
2020-05-20,16,11,16,0,0,1,1,0,0
2020-05-21,18,12,18,0,0,1,2,0,0
2020-05-22,19,13,19,0,0,1,2,0,0
2020-05-23,21,15,21,0,0,2,2,0,0
2020-05-24,23,16,23,0,0,2,2,0,0
2020-05-25,25,18,25,0,0,2,3,0,0
2020-05-26,28,20,28,0,0,2,3,0,0
2020-05-27,31,22,31,0,0,2,3,0,0
2020-05-28,34,24,34,0,0,2,3,0,0
2020-05-29,37,26,37,0,0,3,4,0,0
2020-05-30,41,29,41,0,0,3,4,0,0
2020-05-31,45,32,45,0,0,3,4,0,0
2020-06-01,49,35,49,0,0,3,5,0,0
2020-06-02,54,38,54,0,0,4,5,0,0
2020-06-03,60,42,60,0,0,4,6,0,0
2020-06-04,65,46,65,0,0,5,7,0,0
2020-06-05,72,51,72,0,0,5,7,0,0
2020-06-06,79,56,79,0,0,6,8,0,0
2020-06-07,87,62,87,0,0,6,9,0,0
2020-06-08,96,68,96,0,0,7,10,0,0
2020-06-09,105,74,105,0,0,7,10,0,0
2020-06-10,116,82,116,0,0,8,12,0,0
2020-06-11,127,90,127,0,0,9,13,0,0
2020-06-12,140,99,140,0,0,10,14,0,0
2020-06-13,154,109,154,0,0,11,15,0,0
2020-06-14,169,119,169,0,0,12,17,0,0
2020-06-15,186,131,186,0,0,13,18,0,0
2020-06-16,204,144,204,0,0,14,20,0,0
2020-06-17,224,158,224,0,0,16,22,0,0
2020-06-18,247,174,247,0,0,17,24,0,0
2020-06-19,271,191,271,0,0,19,27,0,0
2020-06-20,298,209,298,0,0,20,29,0,0
2020-06-21,327,230,327,0,0,22,32,0,0
2020-06-22,359,252,359,0,0,25,35,0,0
2020-06-23,395,277,395,0,0,27,39,0,0
2020-06-24,434,304,434,0,0,29,43,0,0
2020-06-25,476,333,476,0,0,32,47,0,0
2020-06-26,523,365,523,0,0,35,51,0,0
2020-06-27,574,400,574,0,0,38,56,0,0
2020-06-28,630,438,630,0,0,42,61,0,0
2020-06-29,692,480,692,0,0,45,67,0,0
2020-06-30,759,525,759,0,0,49,74,0,0
2020-07-01,833,575,833,0,0,54,81,0,0
2020-07-02,913,629,913,0,0,58,88,0,0
2020-07-03,1001,687,1001,0,0,63,96,0,0
2020-07-04,1097,751,1097,0,0,69,105,0,0
2020-07-05,1202,819,1202,0,0,74,115,0,0
2020-07-06,1317,894,1317,0,0,80,125,0,0
2020-07-07,1442,974,1442,0,0,87,136,0,0
2020-07-08,1578,1061,1578,0,0,93,148,0,0
2020-07-09,1726,1154,1726,0,0,100,161,0,0
2020-07-10,1887,1255,1887,0,0,107,175,0,0
2020-07-11,2061,1362,2061,0,0,115,189,0,0
2020-07-12,2251,1477,2251,0,0,122,205,0,0
2020-07-13,2456,1600,2456,0,0,130,222,0,0
2020-07-14,2678,1730,2678,0,0,138,240,0,0
2020-07-15,2918,1867,2918,0,0,145,258,0,0
2020-07-16,3176,2013,3176,0,0,153,278,0,0
2020-07-17,3454,2165,3454,0,0,160,298,0,0
