Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-05-20,3254,219,1933,1301,20,-94,124,55,1
2020-05-21,3433,125,2057,1356,20,-11,44,58,1
2020-05-22,3535,114,2100,1414,21,0,33,59,1
2020-05-23,3629,113,2133,1474,22,1,32,60,1
2020-05-24,3722,115,2165,1534,23,2,32,61,1
2020-05-25,3816,116,2197,1595,24,2,32,62,1
2020-05-26,3911,118,2229,1657,25,2,33,63,1
2020-05-27,4008,120,2262,1720,26,2,33,64,1
2020-05-28,4106,121,2295,1784,27,2,34,65,1
2020-05-29,4206,123,2329,1849,28,2,34,66,1
2020-05-30,4307,125,2363,1915,29,2,34,67,1
2020-05-31,4409,127,2397,1982,30,2,35,68,1
2020-06-01,4513,128,2432,2050,31,2,35,69,1
2020-06-02,4619,130,2468,2119,32,2,36,70,1
2020-06-03,4725,132,2504,2188,33,2,36,71,1
2020-06-04,4833,134,2540,2259,34,2,37,72,1
2020-06-05,4942,136,2576,2331,35,2,37,73,1
2020-06-06,5054,137,2614,2404,36,2,38,74,1
2020-06-07,5166,139,2651,2478,37,2,38,75,1
2020-06-08,5280,141,2689,2553,38,2,39,76,1
2020-06-09,5397,143,2728,2629,40,2,39,77,1
2020-06-10,5514,145,2767,2706,41,2,40,78,1
2020-06-11,5632,147,2806,2784,42,2,40,79,1
2020-06-12,5753,149,2846,2864,43,2,40,81,1
2020-06-13,5875,151,2887,2944,44,2,41,82,1
2020-06-14,6000,153,2928,3026,46,2,41,83,1
2020-06-15,6125,155,2969,3109,47,2,42,84,1
2020-06-16,6252,157,3011,3193,48,2,42,85,1
2020-06-17,6381,159,3054,3278,49,2,43,86,1
2020-06-18,6512,161,3097,3364,51,2,43,88,1
2020-06-19,6644,164,3140,3452,52,2,44,89,1
2020-06-20,6778,166,3184,3541,53,2,44,90,1
2020-06-21,6914,168,3228,3631,55,2,45,91,1
2020-06-22,7051,170,3273,3722,56,2,45,93,1
2020-06-23,7192,172,3319,3815,58,2,46,94,1
2020-06-24,7332,175,3365,3908,59,2,46,95,1
2020-06-25,7475,177,3411,4004,60,2,47,96,1
2020-06-26,7620,179,3458,4100,62,2,47,98,1
2020-06-27,7767,181,3506,4198,63,2,48,99,1
2020-06-28,7916,184,3554,4297,65,2,49,101,2
2020-06-29,8066,186,3602,4398,66,2,49,102,2
2020-06-30,8218,188,3651,4499,68,2,50,103,2
2020-07-01,8373,191,3701,4603,69,2,50,105,2
2020-07-02,8529,193,3751,4707,71,2,51,106,2
2020-07-03,8688,196,3802,4813,73,2,51,108,2
2020-07-04,8848,198,3853,4921,74,2,52,109,2
2020-07-05,9010,201,3904,5030,76,2,52,110,2
2020-07-06,9175,203,3957,5140,78,2,53,112,2
2020-07-07,9340,205,4009,5252,79,3,53,113,2
2020-07-08,9510,208,4063,5366,81,3,54,115,2
2020-07-09,9680,211,4116,5481,83,3,54,116,2
2020-07-10,9852,213,4171,5597,84,3,55,118,2
2020-07-11,10027,216,4226,5715,86,3,55,120,2
2020-07-12,10204,218,4281,5835,88,3,56,121,2
2020-07-13,10383,221,4337,5956,90,3,56,123,2
2020-07-14,10563,223,4393,6078,92,3,57,124,2
2020-07-15,10747,226,4450,6203,94,3,58,126,2
2020-07-16,10931,229,4508,6328,95,3,58,128,2
2020-07-17,11119,231,4566,6456,97,3,59,129,2
2020-07-18,11309,234,4625,6585,99,3,59,131,2
2020-07-19,11501,237,4684,6716,101,3,60,132,2
2020-07-20,11694,240,4743,6848,103,3,60,134,2
2020-07-21,11890,242,4803,6982,105,3,61,136,2
2020-07-22,12089,245,4864,7118,107,3,61,138,2
2020-07-23,12290,248,4925,7256,109,3,62,139,2
2020-07-24,12494,251,4987,7395,112,3,62,141,2
2020-07-25,12699,253,5049,7536,114,3,63,143,2
2020-07-26,12907,256,5112,7679,116,3,63,145,2
2020-07-27,13117,259,5175,7824,118,3,64,146,2
2020-07-28,13329,262,5239,7970,120,3,64,148,2
2020-07-29,13543,265,5303,8118,122,3,65,150,2
2020-07-30,13761,268,5368,8268,125,3,65,152,2
2020-07-31,13980,270,5433,8420,127,3,66,154,2
2020-08-01,14202,273,5499,8574,129,3,66,156,2
2020-08-02,14426,276,5565,8729,132,3,67,157,2
2020-08-03,14652,279,5631,8887,134,3,67,159,2
2020-08-04,14880,282,5698,9046,136,3,68,161,2
2020-08-05,15112,285,5766,9207,139,3,68,163,2
2020-08-06,15345,288,5834,9370,141,3,68,165,2
2020-08-07,15581,291,5902,9535,144,3,69,167,3
2020-08-08,15819,294,5971,9702,146,3,69,169,3
2020-08-09,16061,297,6041,9871,149,3,70,171,3
2020-08-10,16303,300,6110,10042,151,3,70,173,3
2020-08-11,16550,303,6181,10215,154,3,71,175,3
2020-08-12,16798,306,6251,10390,157,3,71,177,3
2020-08-13,17047,309,6322,10566,159,3,71,179,3
2020-08-14,17301,312,6394,10745,162,3,72,181,3
2020-08-15,17556,315,6465,10926,165,3,72,183,3
2020-08-16,17813,318,6537,11109,167,3,73,185,3
2020-08-17,18074,320,6610,11294,170,3,73,187,3
2020-08-18,18337,323,6683,11481,173,3,73,189,3
2020-08-19,18602,326,6756,11670,176,3,74,191,3
2020-08-20,18870,329,6830,11861,179,3,74,193,3
2020-08-21,19139,332,6903,12054,182,3,74,195,3
2020-08-22,19412,335,6978,12249,185,3,74,197,3
2020-08-23,19687,338,7052,12447,188,3,75,199,3
2020-08-24,19964,341,7127,12646,191,3,75,202,3
2020-08-25,20244,344,7202,12848,194,3,75,204,3
2020-08-26,20525,347,7277,13051,197,3,76,206,3
2020-08-27,20810,350,7353,13257,200,3,76,208,3
2020-08-28,21097,353,7429,13465,203,3,76,210,3
2020-08-29,21386,356,7505,13675,206,3,76,212,3
2020-08-30,21677,359,7581,13887,209,3,76,214,3
2020-08-31,21972,362,7657,14102,213,3,77,217,3
2020-09-01,22268,365,7734,14318,216,3,77,219,3
2020-09-02,22567,368,7811,14537,219,3,77,221,3
2020-09-03,22869,370,7888,14758,223,3,77,223,3
2020-09-04,23172,373,7965,14981,226,3,77,225,3
2020-09-05,23478,376,8042,15207,229,3,77,227,3
2020-09-06,23787,379,8120,15434,233,3,77,230,3
2020-09-07,24097,382,8197,15664,236,3,77,232,3
2020-09-08,24410,385,8274,15896,240,3,78,234,4
2020-09-09,24725,387,8352,16130,243,3,78,236,4
2020-09-10,25043,390,8430,16366,247,3,78,238,4
2020-09-11,25361,393,8507,16604,250,3,78,241,4
2020-09-12,25684,395,8585,16845,254,3,78,243,4
2020-09-13,26008,398,8662,17088,258,3,78,245,4
2020-09-14,26334,401,8740,17333,261,3,78,247,4
2020-09-15,26663,403,8818,17580,265,3,77,249,4
2020-09-16,26993,406,8895,17829,269,3,77,252,4
2020-09-17,27326,409,8972,18081,273,3,77,254,4
2020-09-18,27661,411,9050,18335,276,3,77,256,4
2020-09-19,27998,414,9127,18591,280,2,77,258,4
2020-09-20,28337,416,9204,18849,284,2,77,260,4
2020-09-21,28678,419,9281,19109,288,2,77,262,4
2020-09-22,29020,421,9357,19371,292,2,76,265,4
2020-09-23,29366,423,9434,19636,296,2,76,267,4
2020-09-24,29713,426,9510,19903,300,2,76,269,4
2020-09-25,30062,428,9586,20172,304,2,76,271,4
2020-09-26,30412,430,9661,20443,308,2,75,273,4
2020-09-27,30765,433,9737,20716,312,2,75,275,4
2020-09-28,31121,435,9812,20992,317,2,75,278,4
2020-09-29,31477,437,9887,21269,321,2,74,280,4
2020-09-30,31835,439,9961,21549,325,2,74,282,4
2020-10-01,32195,441,10035,21831,329,2,74,284,4
2020-10-02,32556,443,10109,22114,333,2,73,286,4
2020-10-03,32920,446,10182,22400,338,2,73,288,4
2020-10-04,33285,447,10255,22688,342,2,72,290,4
2020-10-05,33651,449,10327,22978,346,2,72,292,4
2020-10-06,34020,451,10399,23270,351,2,71,294,4
2020-10-07,34390,453,10470,23565,355,2,71,296,4
2020-10-08,34762,455,10541,23861,360,2,70,298,4
2020-10-09,35134,457,10611,24159,364,2,70,300,5
2020-10-10,35509,458,10681,24459,369,2,69,302,5
2020-10-11,35884,460,10750,24761,373,2,68,304,5
2020-10-12,36261,462,10818,25065,378,2,68,306,5
2020-10-13,36640,463,10886,25371,383,2,67,308,5
2020-10-14,37019,465,10953,25679,387,1,66,310,5
2020-10-15,37401,466,11020,25989,392,1,66,312,5
2020-10-16,37782,468,11085,26300,397,1,65,314,5
2020-10-17,38165,469,11150,26614,401,1,64,315,5
2020-10-18,38550,470,11215,26929,406,1,64,317,5
2020-10-19,38936,472,11278,27247,411,1,63,319,5
2020-10-20,39323,473,11341,27566,416,1,62,321,5
2020-10-21,39709,474,11403,27886,420,1,61,323,5
2020-10-22,40098,475,11464,28209,425,1,60,324,5
2020-10-23,40487,476,11524,28533,430,1,59,326,5
2020-10-24,40878,477,11584,28859,435,1,59,328,5
2020-10-25,41269,478,11642,29187,440,1,58,329,5
2020-10-26,41661,479,11700,29516,445,1,57,331,5
2020-10-27,42054,480,11757,29847,450,1,56,333,5
2020-10-28,42446,481,11812,30179,455,1,55,334,5
2020-10-29,42841,481,11867,30514,460,1,54,336,5
2020-10-30,43235,482,11921,30849,465,1,53,337,5
2020-10-31,43630,483,11974,31186,470,1,52,339,5
2020-11-01,44026,483,12026,31525,475,0,51,340,5
2020-11-02,44422,484,12077,31865,480,0,50,342,5
2020-11-03,44819,484,12126,32207,486,0,49,343,5
2020-11-04,45216,485,12175,32550,491,0,48,344,5
2020-11-05,45613,485,12223,32894,496,0,46,346,5
2020-11-06,46010,485,12269,33240,501,0,45,347,5
2020-11-07,46407,485,12314,33587,506,0,44,348,5
2020-11-08,46806,486,12359,33935,512,0,43,350,5
2020-11-09,47204,486,12402,34285,517,0,42,351,5
