Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-05-20,402,32,239,161,2,5,16,13,0
2020-05-21,431,37,255,174,2,3,20,14,0
2020-05-22,466,40,276,188,2,3,22,15,0
2020-05-23,503,43,298,202,3,3,24,16,0
2020-05-24,543,47,321,219,3,4,25,17,0
2020-05-25,586,50,347,236,3,4,27,19,0
2020-05-26,632,54,374,255,3,4,29,20,0
2020-05-27,682,58,403,275,4,5,32,22,0
2020-05-28,736,63,435,297,4,5,34,23,0
2020-05-29,793,68,469,320,4,5,37,25,0
2020-05-30,856,73,506,345,5,6,39,27,0
2020-05-31,923,78,545,373,5,6,42,29,0
2020-06-01,995,84,588,402,5,6,46,32,0
2020-06-02,1073,91,633,434,6,7,49,34,0
2020-06-03,1157,98,683,468,6,7,53,37,0
2020-06-04,1247,105,735,505,7,8,57,40,1
2020-06-05,1344,113,792,545,7,8,61,43,1
2020-06-06,1448,121,853,587,8,9,65,46,1
2020-06-07,1559,130,918,633,8,10,70,50,1
2020-06-08,1680,140,988,683,9,10,75,53,1
2020-06-09,1809,150,1063,736,10,11,80,57,1
2020-06-10,1947,161,1143,794,10,12,86,62,1
2020-06-11,2096,173,1229,856,11,12,92,66,1
2020-06-12,2255,185,1321,922,12,13,98,71,1
2020-06-13,2425,198,1419,993,13,14,105,77,1
2020-06-14,2608,212,1524,1070,14,15,112,82,1
2020-06-15,2803,226,1636,1152,15,15,119,88,1
2020-06-16,3011,242,1755,1240,16,16,127,95,1
2020-06-17,3235,258,1882,1335,18,17,135,102,1
2020-06-18,3473,275,2017,1437,19,18,143,109,1
2020-06-19,3726,293,2160,1546,20,19,152,117,2
2020-06-20,3996,312,2312,1662,22,20,161,125,2
2020-06-21,4284,331,2473,1787,24,20,170,134,2
2020-06-22,4589,352,2643,1921,25,21,180,143,2
2020-06-23,4914,373,2823,2064,27,22,189,152,2
2020-06-24,5257,395,3012,2216,29,23,199,163,2
2020-06-25,5621,418,3211,2379,31,23,209,173,2
2020-06-26,6007,441,3421,2552,34,24,219,185,2
2020-06-27,6413,465,3640,2737,36,24,229,197,3
2020-06-28,6841,489,3869,2933,39,25,239,209,3
2020-06-29,7292,514,4108,3142,42,25,249,222,3
2020-06-30,7765,539,4357,3364,44,25,258,235,3
2020-07-01,8263,564,4616,3599,48,25,267,249,3
2020-07-02,8783,589,4883,3849,51,25,276,264,3
2020-07-03,9324,613,5158,4112,54,24,283,279,4
2020-07-04,9891,638,5442,4391,58,24,290,294,4
2020-07-05,10479,662,5732,4685,62,23,296,310,4
2020-07-06,11089,685,6029,4994,66,22,301,326,4
2020-07-07,11720,707,6330,5320,70,21,305,342,5
2020-07-08,12372,728,6635,5662,75,19,308,358,5
2020-07-09,13043,747,6943,6020,80,18,309,375,5
2020-07-10,13732,765,7252,6395,85,16,309,392,5
2020-07-11,14438,781,7561,6787,90,14,306,408,5
2020-07-12,15157,795,7867,7195,95,12,303,425,6
2020-07-13,15891,807,8170,7620,101,10,297,441,6
2020-07-14,16635,817,8467,8061,107,7,290,457,6
2020-07-15,17388,824,8757,8518,113,5,281,473,6
2020-07-16,18148,829,9038,8991,119,2,270,488,6
2020-07-17,18912,831,9308,9479,125,0,257,503,7
2020-07-18,19679,831,9565,9982,132,-3,243,517,7
2020-07-19,20445,828,9808,10498,139,-5,227,530,7
2020-07-20,21209,823,10035,11028,146,-8,210,542,7
2020-07-21,21967,815,10244,11570,153,-10,191,553,7
2020-07-22,22718,805,10435,12123,160,-12,171,564,7
2020-07-23,23461,793,10606,12687,168,-14,151,573,8
2020-07-24,24192,778,10757,13260,175,-16,129,581,8
2020-07-25,24909,762,10886,13840,183,-18,107,588,8
2020-07-26,25612,744,10993,14428,191,-19,85,594,8
2020-07-27,26299,725,11078,15022,199,-21,62,598,8
2020-07-28,26968,705,11141,15620,207,-22,40,602,8
2020-07-29,27617,683,11181,16222,214,-22,18,604,8
2020-07-30,28247,661,11199,16826,222,-23,-4,605,8
2020-07-31,28857,638,11196,17431,230,-23,-25,605,8
2020-08-01,29444,614,11171,18035,238,-24,-45,603,8
2020-08-02,30010,591,11126,18638,246,-24,-64,601,8
2020-08-03,30555,567,11062,19239,254,-24,-83,597,8
2020-08-04,31078,543,10979,19837,262,-23,-100,593,8
2020-08-05,31579,520,10879,20430,270,-23,-116,588,8
2020-08-06,32058,496,10763,21017,278,-23,-131,581,8
2020-08-07,32516,474,10632,21598,286,-22,-145,574,8
2020-08-08,32952,452,10487,22172,293,-22,-157,566,7
2020-08-09,33369,430,10329,22739,301,-21,-169,558,7
2020-08-10,33766,409,10161,23297,308,-20,-179,549,7
2020-08-11,34142,389,9982,23845,315,-20,-188,539,7
2020-08-12,34500,369,9794,24384,322,-19,-195,529,7
2020-08-13,34841,350,9599,24913,329,-18,-202,518,7
2020-08-14,35165,332,9397,25432,336,-17,-208,507,7
2020-08-15,35471,315,9189,25939,343,-16,-212,496,7
2020-08-16,35762,299,8977,26435,350,-16,-216,485,6
2020-08-17,36037,283,8761,26920,356,-15,-218,473,6
2020-08-18,36298,268,8543,27393,362,-14,-220,461,6
2020-08-19,36546,254,8323,27855,368,-13,-221,449,6
2020-08-20,36780,241,8102,28304,374,-13,-221,438,6
2020-08-21,37002,228,7880,28742,380,-12,-221,426,6
2020-08-22,37212,216,7659,29167,386,-11,-220,414,5
2020-08-23,37411,204,7439,29581,391,-11,-219,402,5
2020-08-24,37600,193,7221,29983,396,-10,-217,390,5
2020-08-25,37778,183,7004,30372,402,-10,-214,378,5
2020-08-26,37948,174,6790,30751,407,-9,-212,367,5
2020-08-27,38106,164,6578,31117,411,-9,-208,355,5
2020-08-28,38259,156,6370,31473,416,-8,-205,344,5
2020-08-29,38403,148,6165,31817,421,-8,-201,333,4
2020-08-30,38537,140,5963,32149,425,-7,-197,322,4
2020-08-31,38667,132,5766,32472,429,-7,-193,311,4
2020-09-01,38789,126,5573,32783,433,-7,-189,301,4
2020-09-02,38905,119,5384,33084,437,-6,-185,291,4
2020-09-03,39015,113,5199,33375,441,-6,-180,281,4
2020-09-04,39119,107,5019,33655,445,-5,-176,271,4
2020-09-05,39218,102,4843,33926,449,-5,-171,262,3
2020-09-06,39312,97,4672,34188,452,-5,-167,252,3
2020-09-07,39400,92,4505,34440,455,-5,-162,243,3
2020-09-08,39485,87,4343,34683,459,-4,-157,235,3
2020-09-09,39566,83,4186,34918,462,-4,-153,226,3
2020-09-10,39642,79,4033,35144,465,-4,-148,218,3
2020-09-11,39714,75,3884,35362,468,-4,-144,210,3
2020-09-12,39783,71,3741,35572,470,-3,-139,202,3
2020-09-13,39848,67,3601,35774,473,-3,-135,194,3
2020-09-14,39911,64,3467,35968,476,-3,-131,187,2
2020-09-15,39969,61,3336,36155,478,-3,-126,180,2
2020-09-16,40025,58,3210,36335,480,-3,-122,173,2
2020-09-17,40080,55,3088,36509,483,-3,-118,167,2
2020-09-18,40130,53,2970,36675,485,-3,-114,160,2
2020-09-19,40178,50,2855,36836,487,-2,-110,154,2
2020-09-20,40224,48,2745,36990,489,-2,-106,148,2
2020-09-21,40268,45,2639,37138,491,-2,-103,143,2
2020-09-22,40311,43,2537,37281,493,-2,-99,137,2
2020-09-23,40351,41,2438,37418,495,-2,-95,132,2
2020-09-24,40387,39,2342,37549,496,-2,-92,126,2
2020-09-25,40424,37,2250,37676,498,-2,-89,122,2
2020-09-26,40459,36,2162,37797,500,-2,-85,117,2
2020-09-27,40491,34,2076,37914,501,-2,-82,112,1
2020-09-28,40523,32,1994,38026,503,-1,-79,108,1
2020-09-29,40553,31,1915,38134,504,-1,-76,103,1
2020-09-30,40582,30,1839,38237,506,-1,-73,99,1
2020-10-01,40609,28,1765,38337,507,-1,-71,95,1
2020-10-02,40635,27,1695,38432,508,-1,-68,92,1
2020-10-03,40660,26,1627,38524,509,-1,-65,88,1
2020-10-04,40683,24,1561,38611,511,-1,-63,84,1
2020-10-05,40706,23,1498,38696,512,-1,-60,81,1
