Date,Confirmed,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-05-11,42,80,42,0,0,-6,8,0,0
2020-05-12,50,74,50,0,0,-4,7,0,0
2020-05-13,58,70,58,0,0,-3,6,0,0
2020-05-14,64,67,64,0,0,-2,6,0,0
2020-05-15,69,65,69,0,0,-1,5,0,0
2020-05-16,75,63,75,0,0,-1,5,0,0
2020-05-17,79,63,79,0,0,0,4,0,0
2020-05-18,84,63,84,0,0,0,4,0,0
2020-05-19,88,63,88,0,0,1,4,0,0
2020-05-20,92,64,92,0,0,1,4,0,0
2020-05-21,96,65,96,0,0,1,4,0,0
2020-05-22,100,66,100,0,0,2,4,0,0
2020-05-23,104,68,104,0,0,2,4,0,0
2020-05-24,108,70,108,0,0,2,4,0,0
2020-05-25,112,72,112,0,0,2,4,0,0
2020-05-26,116,74,116,0,0,2,4,0,0
2020-05-27,121,76,121,0,0,2,4,0,0
2020-05-28,125,79,125,0,0,3,4,0,0
2020-05-29,129,81,129,0,0,3,5,0,0
2020-05-30,134,84,134,0,0,3,5,0,0
2020-05-31,139,87,139,0,0,3,5,0,0
2020-06-01,143,90,143,0,0,3,5,0,0
2020-06-02,148,93,148,0,0,3,5,0,0
2020-06-03,154,96,154,0,0,3,5,0,0
2020-06-04,159,99,159,0,0,3,6,0,0
2020-06-05,164,102,164,0,0,3,6,0,0
2020-06-06,170,106,170,0,0,4,6,0,0
2020-06-07,176,109,176,0,0,4,6,0,0
2020-06-08,182,113,182,0,0,4,6,0,0
2020-06-09,188,117,188,0,0,4,6,0,0
2020-06-10,195,121,195,0,0,4,7,0,0
2020-06-11,202,125,202,0,0,4,7,0,0
2020-06-12,208,129,208,0,0,4,7,0,0
2020-06-13,216,134,216,0,0,5,7,0,0
2020-06-14,223,138,223,0,0,5,8,0,0
2020-06-15,231,143,231,0,0,5,8,0,0
2020-06-16,239,148,239,0,0,5,8,0,0
2020-06-17,247,153,247,0,0,5,8,0,0
2020-06-18,255,158,255,0,0,5,9,0,0
2020-06-19,264,164,264,0,0,6,9,0,0
2020-06-20,273,169,273,0,0,6,9,0,0
2020-06-21,283,175,283,0,0,6,10,0,0
2020-06-22,292,181,292,0,0,6,10,0,0
2020-06-23,302,187,302,0,0,6,10,0,0
2020-06-24,313,194,313,0,0,7,11,0,0
2020-06-25,323,200,323,0,0,7,11,0,0
2020-06-26,334,207,334,0,0,7,11,0,0
2020-06-27,346,214,346,0,0,7,12,0,0
2020-06-28,358,222,358,0,0,8,12,0,0
2020-06-29,370,229,370,0,0,8,13,0,0
2020-06-30,383,237,383,0,0,8,13,0,0
2020-07-01,396,245,396,0,0,8,14,0,0
2020-07-02,409,253,409,0,0,9,14,0,0
2020-07-03,423,262,423,0,0,9,14,0,0
2020-07-04,438,271,438,0,0,9,15,0,0
2020-07-05,453,280,453,0,0,10,15,0,0
2020-07-06,468,290,468,0,0,10,16,0,0
2020-07-07,484,300,484,0,0,10,17,0,0
2020-07-08,501,310,501,0,0,10,17,0,0
2020-07-09,518,320,518,0,0,11,18,0,0
2020-07-10,535,331,535,0,0,11,18,0,0
2020-07-11,554,342,554,0,0,12,19,0,0
2020-07-12,573,354,573,0,0,12,19,0,0
2020-07-13,592,366,592,0,0,12,20,0,0
2020-07-14,612,378,612,0,0,13,21,0,0
2020-07-15,633,391,633,0,0,13,21,0,0
2020-07-16,654,404,654,0,0,14,22,0,0
2020-07-17,677,418,677,0,0,14,23,0,0
2020-07-18,700,432,700,0,0,14,24,0,0
2020-07-19,723,446,723,0,0,15,24,0,0
2020-07-20,748,461,748,0,0,15,25,0,0
2020-07-21,773,476,773,0,0,16,26,0,0
2020-07-22,799,492,799,0,0,16,27,0,0
2020-07-23,826,509,826,0,0,17,28,0,0
2020-07-24,854,526,854,0,0,18,29,0,0
2020-07-25,883,543,883,0,0,18,30,0,0
2020-07-26,913,561,913,0,0,19,31,0,0
2020-07-27,943,580,943,0,0,19,32,0,0
2020-07-28,975,599,975,0,0,20,33,0,0
2020-07-29,1008,619,1008,0,0,21,34,0,0
2020-07-30,1042,640,1042,0,0,21,35,0,0
2020-07-31,1077,661,1077,0,0,22,36,0,0
2020-08-01,1113,683,1113,0,0,22,37,0,0
2020-08-02,1150,705,1150,0,0,23,38,0,0
2020-08-03,1189,728,1189,0,0,24,40,0,0
2020-08-04,1228,752,1228,0,0,25,41,0,0
2020-08-05,1269,777,1269,0,0,25,42,0,0
2020-08-06,1311,802,1311,0,0,26,44,0,0
2020-08-07,1355,829,1355,0,0,27,45,0,0
2020-08-08,1400,856,1400,0,0,28,46,0,0
2020-08-09,1446,883,1446,0,0,29,48,0,0
2020-08-10,1494,912,1494,0,0,30,49,0,0
2020-08-11,1544,942,1544,0,0,30,51,0,0
2020-08-12,1595,972,1595,0,0,31,53,0,0
2020-08-13,1647,1003,1647,0,0,32,54,0,0
2020-08-14,1702,1036,1702,0,0,33,56,0,0
2020-08-15,1757,1069,1757,0,0,34,58,0,0
2020-08-16,1815,1103,1815,0,0,35,59,0,0
2020-08-17,1874,1138,1874,0,0,36,61,0,0
2020-08-18,1936,1174,1936,0,0,37,63,0,0
2020-08-19,1999,1212,1999,0,0,38,65,0,0
2020-08-20,2064,1250,2064,0,0,39,67,0,0
2020-08-21,2131,1289,2131,0,0,40,69,0,0
2020-08-22,2200,1330,2200,0,0,42,71,0,0
2020-08-23,2271,1371,2271,0,0,43,73,0,0
2020-08-24,2344,1414,2344,0,0,44,75,0,0
2020-08-25,2420,1458,2420,0,0,45,78,0,0
2020-08-26,2497,1503,2497,0,0,46,80,0,0
2020-08-27,2577,1550,2577,0,0,48,82,0,0
2020-08-28,2659,1597,2659,0,0,49,85,0,0
2020-08-29,2744,1646,2744,0,0,50,87,0,0
2020-08-30,2831,1696,2831,0,0,51,90,0,0
2020-08-31,2921,1748,2921,0,0,53,92,0,0
2020-09-01,3013,1801,3013,0,0,54,95,0,0
2020-09-02,3108,1855,3108,0,0,55,97,0,0
2020-09-03,3205,1910,3205,0,0,57,100,0,0
2020-09-04,3305,1967,3305,0,0,58,103,0,0
2020-09-05,3408,2025,3408,0,0,60,106,0,0
2020-09-06,3514,2085,3514,0,0,61,109,0,0
2020-09-07,3622,2146,3622,0,0,62,111,0,0
2020-09-08,3734,2208,3734,0,0,64,114,0,0
