Date,Confirmed,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-05-12,14,8,14,0,0,1,0,0,0
2020-05-13,14,9,14,0,0,0,1,0,0
2020-05-14,15,9,15,0,0,0,1,0,0
2020-05-15,16,10,16,0,0,0,1,0,0
2020-05-16,16,10,16,0,0,0,1,0,0
2020-05-17,17,10,17,0,0,0,1,0,0
2020-05-18,18,11,18,0,0,0,1,0,0
2020-05-19,19,11,19,0,0,1,1,0,0
2020-05-20,19,12,19,0,0,1,1,0,0
2020-05-21,20,12,20,0,0,1,1,0,0
2020-05-22,21,13,21,0,0,1,1,0,0
2020-05-23,22,14,22,0,0,1,1,0,0
2020-05-24,23,14,23,0,0,1,1,0,0
2020-05-25,24,15,24,0,0,1,1,0,0
2020-05-26,25,15,25,0,0,1,1,0,0
2020-05-27,26,16,26,0,0,1,1,0,0
2020-05-28,27,17,27,0,0,1,1,0,0
2020-05-29,29,18,29,0,0,1,1,0,0
2020-05-30,30,18,30,0,0,1,1,0,0
2020-05-31,31,19,31,0,0,1,1,0,0
2020-06-01,33,20,33,0,0,1,1,0,0
2020-06-02,34,21,34,0,0,1,1,0,0
2020-06-03,36,22,36,0,0,1,2,0,0
2020-06-04,37,23,37,0,0,1,2,0,0
2020-06-05,39,24,39,0,0,1,2,0,0
2020-06-06,40,25,40,0,0,1,2,0,0
2020-06-07,42,26,42,0,0,1,2,0,0
2020-06-08,44,27,44,0,0,1,2,0,0
2020-06-09,46,28,46,0,0,1,2,0,0
2020-06-10,48,29,48,0,0,1,2,0,0
2020-06-11,50,30,50,0,0,1,2,0,0
2020-06-12,52,32,52,0,0,1,2,0,0
2020-06-13,54,33,54,0,0,1,2,0,0
2020-06-14,56,34,56,0,0,1,2,0,0
2020-06-15,59,36,59,0,0,1,2,0,0
2020-06-16,61,37,61,0,0,2,3,0,0
2020-06-17,64,39,64,0,0,2,3,0,0
2020-06-18,67,40,67,0,0,2,3,0,0
2020-06-19,69,42,69,0,0,2,3,0,0
2020-06-20,72,44,72,0,0,2,3,0,0
2020-06-21,75,46,75,0,0,2,3,0,0
2020-06-22,78,47,78,0,0,2,3,0,0
2020-06-23,81,49,81,0,0,2,3,0,0
2020-06-24,85,51,85,0,0,2,3,0,0
2020-06-25,88,53,88,0,0,2,4,0,0
2020-06-26,92,55,92,0,0,2,4,0,0
2020-06-27,95,57,95,0,0,2,4,0,0
2020-06-28,99,60,99,0,0,2,4,0,0
