Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-05-20,214,2,127,86,1,4,0,2,0
2020-05-21,216,6,127,88,1,0,4,2,0
2020-05-22,222,6,131,90,1,0,4,2,0
2020-05-23,229,6,136,92,1,0,4,2,0
2020-05-24,234,7,140,93,1,0,5,2,0
2020-05-25,241,7,145,95,1,0,5,2,0
2020-05-26,247,7,149,97,1,0,5,2,0
2020-05-27,255,7,154,100,1,0,5,2,0
2020-05-28,262,7,159,102,1,0,5,2,0
2020-05-29,269,8,164,104,1,0,5,2,0
2020-05-30,276,8,169,106,1,0,5,2,0
2020-05-31,285,8,175,109,1,0,6,2,0
2020-06-01,293,8,181,111,1,0,6,3,0
2020-06-02,301,9,186,114,1,0,6,3,0
2020-06-03,309,9,192,116,1,0,6,3,0
2020-06-04,319,9,199,119,1,0,6,3,0
2020-06-05,328,10,205,122,1,0,7,3,0
2020-06-06,338,10,212,125,1,0,7,3,0
2020-06-07,347,10,218,128,1,0,7,3,0
2020-06-08,357,11,225,131,1,0,7,3,0
2020-06-09,368,11,233,134,1,0,7,3,0
2020-06-10,378,11,240,137,1,0,8,3,0
2020-06-11,389,12,248,140,1,0,8,3,0
2020-06-12,401,12,256,144,1,0,8,4,0
2020-06-13,412,12,264,147,1,0,8,4,0
2020-06-14,425,13,273,151,1,0,9,4,0
2020-06-15,438,13,281,155,2,0,9,4,0
2020-06-16,451,14,290,159,2,0,9,4,0
2020-06-17,465,14,300,163,2,0,10,4,0
2020-06-18,478,14,309,167,2,0,10,4,0
2020-06-19,493,15,319,172,2,0,10,4,0
2020-06-20,508,15,330,176,2,0,11,5,0
2020-06-21,523,16,340,181,2,1,11,5,0
2020-06-22,538,16,351,185,2,1,11,5,0
2020-06-23,554,17,362,190,2,1,12,5,0
2020-06-24,571,17,374,195,2,1,12,5,0
2020-06-25,589,18,386,201,2,1,12,5,0
2020-06-26,606,19,398,206,2,1,13,6,0
2020-06-27,625,19,411,212,2,1,13,6,0
2020-06-28,643,20,424,217,2,1,14,6,0
2020-06-29,663,20,438,223,2,1,14,6,0
2020-06-30,684,21,452,230,2,1,14,6,0
2020-07-01,704,22,466,236,2,1,15,7,0
2020-07-02,725,22,481,242,2,1,15,7,0
2020-07-03,747,23,496,249,2,1,16,7,0
2020-07-04,771,24,512,256,3,1,16,7,0
2020-07-05,795,25,529,263,3,1,17,7,0
2020-07-06,819,25,545,271,3,1,17,8,0
2020-07-07,844,26,563,278,3,1,18,8,0
2020-07-08,870,27,581,286,3,1,18,8,0
2020-07-09,896,28,599,294,3,1,19,8,0
2020-07-10,924,29,618,303,3,1,20,9,0
2020-07-11,953,30,638,312,3,1,20,9,0
2020-07-12,982,31,658,321,3,1,21,9,0
2020-07-13,1012,31,679,330,3,1,22,10,0
2020-07-14,1043,32,701,339,3,1,22,10,0
2020-07-15,1075,33,723,349,3,1,23,10,0
2020-07-16,1109,35,746,359,4,1,24,10,0
2020-07-17,1143,36,769,370,4,1,24,11,0
2020-07-18,1179,37,794,381,4,1,25,11,0
2020-07-19,1215,38,819,392,4,1,26,11,0
2020-07-20,1251,39,844,403,4,1,27,12,0
2020-07-21,1290,40,871,415,4,1,27,12,0
2020-07-22,1330,41,899,427,4,1,28,13,0
2020-07-23,1371,43,927,440,4,1,29,13,0
2020-07-24,1413,44,956,453,4,1,30,13,0
2020-07-25,1457,45,986,466,5,1,31,14,0
2020-07-26,1502,47,1017,480,5,1,32,14,0
2020-07-27,1548,48,1049,494,5,1,33,15,0
2020-07-28,1596,50,1082,509,5,2,34,15,0
2020-07-29,1645,51,1116,524,5,2,35,16,0
2020-07-30,1695,53,1150,540,5,2,36,16,0
2020-07-31,1748,54,1186,556,6,2,37,17,0
2020-08-01,1802,56,1223,573,6,2,38,17,0
2020-08-02,1857,58,1261,590,6,2,39,18,0
2020-08-03,1915,59,1301,608,6,2,40,18,0
2020-08-04,1973,61,1341,626,6,2,42,19,0
2020-08-05,2033,63,1382,645,6,2,43,19,0
2020-08-06,2096,65,1425,664,7,2,44,20,0
2020-08-07,2160,67,1469,684,7,2,45,21,0
2020-08-08,2227,69,1515,705,7,2,47,21,0
2020-08-09,2294,71,1561,726,7,2,48,22,0
2020-08-10,2364,73,1609,748,7,2,49,23,0
2020-08-11,2437,75,1659,770,8,2,51,23,0
2020-08-12,2512,77,1710,794,8,2,52,24,0
2020-08-13,2588,80,1762,818,8,2,54,25,0
2020-08-14,2666,82,1816,842,8,2,55,25,0
2020-08-15,2748,84,1871,868,9,2,57,26,0
2020-08-16,2831,87,1928,894,9,3,59,27,0
2020-08-17,2917,89,1987,921,9,3,60,28,0
