Date,Confirmed,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-05-13,15,15,15,0,0,-1,2,0,0
2020-05-14,17,14,17,0,0,-1,1,0,0
2020-05-15,18,13,18,0,0,0,1,0,0
2020-05-16,19,13,19,0,0,0,1,0,0
2020-05-17,20,13,20,0,0,0,1,0,0
2020-05-18,21,13,21,0,0,0,1,0,0
2020-05-19,22,13,22,0,0,0,1,0,0
2020-05-20,22,13,22,0,0,0,1,0,0
2020-05-21,23,13,23,0,0,0,1,0,0
2020-05-22,24,13,24,0,0,0,1,0,0
2020-05-23,25,13,25,0,0,0,1,0,0
2020-05-24,25,13,25,0,0,0,1,0,0
2020-05-25,26,14,26,0,0,0,1,0,0
2020-05-26,27,14,27,0,0,0,1,0,0
2020-05-27,27,14,27,0,0,0,1,0,0
2020-05-28,28,15,28,0,0,0,1,0,0
2020-05-29,29,15,29,0,0,0,1,0,0
2020-05-30,29,15,29,0,0,0,1,0,0
2020-05-31,30,16,30,0,0,0,1,0,0
2020-06-01,31,16,31,0,0,0,1,0,0
2020-06-02,32,16,32,0,0,0,1,0,0
2020-06-03,33,17,33,0,0,0,1,0,0
2020-06-04,33,17,33,0,0,0,1,0,0
2020-06-05,34,18,34,0,0,0,1,0,0
2020-06-06,35,18,35,0,0,0,1,0,0
2020-06-07,36,19,36,0,0,0,1,0,0
2020-06-08,37,19,37,0,0,0,1,0,0
2020-06-09,38,20,38,0,0,0,1,0,0
2020-06-10,39,20,39,0,0,1,1,0,0
2020-06-11,40,21,40,0,0,1,1,0,0
2020-06-12,41,21,41,0,0,1,1,0,0
2020-06-13,42,22,42,0,0,1,1,0,0
2020-06-14,43,22,43,0,0,1,1,0,0
2020-06-15,44,23,44,0,0,1,1,0,0
2020-06-16,45,23,45,0,0,1,1,0,0
2020-06-17,46,24,46,0,0,1,1,0,0
2020-06-18,47,24,47,0,0,1,1,0,0
2020-06-19,49,25,49,0,0,1,1,0,0
2020-06-20,50,26,50,0,0,1,1,0,0
2020-06-21,51,26,51,0,0,1,1,0,0
2020-06-22,52,27,52,0,0,1,1,0,0
2020-06-23,54,28,54,0,0,1,1,0,0
2020-06-24,55,28,55,0,0,1,1,0,0
2020-06-25,56,29,56,0,0,1,1,0,0
2020-06-26,58,30,58,0,0,1,1,0,0
2020-06-27,59,31,59,0,0,1,1,0,0
2020-06-28,61,31,61,0,0,1,2,0,0
2020-06-29,62,32,62,0,0,1,2,0,0
2020-06-30,64,33,64,0,0,1,2,0,0
2020-07-01,65,34,65,0,0,1,2,0,0
2020-07-02,67,35,67,0,0,1,2,0,0
2020-07-03,69,35,69,0,0,1,2,0,0
2020-07-04,70,36,70,0,0,1,2,0,0
2020-07-05,72,37,72,0,0,1,2,0,0
2020-07-06,74,38,74,0,0,1,2,0,0
2020-07-07,76,39,76,0,0,1,2,0,0
2020-07-08,78,40,78,0,0,1,2,0,0
2020-07-09,80,41,80,0,0,1,2,0,0
2020-07-10,82,42,82,0,0,1,2,0,0
2020-07-11,84,43,84,0,0,1,2,0,0
2020-07-12,86,44,86,0,0,1,2,0,0
2020-07-13,88,46,88,0,0,1,2,0,0
2020-07-14,90,47,90,0,0,1,2,0,0
2020-07-15,93,48,93,0,0,1,2,0,0
2020-07-16,95,49,95,0,0,1,2,0,0
2020-07-17,97,50,97,0,0,1,2,0,0
2020-07-18,100,52,100,0,0,1,3,0,0
2020-07-19,102,53,102,0,0,1,3,0,0
2020-07-20,105,54,105,0,0,1,3,0,0
2020-07-21,108,56,108,0,0,1,3,0,0
2020-07-22,110,57,110,0,0,1,3,0,0
2020-07-23,113,58,113,0,0,1,3,0,0
2020-07-24,116,60,116,0,0,2,3,0,0
2020-07-25,119,61,119,0,0,2,3,0,0
2020-07-26,122,63,122,0,0,2,3,0,0
2020-07-27,125,64,125,0,0,2,3,0,0
2020-07-28,128,66,128,0,0,2,3,0,0
2020-07-29,131,68,131,0,0,2,3,0,0
2020-07-30,134,69,134,0,0,2,3,0,0
2020-07-31,138,71,138,0,0,2,3,0,0
2020-08-01,141,73,141,0,0,2,4,0,0
2020-08-02,145,75,145,0,0,2,4,0,0
2020-08-03,149,77,149,0,0,2,4,0,0
2020-08-04,152,79,152,0,0,2,4,0,0
2020-08-05,156,81,156,0,0,2,4,0,0
2020-08-06,160,83,160,0,0,2,4,0,0
2020-08-07,164,85,164,0,0,2,4,0,0
2020-08-08,168,87,168,0,0,2,4,0,0
2020-08-09,172,89,172,0,0,2,4,0,0
2020-08-10,177,91,177,0,0,2,4,0,0
2020-08-11,181,93,181,0,0,2,5,0,0
2020-08-12,186,96,186,0,0,2,5,0,0
2020-08-13,190,98,190,0,0,2,5,0,0
2020-08-14,195,101,195,0,0,3,5,0,0
2020-08-15,200,103,200,0,0,3,5,0,0
2020-08-16,205,106,205,0,0,3,5,0,0
2020-08-17,210,108,210,0,0,3,5,0,0
2020-08-18,215,111,215,0,0,3,5,0,0
2020-08-19,221,114,221,0,0,3,6,0,0
2020-08-20,226,117,226,0,0,3,6,0,0
2020-08-21,232,120,232,0,0,3,6,0,0
2020-08-22,238,123,238,0,0,3,6,0,0
2020-08-23,244,126,244,0,0,3,6,0,0
2020-08-24,250,129,250,0,0,3,6,0,0
2020-08-25,256,132,256,0,0,3,6,0,0
2020-08-26,263,135,263,0,0,3,7,0,0
2020-08-27,269,139,269,0,0,3,7,0,0
2020-08-28,276,142,276,0,0,4,7,0,0
2020-08-29,283,146,283,0,0,4,7,0,0
2020-08-30,290,150,290,0,0,4,7,0,0
2020-08-31,297,153,297,0,0,4,7,0,0
2020-09-01,305,157,305,0,0,4,8,0,0
2020-09-02,312,161,312,0,0,4,8,0,0
2020-09-03,320,165,320,0,0,4,8,0,0
2020-09-04,328,169,328,0,0,4,8,0,0
2020-09-05,337,173,337,0,0,4,8,0,0
2020-09-06,345,178,345,0,0,4,9,0,0
2020-09-07,354,182,354,0,0,5,9,0,0
2020-09-08,362,187,362,0,0,5,9,0,0
2020-09-09,372,191,372,0,0,5,9,0,0
2020-09-10,381,196,381,0,0,5,10,0,0
2020-09-11,390,201,390,0,0,5,10,0,0
2020-09-12,400,206,400,0,0,5,10,0,0
2020-09-13,410,211,410,0,0,5,10,0,0
2020-09-14,420,217,420,0,0,5,11,0,0
2020-09-15,431,222,431,0,0,6,11,0,0
2020-09-16,442,227,442,0,0,6,11,0,0
2020-09-17,453,233,453,0,0,6,11,0,0
2020-09-18,464,239,464,0,0,6,12,0,0
2020-09-19,476,245,476,0,0,6,12,0,0
2020-09-20,487,251,487,0,0,6,12,0,0
2020-09-21,500,257,500,0,0,6,12,0,0
2020-09-22,512,264,512,0,0,7,13,0,0
2020-09-23,525,270,525,0,0,7,13,0,0
2020-09-24,538,277,538,0,0,7,13,0,0
2020-09-25,551,284,551,0,0,7,14,0,0
2020-09-26,565,291,565,0,0,7,14,0,0
2020-09-27,579,298,579,0,0,7,14,0,0
2020-09-28,594,306,594,0,0,8,15,0,0
2020-09-29,609,313,609,0,0,8,15,0,0
2020-09-30,624,321,624,0,0,8,16,0,0
2020-10-01,639,329,639,0,0,8,16,0,0
