Date,Confirmed,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-05-13,49,11,49,0,0,-1,3,0,0
2020-05-14,52,10,52,0,0,0,3,0,0
2020-05-15,55,10,55,0,0,0,3,0,0
2020-05-16,58,10,58,0,0,0,3,0,0
2020-05-17,61,11,61,0,0,0,3,0,0
2020-05-18,63,11,63,0,0,0,3,0,0
2020-05-19,66,12,66,0,0,1,3,0,0
2020-05-20,69,12,69,0,0,1,3,0,0
2020-05-21,72,13,72,0,0,1,3,0,0
2020-05-22,75,13,75,0,0,1,3,0,0
2020-05-23,79,14,79,0,0,1,3,0,0
2020-05-24,82,14,82,0,0,1,4,0,0
2020-05-25,86,15,86,0,0,1,4,0,0
2020-05-26,90,16,90,0,0,1,4,0,0
2020-05-27,94,16,94,0,0,1,4,0,0
2020-05-28,98,17,98,0,0,1,4,0,0
2020-05-29,102,18,102,0,0,1,5,0,0
2020-05-30,107,19,107,0,0,1,5,0,0
2020-05-31,111,19,111,0,0,1,5,0,0
2020-06-01,116,20,116,0,0,1,5,0,0
2020-06-02,122,21,122,0,0,1,5,0,0
2020-06-03,127,22,127,0,0,1,6,0,0
2020-06-04,133,23,133,0,0,1,6,0,0
2020-06-05,138,24,138,0,0,1,6,0,0
2020-06-06,145,25,145,0,0,1,6,0,0
2020-06-07,151,26,151,0,0,1,7,0,0
2020-06-08,158,28,158,0,0,1,7,0,0
2020-06-09,165,29,165,0,0,1,7,0,0
2020-06-10,172,30,172,0,0,1,8,0,0
2020-06-11,180,31,180,0,0,1,8,0,0
2020-06-12,188,33,188,0,0,1,8,0,0
2020-06-13,196,34,196,0,0,2,9,0,0
2020-06-14,205,36,205,0,0,2,9,0,0
2020-06-15,214,37,214,0,0,2,9,0,0
2020-06-16,223,39,223,0,0,2,10,0,0
2020-06-17,233,41,233,0,0,2,10,0,0
2020-06-18,243,42,243,0,0,2,11,0,0
2020-06-19,254,44,254,0,0,2,11,0,0
2020-06-20,265,46,265,0,0,2,12,0,0
2020-06-21,277,48,277,0,0,2,12,0,0
2020-06-22,289,50,289,0,0,2,13,0,0
2020-06-23,302,53,302,0,0,2,13,0,0
2020-06-24,315,55,315,0,0,2,14,0,0
2020-06-25,329,57,329,0,0,3,15,0,0
2020-06-26,344,60,344,0,0,3,15,0,0
2020-06-27,359,63,359,0,0,3,16,0,0
2020-06-28,375,65,375,0,0,3,17,0,0
2020-06-29,391,68,391,0,0,3,17,0,0
2020-06-30,408,71,408,0,0,3,18,0,0
2020-07-01,426,74,426,0,0,3,19,0,0
2020-07-02,445,77,445,0,0,3,20,0,0
2020-07-03,465,81,465,0,0,4,20,0,0
2020-07-04,485,84,485,0,0,4,21,0,0
2020-07-05,507,88,507,0,0,4,22,0,0
2020-07-06,529,92,529,0,0,4,23,0,0
2020-07-07,552,96,552,0,0,4,24,0,0
2020-07-08,576,100,576,0,0,4,25,0,0
2020-07-09,601,104,601,0,0,5,26,0,0
2020-07-10,628,109,628,0,0,5,27,0,0
2020-07-11,655,114,655,0,0,5,29,0,0
2020-07-12,684,119,684,0,0,5,30,0,0
