Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-05-20,158,50,94,63,1,-6,16,10,0
2020-05-21,184,44,110,73,1,0,11,12,0
2020-05-22,207,44,121,85,1,2,10,13,0
2020-05-23,229,46,131,97,1,3,10,14,0
2020-05-24,253,49,141,111,1,4,11,15,0
2020-05-25,278,53,151,126,1,4,11,16,0
2020-05-26,306,57,163,142,1,4,12,17,0
2020-05-27,336,61,175,159,2,4,13,18,0
2020-05-28,367,65,188,177,2,5,14,20,0
2020-05-29,401,70,202,197,2,5,15,21,0
2020-05-30,437,75,217,218,2,5,16,23,0
2020-05-31,475,80,232,241,2,6,17,24,0
2020-06-01,517,86,249,265,3,6,18,26,0
2020-06-02,561,92,267,291,3,6,19,28,0
2020-06-03,609,98,287,319,3,7,21,30,0
2020-06-04,659,105,307,349,3,7,22,32,0
2020-06-05,714,112,329,381,4,8,23,35,0
2020-06-06,773,120,353,416,4,8,25,37,0
2020-06-07,835,128,378,453,4,9,27,40,0
2020-06-08,901,137,404,492,5,9,28,42,0
2020-06-09,973,146,433,535,5,10,30,45,0
2020-06-10,1049,155,463,580,6,10,32,48,0
2020-06-11,1129,166,494,629,6,11,34,52,0
2020-06-12,1214,176,528,680,6,11,36,55,1
2020-06-13,1306,187,563,736,7,12,38,59,1
2020-06-14,1404,199,601,795,8,12,40,63,1
2020-06-15,1507,211,641,858,8,13,42,67,1
2020-06-16,1616,224,682,925,9,13,44,71,1
2020-06-17,1731,237,726,996,9,14,46,76,1
2020-06-18,1854,250,772,1072,10,14,48,81,1
2020-06-19,1984,264,820,1153,11,14,50,86,1
2020-06-20,2122,279,871,1239,12,15,52,91,1
2020-06-21,2266,293,923,1330,13,15,55,97,1
2020-06-22,2419,309,978,1427,14,15,57,102,1
2020-06-23,2578,324,1034,1529,15,16,59,108,1
2020-06-24,2747,340,1093,1638,16,16,61,114,1
2020-06-25,2923,355,1154,1752,17,16,62,121,1
2020-06-26,3107,371,1216,1873,18,16,64,127,1
2020-06-27,3299,387,1280,2000,19,16,65,134,1
2020-06-28,3499,402,1345,2134,20,15,66,141,1
2020-06-29,3709,418,1412,2275,22,15,67,148,1
2020-06-30,3925,433,1479,2423,23,15,68,155,1
2020-07-01,4149,447,1547,2578,24,14,68,162,2
2020-07-02,4381,461,1615,2740,26,13,68,169,2
2020-07-03,4621,474,1684,2909,28,12,68,176,2
2020-07-04,4867,487,1752,3086,29,11,67,184,2
2020-07-05,5119,498,1819,3269,31,10,66,191,2
2020-07-06,5378,509,1885,3460,33,9,64,197,2
2020-07-07,5642,518,1950,3657,35,8,62,204,2
2020-07-08,5911,526,2012,3862,37,7,60,211,2
2020-07-09,6183,532,2072,4072,39,5,57,217,2
2020-07-10,6459,538,2129,4289,41,4,54,223,2
2020-07-11,6738,541,2183,4512,43,2,50,229,2
2020-07-12,7019,543,2233,4741,45,1,46,234,2
2020-07-13,7300,544,2278,4975,47,-1,41,239,2
2020-07-14,7584,543,2320,5214,50,-3,36,243,2
2020-07-15,7865,540,2356,5457,52,-4,31,247,2
2020-07-16,8144,536,2387,5703,54,-6,26,250,2
2020-07-17,8423,531,2413,5953,57,-7,20,253,2
2020-07-18,8698,524,2433,6206,59,-8,14,255,2
2020-07-19,8969,516,2447,6461,61,-9,9,256,2
2020-07-20,9237,506,2456,6717,64,-11,3,257,2
2020-07-21,9500,496,2459,6975,66,-12,-3,258,2
2020-07-22,9757,484,2456,7232,69,-12,-9,257,2
2020-07-23,10007,472,2447,7489,71,-13,-14,256,2
2020-07-24,10253,458,2433,7746,74,-14,-20,255,2
2020-07-25,10490,444,2413,8001,76,-14,-25,253,2
2020-07-26,10720,430,2389,8253,78,-15,-30,250,2
2020-07-27,10944,415,2359,8504,81,-15,-34,247,2
2020-07-28,11159,400,2325,8751,83,-15,-38,244,2
2020-07-29,11366,385,2287,8994,85,-15,-42,240,2
2020-07-30,11566,369,2244,9234,88,-15,-46,235,2
2020-07-31,11758,354,2199,9469,90,-15,-49,230,2
2020-08-01,11941,339,2150,9699,92,-15,-52,225,2
2020-08-02,12117,324,2098,9925,94,-15,-54,220,2
2020-08-03,12285,309,2045,10144,96,-14,-56,214,2
2020-08-04,12446,295,1989,10359,98,-14,-57,208,2
2020-08-05,12598,281,1931,10567,100,-14,-59,202,2
2020-08-06,12744,267,1873,10769,102,-13,-60,196,2
2020-08-07,12882,253,1813,10965,104,-13,-60,190,2
2020-08-08,13014,241,1753,11155,106,-12,-61,184,2
2020-08-09,13139,228,1692,11339,108,-12,-61,177,2
2020-08-10,13257,216,1632,11516,109,-11,-60,171,2
2020-08-11,13369,205,1571,11687,111,-11,-60,165,2
2020-08-12,13476,194,1511,11852,113,-10,-59,158,2
2020-08-13,13576,183,1452,12010,114,-10,-58,152,1
2020-08-14,13672,173,1394,12162,116,-10,-57,146,1
2020-08-15,13761,164,1336,12308,117,-9,-56,140,1
2020-08-16,13846,155,1280,12448,118,-9,-55,134,1
2020-08-17,13927,146,1225,12582,120,-8,-54,128,1
2020-08-18,14002,138,1171,12710,121,-8,-52,123,1
2020-08-19,14074,130,1119,12833,122,-7,-51,117,1
2020-08-20,14141,123,1068,12950,123,-7,-49,112,1
2020-08-21,14204,116,1018,13062,124,-7,-48,107,1
2020-08-22,14265,109,971,13169,125,-6,-46,102,1
2020-08-23,14321,103,925,13270,126,-6,-44,97,1
