Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-05-11,91,17,64,27,0,1,5,3,0
2020-05-12,99,18,69,30,0,1,5,4,0
2020-05-13,108,18,74,34,0,1,5,4,0
2020-05-14,118,20,79,38,1,1,5,4,0
2020-05-15,127,21,84,42,1,1,6,4,0
2020-05-16,137,22,90,46,1,1,6,5,0
2020-05-17,147,24,95,51,1,2,6,5,0
2020-05-18,159,25,102,56,1,2,7,5,0
2020-05-19,171,27,109,61,1,2,7,6,0
2020-05-20,184,29,116,67,1,2,8,6,0
2020-05-21,197,30,123,73,1,2,8,7,0
2020-05-22,213,32,132,80,1,2,9,7,0
2020-05-23,228,35,140,87,1,2,9,7,0
2020-05-24,244,37,149,94,1,2,10,8,0
2020-05-25,262,39,159,102,1,2,10,8,0
2020-05-26,282,42,170,110,2,3,11,9,0
2020-05-27,302,44,181,119,2,3,12,10,0
2020-05-28,324,47,193,129,2,3,12,10,0
2020-05-29,346,50,205,139,2,3,13,11,0
2020-05-30,370,53,218,150,2,3,14,12,0
2020-05-31,395,56,232,161,2,3,15,12,0
2020-06-01,424,60,247,174,3,4,16,13,0
2020-06-02,453,64,263,187,3,4,17,14,0
2020-06-03,484,68,280,201,3,4,18,15,0
2020-06-04,515,72,297,215,3,4,19,16,0
2020-06-05,550,76,316,231,3,5,20,17,0
2020-06-06,588,80,336,248,4,5,21,18,0
2020-06-07,627,85,357,266,4,5,22,19,0
2020-06-08,667,90,379,284,4,5,23,20,0
2020-06-09,710,95,402,304,4,5,25,21,0
2020-06-10,758,101,427,326,5,6,26,23,0
2020-06-11,806,106,453,348,5,6,27,24,0
2020-06-12,857,112,480,372,5,6,29,25,0
2020-06-13,913,119,509,398,6,6,30,27,0
2020-06-14,969,125,539,424,6,7,32,28,0
2020-06-15,1031,132,571,453,7,7,33,30,0
2020-06-16,1094,139,604,483,7,7,35,32,0
2020-06-17,1161,146,639,515,7,7,36,34,0
2020-06-18,1232,153,675,549,8,8,38,36,1
2020-06-19,1305,161,713,584,8,8,40,38,1
2020-06-20,1383,168,752,622,9,8,41,40,1
