Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-05-23,241,20,141,99,1,8,5,3,0
2020-05-24,249,28,146,102,1,5,8,3,0
2020-05-25,260,33,154,105,1,4,10,3,0
2020-05-26,274,37,164,108,2,4,11,4,0
2020-05-27,289,41,175,112,2,3,12,4,0
2020-05-28,305,44,187,116,2,3,14,4,0
2020-05-29,323,48,201,120,2,4,15,4,0
2020-05-30,342,51,215,125,2,4,16,5,0
2020-05-31,362,55,231,129,2,4,17,5,0
2020-06-01,385,59,248,135,2,4,18,6,0
2020-06-02,408,63,266,140,2,5,19,6,0
2020-06-03,433,68,285,146,2,5,21,6,0
2020-06-04,460,72,306,152,2,5,22,7,0
2020-06-05,489,78,328,159,2,5,24,7,0
2020-06-06,521,83,352,167,2,6,25,8,0
2020-06-07,553,89,377,174,2,6,27,8,0
2020-06-08,590,95,404,183,3,7,29,9,0
2020-06-09,628,102,433,192,3,7,31,10,0
2020-06-10,669,109,464,202,3,8,33,10,0
2020-06-11,713,117,498,212,3,8,36,11,0
2020-06-12,759,125,533,223,3,9,38,12,0
2020-06-13,809,133,571,235,3,9,41,13,0
2020-06-14,863,142,612,248,3,10,43,14,0
2020-06-15,920,152,655,261,4,10,46,15,0
2020-06-16,981,162,701,276,4,11,49,16,0
2020-06-17,1047,173,751,292,4,12,53,17,0
2020-06-18,1115,185,803,308,4,12,56,18,0
2020-06-19,1190,197,859,326,5,13,60,19,0
2020-06-20,1270,210,919,346,5,14,64,21,0
2020-06-21,1354,224,983,366,5,14,68,22,0
2020-06-22,1443,238,1050,388,5,15,72,23,0
2020-06-23,1539,254,1122,411,6,16,76,25,0
2020-06-24,1641,270,1199,436,6,17,81,27,0
2020-06-25,1749,287,1280,463,6,18,86,29,0
2020-06-26,1865,304,1366,492,7,19,91,30,0
2020-06-27,1986,323,1457,522,7,19,97,33,0
2020-06-28,2117,342,1554,555,8,20,102,35,0
2020-06-29,2254,363,1656,590,8,21,108,37,1
2020-06-30,2399,384,1764,626,9,22,114,39,1
2020-07-01,2553,406,1878,666,9,23,120,42,1
2020-07-02,2717,428,1999,708,10,23,127,45,1
2020-07-03,2887,452,2125,752,10,24,133,47,1
2020-07-04,3070,476,2259,800,11,25,140,50,1
2020-07-05,3261,501,2399,850,12,25,147,54,1
2020-07-06,3463,526,2546,904,13,26,154,57,1
2020-07-07,3673,552,2699,961,13,26,161,60,1
2020-07-08,3895,579,2860,1021,14,27,168,64,1
2020-07-09,4128,606,3028,1085,15,27,175,68,1
2020-07-10,4370,633,3202,1152,16,27,182,71,1
2020-07-11,4625,660,3384,1224,17,27,188,76,1
2020-07-12,4889,687,3572,1299,18,27,195,80,1
2020-07-13,5165,714,3767,1379,19,26,201,84,1
2020-07-14,5451,740,3968,1463,20,26,207,89,1
2020-07-15,5750,766,4176,1552,22,25,213,93,1
2020-07-16,6057,791,4389,1645,23,24,218,98,1
2020-07-17,6374,815,4607,1743,24,23,223,103,1
2020-07-18,6702,838,4830,1846,26,22,227,108,2
2020-07-19,7038,859,5057,1954,27,20,231,113,2
2020-07-20,7384,879,5288,2067,29,18,233,118,2
2020-07-21,7736,898,5521,2185,30,16,235,123,2
2020-07-22,8097,914,5757,2308,32,14,237,129,2
2020-07-23,8463,928,5993,2436,34,12,237,134,2
2020-07-24,8836,940,6230,2570,36,9,236,139,2
2020-07-25,9213,949,6466,2709,38,7,235,144,2
2020-07-26,9595,956,6701,2854,40,4,232,150,2
2020-07-27,9978,960,6933,3003,42,1,229,155,2
2020-07-28,10364,961,7162,3158,44,-1,224,160,2
2020-07-29,10750,960,7386,3318,46,-4,218,165,2
2020-07-30,11136,956,7604,3483,49,-7,212,170,2
2020-07-31,11520,949,7816,3653,51,-9,204,174,2
2020-08-01,11900,940,8020,3827,53,-12,196,179,2
2020-08-02,12278,928,8216,4006,56,-14,187,183,3
2020-08-03,12651,913,8403,4190,58,-17,177,188,3
2020-08-04,13017,897,8579,4377,61,-19,166,192,3
2020-08-05,13378,878,8745,4569,64,-21,155,195,3
2020-08-06,13729,857,8899,4764,66,-22,143,199,3
2020-08-07,14074,835,9042,4963,69,-24,130,202,3
2020-08-08,14409,811,9173,5164,72,-25,118,205,3
2020-08-09,14735,785,9291,5369,75,-26,105,207,3
2020-08-10,15051,759,9396,5577,78,-27,92,210,3
2020-08-11,15355,732,9488,5786,81,-28,79,212,3
2020-08-12,15649,704,9567,5998,84,-28,66,214,3
2020-08-13,15932,676,9633,6212,87,-28,54,215,3
2020-08-14,16204,648,9687,6427,90,-28,41,216,3
2020-08-15,16464,620,9728,6643,93,-28,29,217,3
2020-08-16,16712,592,9756,6860,96,-28,17,218,3
2020-08-17,16950,564,9773,7078,99,-27,5,218,3
2020-08-18,17176,537,9778,7296,102,-27,-6,218,3
2020-08-19,17391,510,9772,7514,105,-26,-16,218,3
