Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-05-22,380,11,223,156,1,0,4,2,0
2020-05-23,386,11,227,158,1,0,4,2,0
2020-05-24,392,11,230,161,1,0,4,2,0
2020-05-25,398,11,234,163,1,0,4,2,0
2020-05-26,404,11,237,166,1,0,4,3,0
2020-05-27,410,11,241,168,1,0,4,3,0
2020-05-28,416,12,244,171,1,0,4,3,0
2020-05-29,422,12,248,173,1,0,4,3,0
2020-05-30,429,12,252,176,1,0,4,3,0
2020-05-31,435,12,255,179,1,0,4,3,0
2020-06-01,441,12,259,181,1,0,4,3,0
2020-06-02,448,12,263,184,1,0,4,3,0
2020-06-03,455,13,267,187,1,0,4,3,0
2020-06-04,462,13,271,190,1,0,4,3,0
2020-06-05,469,13,275,193,1,0,4,3,0
2020-06-06,475,13,279,195,1,0,4,3,0
2020-06-07,483,13,284,198,1,0,4,3,0
2020-06-08,490,14,288,201,1,0,4,3,0
2020-06-09,497,14,292,204,1,0,4,3,0
2020-06-10,505,14,296,208,1,0,4,3,0
2020-06-11,513,14,301,211,1,0,4,3,0
2020-06-12,520,14,305,214,1,0,5,3,0
2020-06-13,528,15,310,217,1,0,5,3,0
2020-06-14,536,15,315,220,1,0,5,3,0
2020-06-15,544,15,319,224,1,0,5,3,0
2020-06-16,552,15,324,227,1,0,5,3,0
2020-06-17,560,15,329,230,1,0,5,3,0
2020-06-18,569,16,334,234,1,0,5,4,0
2020-06-19,577,16,339,237,1,0,5,4,0
2020-06-20,586,16,344,241,1,0,5,4,0
2020-06-21,596,16,349,245,2,0,5,4,0
2020-06-22,604,17,354,248,2,0,5,4,0
2020-06-23,613,17,359,252,2,0,5,4,0
2020-06-24,623,17,365,256,2,0,5,4,0
2020-06-25,632,17,370,260,2,0,6,4,0
2020-06-26,642,18,376,264,2,0,6,4,0
2020-06-27,651,18,381,268,2,0,6,4,0
2020-06-28,661,18,387,272,2,0,6,4,0
2020-06-29,671,18,393,276,2,0,6,4,0
2020-06-30,680,19,398,280,2,0,6,4,0
2020-07-01,690,19,404,284,2,0,6,4,0
2020-07-02,700,19,410,288,2,0,6,4,0
2020-07-03,712,20,417,293,2,0,6,4,0
2020-07-04,722,20,423,297,2,0,6,4,0
2020-07-05,733,20,429,302,2,0,6,5,0
2020-07-06,743,20,435,306,2,0,6,5,0
2020-07-07,755,21,442,311,2,0,7,5,0
2020-07-08,765,21,448,315,2,0,7,5,0
2020-07-09,777,21,455,320,2,0,7,5,0
2020-07-10,789,22,462,325,2,0,7,5,0
2020-07-11,801,22,469,330,2,0,7,5,0
