Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-05-23,9346,1570,5473,3829,44,82,139,308,4
2020-05-24,9796,1652,5612,4137,47,71,154,315,4
2020-05-25,10269,1723,5766,4452,51,64,166,324,4
2020-05-26,10762,1786,5931,4777,54,60,174,333,4
2020-05-27,11274,1846,6106,5110,58,58,182,343,4
2020-05-28,11802,1904,6287,5453,62,57,188,353,4
2020-05-29,12348,1961,6475,5807,66,57,194,364,4
2020-05-30,12910,2018,6669,6171,70,57,199,375,4
2020-05-31,13488,2075,6868,6545,75,57,204,386,4
2020-06-01,14083,2132,7072,6932,79,58,209,398,5
2020-06-02,14692,2191,7280,7329,83,59,214,409,5
2020-06-03,15320,2249,7494,7738,88,60,218,421,5
2020-06-04,15965,2309,7712,8160,93,60,223,434,5
2020-06-05,16626,2369,7935,8593,98,61,228,446,5
2020-06-06,17305,2431,8163,9039,103,62,232,459,5
2020-06-07,18001,2493,8395,9498,108,63,237,472,5
2020-06-08,18715,2555,8631,9970,114,63,241,485,6
2020-06-09,19447,2619,8873,10455,119,64,246,499,6
2020-06-10,20197,2683,9118,10954,125,65,250,513,6
2020-06-11,20965,2747,9368,11466,131,65,254,527,6
2020-06-12,21753,2812,9623,11993,137,66,258,541,6
2020-06-13,22558,2878,9881,12534,143,66,263,555,6
2020-06-14,23382,2944,10144,13089,149,66,267,570,6
2020-06-15,24225,3011,10410,13659,156,67,270,585,7
2020-06-16,25087,3077,10681,14244,162,67,274,600,7
2020-06-17,25969,3144,10955,14845,169,67,278,616,7
2020-06-18,26870,3211,11233,15461,176,67,281,631,7
2020-06-19,27789,3278,11514,16092,183,67,284,647,7
2020-06-20,28728,3345,11798,16739,191,67,287,663,8
2020-06-21,29685,3412,12085,17402,198,67,290,679,8
2020-06-22,30664,3479,12376,18082,206,66,293,696,8
2020-06-23,31660,3545,12669,18777,214,66,295,712,8
2020-06-24,32675,3611,12964,19489,222,65,297,729,8
2020-06-25,33709,3677,13261,20218,230,65,299,745,8
2020-06-26,34763,3742,13560,20964,239,64,301,762,9
2020-06-27,35834,3806,13861,21726,247,63,302,779,9
2020-06-28,36924,3869,14163,22505,256,62,303,796,9
2020-06-29,38032,3932,14466,23301,265,61,304,813,9
2020-06-30,39159,3993,14770,24114,275,60,304,830,9
2020-07-01,40303,4053,15074,24945,284,59,304,847,10
2020-07-02,41464,4112,15378,25792,294,58,304,864,10
2020-07-03,42642,4170,15682,26656,304,56,303,881,10
2020-07-04,43836,4226,15984,27538,314,54,302,898,10
2020-07-05,45046,4280,16286,28436,324,53,300,915,10
2020-07-06,46272,4333,16586,29352,334,51,298,932,11
2020-07-07,47513,4384,16884,30284,345,49,296,949,11
2020-07-08,48769,4433,17180,31233,356,47,293,966,11
2020-07-09,50039,4480,17473,32199,367,45,290,982,11
2020-07-10,51321,4524,17762,33181,378,42,286,998,11
2020-07-11,52616,4567,18048,34179,389,40,282,1015,12
2020-07-12,53925,4607,18330,35194,401,38,277,1030,12
2020-07-13,55245,4645,18608,36224,413,35,272,1046,12
2020-07-14,56574,4680,18880,37270,424,33,267,1061,12
2020-07-15,57916,4712,19147,38332,437,30,261,1076,12
2020-07-16,59265,4742,19408,39408,449,27,255,1091,12
2020-07-17,60623,4769,19663,40499,461,24,248,1105,13
2020-07-18,61989,4794,19911,41604,474,21,241,1119,13
2020-07-19,63362,4815,20152,42723,487,19,233,1133,13
2020-07-20,64741,4834,20386,43856,499,16,226,1146,13
2020-07-21,66126,4849,20611,45002,513,13,217,1159,13
2020-07-22,67516,4862,20829,46161,526,10,208,1171,13
2020-07-23,68907,4872,21037,47331,539,7,199,1183,13
2020-07-24,70303,4878,21236,48514,553,4,190,1194,14
2020-07-25,71700,4882,21426,49708,566,0,180,1204,14
2020-07-26,73098,4882,21606,50912,580,-3,170,1215,14
2020-07-27,74496,4879,21776,52126,594,-6,160,1224,14
2020-07-28,75895,4874,21936,53351,608,-9,149,1233,14
2020-07-29,77291,4865,22085,54584,622,-12,138,1241,14
2020-07-30,78684,4854,22223,55825,636,-15,127,1249,14
2020-07-31,80073,4839,22349,57074,650,-17,115,1256,14
2020-08-01,81459,4822,22465,58330,664,-20,104,1263,14
2020-08-02,82841,4801,22569,59593,679,-23,92,1269,14
2020-08-03,84216,4778,22661,60862,693,-26,80,1274,15
2020-08-04,85585,4752,22741,62136,708,-29,68,1278,15
2020-08-05,86945,4724,22809,63414,722,-31,56,1282,15
2020-08-06,88298,4693,22865,64696,737,-34,44,1285,15
2020-08-07,89642,4659,22910,65981,751,-36,32,1288,15
2020-08-08,90977,4623,22942,67269,766,-38,20,1290,15
2020-08-09,92301,4585,22961,68559,781,-41,8,1291,15
2020-08-10,93614,4544,22969,69849,796,-43,-4,1291,15
2020-08-11,94915,4501,22965,71140,810,-45,-16,1291,15
2020-08-12,96204,4456,22948,72431,825,-47,-28,1290,15
2020-08-13,97481,4410,22920,73721,840,-49,-40,1288,15
2020-08-14,98744,4361,22880,75010,854,-50,-52,1286,15
2020-08-15,99994,4311,22829,76296,869,-52,-63,1283,15
2020-08-16,101228,4259,22765,77579,884,-53,-74,1280,15
2020-08-17,102448,4206,22691,78859,898,-55,-85,1275,15
2020-08-18,103653,4151,22606,80134,913,-56,-96,1271,14
2020-08-19,104841,4095,22509,81405,927,-57,-107,1265,14
2020-08-20,106015,4038,22403,82670,942,-58,-117,1259,14
2020-08-21,107171,3980,22286,83929,956,-59,-127,1253,14
2020-08-22,108311,3921,22159,85182,970,-60,-137,1246,14
2020-08-23,109434,3860,22022,86428,984,-61,-146,1238,14
2020-08-24,110538,3800,21875,87665,998,-61,-155,1230,14
2020-08-25,111627,3738,21720,88895,1012,-62,-164,1221,14
2020-08-26,112698,3676,21556,90116,1026,-62,-172,1212,14
2020-08-27,113752,3614,21384,91328,1040,-63,-181,1202,14
2020-08-28,114787,3551,21203,92530,1054,-63,-188,1192,14
2020-08-29,115803,3488,21015,93721,1067,-63,-196,1181,13
2020-08-30,116803,3425,20819,94903,1081,-63,-203,1170,13
2020-08-31,117784,3362,20617,96073,1094,-63,-209,1159,13
2020-09-01,118746,3299,20407,97232,1107,-63,-215,1147,13
2020-09-02,119691,3236,20192,98379,1120,-63,-221,1135,13
2020-09-03,120618,3173,19971,99514,1133,-63,-227,1123,13
2020-09-04,121527,3110,19744,100637,1146,-63,-232,1110,13
2020-09-05,122417,3047,19512,101746,1159,-62,-237,1097,12
