Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-05-20,8827,4754,5280,3531,16,-493,587,397,2
2020-05-21,9814,4261,5867,3929,18,-344,440,442,2
2020-05-22,10697,3918,6307,4370,20,-242,336,475,2
2020-05-23,11510,3676,6643,4845,22,-172,260,500,2
2020-05-24,12272,3504,6903,5345,24,-125,205,520,2
2020-05-25,12999,3379,7108,5865,26,-94,163,535,2
2020-05-26,13700,3285,7271,6400,29,-73,132,547,2
2020-05-27,14381,3212,7403,6947,31,-60,107,557,3
2020-05-28,15048,3152,7510,7504,34,-52,86,565,3
2020-05-29,15702,3100,7596,8070,36,-47,69,572,3
2020-05-30,16345,3053,7664,8642,39,-45,54,577,3
2020-05-31,16978,3008,7718,9218,42,-45,40,581,3
2020-06-01,17602,2963,7759,9799,44,-45,28,584,3
2020-06-02,18218,2917,7787,10384,47,-47,16,586,3
2020-06-03,18822,2871,7803,10970,49,-48,5,587,3
2020-06-04,19418,2822,7809,11557,52,-50,-5,588,3
2020-06-05,20004,2772,7804,12145,55,-52,-15,587,3
2020-06-06,20578,2720,7789,12732,57,-54,-25,586,3
2020-06-07,21143,2666,7764,13319,60,-56,-34,584,3
2020-06-08,21696,2610,7730,13903,63,-58,-43,582,3
2020-06-09,22237,2552,7687,14485,65,-59,-52,579,3
2020-06-10,22766,2493,7635,15063,68,-60,-60,575,3
2020-06-11,23283,2433,7575,15638,70,-61,-68,570,3
2020-06-12,23787,2371,7506,16208,73,-62,-76,565,3
2020-06-13,24280,2309,7431,16773,76,-63,-83,559,3
2020-06-14,24759,2246,7348,17333,78,-63,-90,553,2
2020-06-15,25225,2183,7258,17886,81,-63,-96,546,2
2020-06-16,25677,2119,7162,18432,83,-64,-102,539,2
2020-06-17,26116,2056,7060,18971,85,-63,-107,531,2
2020-06-18,26544,1993,6953,19503,88,-63,-112,523,2
2020-06-19,26957,1930,6841,20026,90,-62,-117,515,2
2020-06-20,27358,1867,6724,20541,93,-62,-121,506,2
2020-06-21,27744,1805,6602,21047,95,-61,-125,497,2
2020-06-22,28119,1744,6478,21544,97,-60,-128,488,2
2020-06-23,28481,1684,6350,22032,99,-59,-131,478,2
2020-06-24,28830,1625,6219,22510,101,-58,-133,468,2
2020-06-25,29168,1567,6086,22978,104,-57,-135,458,2
2020-06-26,29493,1510,5951,23436,106,-56,-137,448,2
2020-06-27,29806,1454,5814,23884,108,-54,-138,438,2
2020-06-28,30108,1400,5676,24322,110,-53,-139,427,2
2020-06-29,30397,1347,5537,24749,111,-52,-139,417,2
2020-06-30,30677,1295,5398,25166,113,-50,-139,406,2
2020-07-01,30945,1245,5258,25572,115,-49,-139,396,2
2020-07-02,31204,1196,5119,25968,117,-47,-139,385,2
2020-07-03,31452,1149,4980,26353,119,-46,-138,375,2
2020-07-04,31690,1103,4842,26728,120,-44,-137,364,2
2020-07-05,31920,1059,4705,27093,122,-43,-136,354,2
2020-07-06,32140,1016,4569,27447,124,-41,-135,344,2
2020-07-07,32350,975,4434,27791,125,-40,-133,334,2
2020-07-08,32553,935,4301,28125,127,-39,-131,324,1
2020-07-09,32746,896,4170,28448,128,-37,-129,314,1
2020-07-10,32932,859,4040,28762,130,-36,-127,304,1
2020-07-11,33110,823,3913,29066,131,-34,-125,295,1
2020-07-12,33281,789,3788,29361,132,-33,-123,285,1
2020-07-13,33445,756,3665,29646,134,-32,-120,276,1
2020-07-14,33602,724,3545,29922,135,-31,-118,267,1
2020-07-15,33752,693,3427,30189,136,-29,-115,258,1
2020-07-16,33895,664,3311,30447,137,-28,-113,249,1
2020-07-17,34033,635,3199,30696,138,-27,-110,241,1
2020-07-18,34165,608,3089,30937,139,-26,-107,232,1
2020-07-19,34290,582,2981,31169,140,-25,-105,224,1
2020-07-20,34412,557,2877,31394,141,-24,-102,217,1
2020-07-21,34527,533,2775,31610,142,-23,-99,209,1
2020-07-22,34637,510,2675,31819,143,-22,-96,201,1
2020-07-23,34743,488,2579,32020,144,-21,-94,194,1
2020-07-24,34845,467,2485,32215,145,-20,-91,187,1
2020-07-25,34942,447,2394,32402,146,-19,-88,180,1
2020-07-26,35035,428,2306,32582,147,-19,-86,174,1
2020-07-27,35123,409,2220,32755,148,-18,-83,167,1
2020-07-28,35208,391,2137,32923,148,-17,-80,161,1
2020-07-29,35289,374,2057,33083,149,-16,-78,155,1
2020-07-30,35367,358,1979,33238,150,-16,-75,149,1
2020-07-31,35441,342,1904,33387,150,-15,-73,143,1
2020-08-01,35513,328,1831,33531,151,-14,-70,138,1
2020-08-02,35580,313,1760,33668,152,-14,-68,132,1
2020-08-03,35645,300,1692,33801,152,-13,-66,127,1
2020-08-04,35707,287,1626,33928,153,-12,-64,122,1
2020-08-05,35767,274,1563,34051,153,-12,-61,118,1
2020-08-06,35824,262,1502,34168,154,-11,-59,113,1
2020-08-07,35877,251,1442,34281,154,-11,-57,109,0
2020-08-08,35930,240,1385,34390,155,-10,-55,104,0
2020-08-09,35979,229,1330,34494,155,-10,-53,100,0
2020-08-10,36027,219,1277,34594,156,-10,-51,96,0
2020-08-11,36072,210,1226,34690,156,-9,-49,92,0
2020-08-12,36117,201,1177,34783,157,-9,-47,89,0
2020-08-13,36158,192,1130,34871,157,-8,-46,85,0
2020-08-14,36197,184,1084,34956,157,-8,-44,82,0
2020-08-15,36236,176,1040,35038,158,-8,-42,78,0
2020-08-16,36272,168,998,35116,158,-7,-41,75,0
2020-08-17,36309,161,958,35192,159,-7,-39,72,0
