Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-05-20,149,44,88,60,1,-8,14,4,0
2020-05-21,167,36,102,64,1,-3,10,5,0
2020-05-22,182,33,111,70,1,-1,8,6,0
2020-05-23,195,32,119,75,1,0,7,6,0
2020-05-24,208,32,126,81,1,1,7,6,0
2020-05-25,221,33,133,87,1,1,7,7,0
2020-05-26,235,35,140,94,1,2,7,7,0
2020-05-27,249,36,147,101,1,2,8,7,0
2020-05-28,265,38,155,108,2,2,8,8,0
2020-05-29,281,40,163,116,2,2,8,8,0
2020-05-30,297,42,171,124,2,2,9,8,0
2020-05-31,314,44,180,132,2,2,9,9,0
2020-06-01,332,46,189,141,2,2,10,9,0
2020-06-02,350,48,198,150,2,2,10,10,0
2020-06-03,370,51,208,160,2,3,10,10,0
2020-06-04,392,53,219,171,2,3,11,11,0
2020-06-05,414,56,230,181,3,3,11,11,0
2020-06-06,437,59,241,193,3,3,12,12,0
2020-06-07,461,62,253,205,3,3,13,13,0
2020-06-08,486,65,266,217,3,3,13,13,0
2020-06-09,512,68,279,230,3,3,14,14,0
2020-06-10,541,71,293,244,4,3,15,14,0
2020-06-11,570,75,307,259,4,4,15,15,0
2020-06-12,601,78,323,274,4,4,16,16,0
2020-06-13,633,82,339,290,4,4,17,17,0
2020-06-14,666,86,355,307,4,4,17,18,0
2020-06-15,702,90,373,324,5,4,18,18,0
2020-06-16,739,94,391,343,5,4,19,19,0
2020-06-17,777,99,410,362,5,5,20,20,0
2020-06-18,818,103,430,382,6,5,21,21,0
2020-06-19,861,108,451,404,6,5,22,22,0
2020-06-20,905,113,473,426,6,5,23,23,0
2020-06-21,952,118,496,449,7,5,24,25,0
2020-06-22,1000,124,519,474,7,6,25,26,0
2020-06-23,1051,130,544,500,7,6,26,27,0
2020-06-24,1105,136,570,527,8,6,27,28,0
2020-06-25,1160,142,597,555,8,6,28,30,0
2020-06-26,1219,148,626,584,9,7,29,31,0
2020-06-27,1279,155,655,615,9,7,31,32,0
2020-06-28,1343,162,686,648,9,7,32,34,0
2020-06-29,1410,169,718,682,10,7,33,36,1
2020-06-30,1479,176,751,717,11,8,35,37,1
