Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-05-11,114274,5969,79219,33969,1086,687,3032,2425,78
2020-05-12,119809,6656,82251,36395,1163,284,3573,2518,80
2020-05-13,125981,6940,85824,38913,1244,297,3724,2627,84
2020-05-14,132416,7237,89548,41540,1328,309,3881,2741,88
2020-05-15,139126,7546,93429,44282,1415,321,4045,2860,91
2020-05-16,146122,7867,97473,47142,1507,334,4215,2984,95
2020-05-17,153416,8201,101688,50126,1602,348,4391,3113,99
2020-05-18,161019,8549,106079,53239,1701,362,4575,3248,104
2020-05-19,168946,8911,110654,56487,1805,376,4766,3388,108
2020-05-20,177209,9287,115421,59874,1914,391,4964,3534,113
2020-05-21,185819,9678,120385,63408,2026,407,5170,3686,118
2020-05-22,194792,10085,125555,67093,2144,423,5384,3844,123
2020-05-23,204143,10508,130939,70937,2267,439,5606,4009,128
2020-05-24,213886,10947,136545,74946,2395,456,5836,4180,134
2020-05-25,224037,11404,142382,79126,2529,474,6075,4359,139
2020-05-26,234610,11878,148457,83485,2668,492,6323,4545,145
2020-05-27,245622,12370,154779,88030,2813,511,6580,4738,151
2020-05-28,257092,12881,161359,92768,2965,531,6846,4940,158
2020-05-29,269036,13412,168205,97708,3123,551,7121,5149,165
2020-05-30,281470,13962,175326,102857,3287,571,7407,5367,172
2020-05-31,294417,14533,182733,108225,3459,592,7702,5594,179
2020-06-01,307892,15126,190435,113819,3638,614,8008,5830,186
2020-06-02,321916,15740,198443,119649,3824,636,8324,6075,194
2020-06-03,336510,16376,206768,125724,4018,659,8651,6330,202
2020-06-04,351694,17035,215419,132055,4220,683,8989,6595,211
2020-06-05,367489,17718,224409,138649,4431,707,9339,6870,220
2020-06-06,383918,18425,233747,145520,4651,732,9699,7156,229
2020-06-07,401001,19157,243446,152676,4879,757,10071,7453,238
2020-06-08,418763,19913,253517,160128,5118,782,10454,7761,248
2020-06-09,437227,20696,263971,167890,5366,809,10849,8081,258
2020-06-10,456415,21504,274820,175971,5624,836,11257,8413,269
2020-06-11,476354,22340,286077,184384,5893,863,11676,8758,280
2020-06-12,497069,23203,297753,193143,6173,890,12107,9115,291
2020-06-13,518581,24093,309859,202258,6464,919,12550,9486,303
2020-06-14,540920,25012,322409,211744,6767,947,13005,9870,315
2020-06-15,564112,25959,335414,221615,7083,976,13472,10268,328
2020-06-16,588180,26935,348886,231883,7411,1005,13952,10681,341
2020-06-17,613154,27940,362838,242564,7752,1034,14443,11108,355
2020-06-18,639060,28974,377281,253672,8107,1064,14945,11550,369
2020-06-19,665924,30038,392226,265222,8476,1094,15460,12008,384
2020-06-20,693776,31132,407686,277230,8860,1123,15985,12481,399
2020-06-21,722641,32255,423671,289711,9259,1153,16522,12970,415
2020-06-22,752548,33408,440193,302681,9674,1183,17069,13476,431
2020-06-23,783523,34590,457261,316158,10104,1212,17626,13999,447
2020-06-24,815595,35802,474887,330156,10552,1241,18193,14538,465
2020-06-25,848791,37043,493080,344695,11016,1270,18769,15095,482
2020-06-26,883138,38313,511849,359790,11499,1298,19353,15670,501
2020-06-27,918660,39611,531201,375460,11999,1326,19945,16262,520
2020-06-28,955387,40936,551146,391722,12519,1352,20544,16873,539
2020-06-29,993343,42289,571690,408595,13058,1379,21149,17502,559
2020-06-30,1032554,43667,592839,426097,13618,1404,21759,18149,580
2020-07-01,1073043,45071,614598,444247,14198,1428,22373,18816,601
2020-07-02,1114831,46499,636970,463062,14799,1450,22990,19500,623
2020-07-03,1157944,47949,659960,482562,15422,1472,23608,20204,646
2020-07-04,1202403,49421,683568,502767,16068,1491,24227,20927,669
2020-07-05,1248226,50912,707795,523694,16737,1510,24844,21669,693
2020-07-06,1295430,52422,732639,545362,17429,1526,25459,22429,717
2020-07-07,1344036,53947,758098,567792,18146,1540,26069,23209,742
2020-07-08,1394056,55487,784168,591000,18888,1552,26674,24007,767
2020-07-09,1445503,57039,810841,615007,19655,1562,27270,24823,793
2020-07-10,1498390,58601,838111,639830,20449,1569,27856,25658,820
2020-07-11,1552726,60170,865968,665489,21269,1573,28431,26511,847
2020-07-12,1608515,61743,894399,692000,22116,1575,28992,27381,875
2020-07-13,1665762,63319,923390,719381,22991,1574,29536,28269,903
2020-07-14,1724471,64892,952927,747650,23894,1570,30062,29173,932
2020-07-15,1784639,66462,982989,776823,24827,1562,30568,30094,962
2020-07-16,1846263,68024,1013557,806917,25789,1551,31050,31029,992
2020-07-17,1909334,69575,1044608,837946,26780,1536,31507,31980,1022
2020-07-18,1973843,71111,1076115,869926,27802,1518,31937,32945,1053
2020-07-19,2039778,72630,1108052,902871,28855,1497,32336,33922,1084
2020-07-20,2107119,74126,1140387,936793,29939,1471,32702,34912,1116
2020-07-21,2175849,75597,1173089,971705,31055,1442,33032,35913,1148
2020-07-22,2245943,77039,1206121,1007619,32203,1408,33325,36925,1180
2020-07-23,2317373,78447,1239447,1044543,33383,1371,33578,37945,1213
2020-07-24,2390109,79818,1273025,1082488,34596,1330,33789,38973,1246
2020-07-25,2464116,81149,1306814,1121461,35841,1285,33955,40007,1279
2020-07-26,2539357,82434,1340769,1161468,37120,1237,34074,41047,1312
2020-07-27,2615790,83671,1374843,1202515,38432,1184,34144,42090,1345
2020-07-28,2693369,84855,1408987,1244605,39777,1128,34163,43135,1379
2020-07-29,2772045,85983,1443150,1287740,41155,1068,34130,44181,1412
2020-07-30,2851768,87051,1477280,1331921,42567,1005,34042,45226,1445
2020-07-31,2932482,88056,1511322,1377147,44013,939,33898,46268,1479
2020-08-01,3014127,88995,1545220,1423415,45492,869,33698,47306,1512
2020-08-02,3096642,89864,1578918,1470721,47003,797,33439,48338,1545
2020-08-03,3179964,90661,1612357,1519059,48548,722,33122,49361,1578
2020-08-04,3264024,91383,1645478,1568420,50126,645,32745,50375,1610
2020-08-05,3348754,92028,1678223,1618795,51736,565,32308,51378,1642
2020-08-06,3434082,92593,1710531,1670173,53378,484,31811,52367,1674
2020-08-07,3519933,93077,1742342,1722540,55051,401,31255,53341,1705
2020-08-08,3606234,93479,1773598,1775880,56756,318,30640,54298,1735
2020-08-09,3692907,93796,1804238,1830178,58491,233,29967,55236,1765
2020-08-10,3779874,94029,1834204,1885413,60257,147,29236,56153,1795
2020-08-11,3867057,94176,1863440,1941566,62051,62,28449,57048,1823
2020-08-12,3954378,94238,1891889,1998614,63875,-24,27607,57919,1851
2020-08-13,4041755,94215,1919496,2056533,65726,-109,26713,58764,1878
2020-08-14,4129111,94106,1946210,2115297,67604,-193,25769,59582,1904
2020-08-15,4216366,93914,1971979,2174879,69508,-276,24776,60371,1929
2020-08-16,4303442,93638,1996755,2235250,71437,-358,23738,61129,1954
2020-08-17,4390262,93280,2020492,2296379,73391,-438,22656,61856,1977
2020-08-18,4476751,92843,2043148,2358235,75368,-516,21535,62550,1999
2020-08-19,4562835,92327,2064683,2420785,77367,-591,20376,63209,2020
2020-08-20,4648440,91736,2085059,2483994,79387,-665,19184,63833,2040
2020-08-21,4733498,91071,2104244,2547827,81427,-735,17962,64420,2059
2020-08-22,4817939,90336,2122206,2612247,83486,-803,16713,64970,2076
2020-08-23,4901698,89534,2138919,2677217,85562,-867,15441,65482,2093
2020-08-24,4984713,88667,2154360,2742698,87655,-928,14149,65954,2108
2020-08-25,5066925,87738,2168509,2808653,89763,-986,12841,66387,2122
2020-08-26,5148276,86752,2181351,2875040,91885,-1040,11522,66781,2134
2020-08-27,5228712,85712,2192872,2941821,94019,-1091,10193,67133,2146
2020-08-28,5308183,84621,2203065,3008954,96164,-1138,8860,67445,2156
2020-08-29,5386644,83483,2211925,3076399,98320,-1181,7525,67717,2164
2020-08-30,5464050,82302,2219450,3144116,100484,-1221,6192,67947,2172
2020-08-31,5540360,81082,2225641,3212063,102656,-1256,4865,68137,2178
2020-09-01,5615538,79825,2230506,3280199,104833,-1288,3546,68285,2182
2020-09-02,5689553,78537,2234052,3348485,107016,-1317,2239,68394,2186
2020-09-03,5762372,77220,2236291,3416879,109202,-1342,948,68463,2188
2020-09-04,5833971,75879,2237239,3485342,111390,-1363,-326,68492,2189
2020-09-05,5904324,74516,2236913,3553833,113578,-1381,-1580,68482,2189
2020-09-06,5973415,73135,2235333,3622315,115767,-1395,-2810,68433,2187
2020-09-07,6041225,71739,2232523,3690748,117954,-1407,-4015,68347,2184
2020-09-08,6107742,70333,2228508,3759095,120139,-1415,-5193,68224,2180
2020-09-09,6172955,68918,2223316,3827320,122319,-1420,-6340,68065,2175
2020-09-10,6236854,67497,2216975,3895385,124494,-1423,-7457,67871,2169
2020-09-11,6299437,66074,2209518,3963256,126663,-1423,-8541,67643,2162
2020-09-12,6360701,64652,2200977,4030899,128825,-1420,-9590,67381,2153
2020-09-13,6420647,63232,2191387,4098281,130979,-1415,-10604,67088,2144
2020-09-14,6479274,61817,2180783,4165368,133123,-1408,-11581,66763,2134
2020-09-15,6536591,60409,2169202,4232132,135257,-1399,-12520,66409,2122
2020-09-16,6592601,59010,2156682,4298540,137379,-1387,-13422,66025,2110
2020-09-17,6647316,57623,2143261,4364566,139489,-1375,-14284,65615,2097
2020-09-18,6700743,56248,2128977,4430180,141586,-1360,-15107,65177,2083
2020-09-19,6752895,54888,2113869,4495357,143669,-1344,-15891,64715,2068
2020-09-20,6803787,53544,2097978,4560072,145737,-1327,-16635,64228,2053
2020-09-21,6853433,52217,2081343,4624300,147790,-1308,-17340,63719,2036
2020-09-22,6901848,50909,2064003,4688019,149826,-1289,-18005,63188,2019
2020-09-23,6949051,49620,2045998,4751207,151846,-1268,-18631,62637,2002
2020-09-24,6995059,48352,2027367,4813844,153848,-1247,-19219,62067,1984
2020-09-25,7039890,47105,2008148,4875911,155831,-1225,-19768,61478,1965
2020-09-26,7083566,45880,1988381,4937389,157796,-1203,-20279,60873,1945
2020-09-27,7126106,44677,1968102,4998262,159742,-1179,-20753,60252,1926
2020-09-28,7167529,43498,1947348,5058514,161667,-1156,-21191,59617,1905
2020-09-29,7207861,42342,1926157,5118131,163573,-1132,-21594,58968,1885
2020-09-30,7247119,41209,1904563,5177099,165457,-1108,-21961,58307,1863
2020-10-01,7285329,40101,1882602,5235406,167321,-1084,-22295,57635,1842
2020-10-02,7322510,39017,1860307,5293040,169163,-1060,-22596,56952,1820
2020-10-03,7358687,37958,1837712,5349992,170983,-1035,-22864,56260,1798
2020-10-04,7393882,36922,1814848,5406253,172781,-1011,-23102,55560,1776
2020-10-05,7428115,35911,1791746,5461813,174556,-987,-23310,54853,1753
2020-10-06,7461412,34924,1768436,5516666,176310,-963,-23488,54140,1730
2020-10-07,7493794,33961,1744948,5570806,178040,-939,-23639,53420,1707
2020-10-08,7525282,33022,1721309,5624226,179747,-915,-23763,52697,1684
2020-10-09,7555900,32107,1697546,5676923,181431,-892,-23861,51969,1661
2020-10-10,7585669,31214,1673685,5728892,183092,-869,-23934,51239,1638
2020-10-11,7614611,30345,1649750,5780131,184730,-846,-23984,50506,1614
2020-10-12,7642747,29499,1625766,5830637,186344,-824,-24011,49772,1591
2020-10-13,7670099,28675,1601755,5880409,187935,-802,-24016,49037,1567
2020-10-14,7696686,27873,1577739,5929445,189502,-780,-24001,48301,1544
2020-10-15,7722530,27093,1553738,5977747,191045,-759,-23966,47567,1520
2020-10-16,7747652,26334,1529772,6025314,192566,-738,-23913,46833,1497
2020-10-17,7772067,25596,1505859,6072146,194062,-718,-23842,46101,1473
2020-10-18,7795800,24878,1482017,6118247,195536,-698,-23754,45371,1450
2020-10-19,7818867,24181,1458263,6163618,196986,-678,-23650,44644,1427
2020-10-20,7841288,23503,1434613,6208262,198413,-659,-23532,43920,1404
2020-10-21,7863079,22844,1411081,6252182,199816,-640,-23399,43199,1381
2020-10-22,7884260,22203,1387682,6295381,201197,-622,-23254,42483,1358
2020-10-23,7904847,21581,1364428,6337864,202555,-604,-23096,41771,1335
2020-10-24,7924857,20977,1341332,6379635,203890,-587,-22927,41064,1312
2020-10-25,7944307,20390,1318406,6420699,205202,-570,-22746,40362,1290
2020-10-26,7963212,19820,1295659,6461061,206492,-554,-22556,39666,1268
2020-10-27,7981590,19266,1273103,6500727,207760,-538,-22357,38975,1246
2020-10-28,7999453,18729,1250746,6539702,209005,-522,-22149,38291,1224
2020-10-29,8016819,18207,1228597,6577993,210229,-507,-21933,37613,1202
2020-10-30,8033700,17700,1206663,6615606,211431,-492,-21710,36941,1181
2020-10-31,8050112,17208,1184953,6652547,212612,-478,-21481,36277,1159
2020-11-01,8066066,16730,1163472,6688823,213771,-464,-21245,35619,1138
2020-11-02,8081578,16267,1142227,6724442,214909,-450,-21004,34969,1118
2020-11-03,8096662,15817,1121224,6759411,216027,-437,-20757,34326,1097
2020-11-04,8111326,15380,1100466,6793736,217124,-424,-20507,33690,1077
2020-11-05,8125586,14955,1079959,6827426,218201,-412,-20252,33062,1057
2020-11-06,8139453,14544,1059707,6860489,219257,-400,-19994,32442,1037
2020-11-07,8152938,14144,1039713,6892931,220294,-388,-19733,31830,1017
2020-11-08,8166051,13756,1019979,6924761,221311,-377,-19470,31226,998
2020-11-09,8178806,13379,1000510,6955987,222309,-366,-19204,30630,979
2020-11-10,8191211,13013,981306,6986617,223288,-355,-18936,30042,960
2020-11-11,8203276,12658,962369,7016659,224248,-345,-18667,29462,942
2020-11-12,8215013,12313,943702,7046121,225190,-335,-18397,28891,923
2020-11-13,8226430,11979,925305,7075012,226113,-325,-18126,28328,905
2020-11-14,8237538,11654,907179,7103340,227019,-315,-17855,27773,888
2020-11-15,8248342,11338,889324,7131112,227906,-306,-17583,27226,870
