Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-05-23,338423,23053,195615,138957,3851,3472,7629,7917,219
2020-05-24,354188,26525,203244,146873,4071,1825,9686,8226,228
2020-05-25,372327,28350,212929,155099,4299,1504,10531,8618,239
2020-05-26,391716,29854,223461,163717,4538,1482,11122,9044,251
2020-05-27,412131,31336,234582,172761,4788,1529,11672,9494,263
2020-05-28,433560,32865,246254,182254,5052,1593,12232,9966,276
2020-05-29,456036,34458,258487,192221,5328,1663,12813,10461,290
2020-05-30,479600,36121,271300,202682,5618,1737,13418,10980,304
2020-05-31,504301,37858,284717,213662,5922,1813,14047,11523,319
2020-06-01,530191,39671,298764,225185,6242,1892,14703,12092,335
2020-06-02,557322,41564,313468,237277,6577,1974,15386,12687,352
2020-06-03,585744,43538,328853,249963,6928,2059,16096,13309,369
2020-06-04,615519,45596,344949,263273,7297,2146,16834,13961,387
2020-06-05,646700,47742,361783,277233,7684,2235,17601,14642,406
2020-06-06,679349,49977,379384,291875,8090,2328,18398,15354,426
2020-06-07,713528,52305,397782,307230,8516,2422,19224,16099,446
2020-06-08,749297,54727,417006,323329,8962,2520,20081,16877,468
2020-06-09,786723,57247,437087,340206,9430,2620,20969,17690,490
2020-06-10,825871,59867,458056,357895,9920,2722,21889,18538,514
2020-06-11,866813,62589,479945,376434,10434,2826,22839,19424,538
2020-06-12,909614,65415,502784,395858,10972,2933,23822,20349,564
2020-06-13,954349,68348,526606,416207,11536,3041,24837,21313,591
2020-06-14,1001089,71389,551443,437519,12127,3151,25884,22318,619
2020-06-15,1049909,74540,577327,459837,12745,3263,26962,23365,648
2020-06-16,1100885,77803,604289,483203,13393,3376,28072,24457,678
2020-06-17,1154091,81178,632361,507659,14071,3490,29213,25593,709
2020-06-18,1209606,84668,661574,533252,14780,3604,30384,26775,742
2020-06-19,1267507,88272,691958,560027,15522,3719,31585,28005,776
2020-06-20,1327874,91991,723543,588032,16299,3834,32815,29283,812
2020-06-21,1390783,95825,756358,617315,17110,3948,34072,30611,848
2020-06-22,1456315,99774,790430,647926,17959,4062,35355,31990,887
2020-06-23,1524545,103835,825784,679916,18845,4174,36662,33421,926
2020-06-24,1595555,108009,862446,713337,19772,4284,37991,34905,967
2020-06-25,1669419,112293,900438,748242,20739,4392,39341,36442,1010
2020-06-26,1746212,116685,939779,784684,21749,4496,40708,38035,1054
2020-06-27,1826008,121181,980486,822719,22803,4597,42089,39682,1100
2020-06-28,1908880,125777,1022576,862401,23903,4693,43482,41385,1147
2020-06-29,1994894,130470,1066058,903786,25050,4784,44883,43145,1196
2020-06-30,2084118,135254,1110940,946932,26246,4869,46287,44962,1246
2020-07-01,2176614,140123,1157228,991893,27493,4947,47692,46835,1298
2020-07-02,2272438,145070,1204919,1038728,28791,5018,49091,48765,1352
2020-07-03,2371646,150087,1254010,1087494,30142,5080,50480,50752,1407
2020-07-04,2474286,155167,1304491,1138246,31549,5133,51855,52795,1463
2020-07-05,2580398,160300,1356345,1191041,33012,5176,53208,54894,1522
2020-07-06,2690023,165476,1409554,1245935,34534,5208,54535,57047,1581
2020-07-07,2803185,170684,1464088,1302982,36115,5228,55828,59254,1642
2020-07-08,2919909,175912,1519916,1362236,37757,5236,57081,61514,1705
2020-07-09,3040209,181148,1576997,1423750,39462,5230,58287,63824,1769
2020-07-10,3164090,186377,1635285,1487574,41231,5209,59439,66183,1834
2020-07-11,3291547,191587,1694724,1553757,43066,5174,60529,68589,1901
2020-07-12,3422565,196761,1755253,1622345,44967,5123,61550,71038,1969
2020-07-13,3557123,201884,1816804,1693383,46936,5056,62494,73529,2038
2020-07-14,3695185,206940,1879298,1766913,48974,4972,63352,76059,2108
2020-07-15,3836703,211913,1942650,1842971,51082,4871,64118,78623,2179
2020-07-16,3981623,216784,2006768,1921594,53261,4753,64782,81217,2251
2020-07-17,4129873,221537,2071550,2002811,55512,4616,65338,83839,2324
2020-07-18,4281375,226154,2136888,2086651,57836,4462,65777,86484,2397
2020-07-19,4436032,230616,2202665,2173134,60233,4290,66093,89146,2471
2020-07-20,4593743,234906,2268759,2262280,62704,4101,66278,91821,2545
2020-07-21,4754387,239007,2335037,2354101,65249,3894,66326,94503,2619
2020-07-22,4917835,242901,2401362,2448604,67869,3670,66230,97187,2694
2020-07-23,5083945,246570,2467592,2545791,70562,3430,65985,99868,2768
2020-07-24,5252565,250001,2533576,2645659,73330,3175,65586,102538,2842
2020-07-25,5423532,253175,2599162,2748198,76172,2905,65029,105193,2916
2020-07-26,5596670,256080,2664191,2853391,79088,2622,64311,107825,2989
2020-07-27,5771794,258702,2728502,2961215,82077,2326,63429,110427,3061
2020-07-28,5948710,261028,2791931,3071642,85137,2020,62382,112994,3132
2020-07-29,6127218,263049,2854312,3184637,88269,1705,61168,115519,3202
2020-07-30,6307108,264754,2915481,3300156,91471,1382,59790,117995,3270
2020-07-31,6488164,266135,2975271,3418151,94742,1052,58248,120415,3338
2020-08-01,6670163,267187,3033519,3538565,98079,718,56545,122772,3403
2020-08-02,6852883,267906,3090064,3661337,101482,382,54684,125060,3466
2020-08-03,7036094,268288,3144748,3786398,104948,45,52671,127274,3528
2020-08-04,7219566,268333,3197419,3913671,108476,-291,50511,129405,3587
2020-08-05,7403070,268041,3247930,4043077,112063,-625,48211,131450,3643
2020-08-06,7586372,267417,3296140,4174526,115706,-954,45778,133401,3697
2020-08-07,7769250,266463,3341919,4307927,119404,-1276,43222,135253,3749
2020-08-08,7951474,265187,3385141,4443180,123153,-1591,40552,137003,3797
2020-08-09,8132825,263596,3425692,4580183,126950,-1896,37777,138644,3843
2020-08-10,8313089,261700,3463469,4718827,130793,-2190,34909,140173,3885
2020-08-11,8492056,259510,3498378,4859000,134678,-2472,31959,141586,3924
2020-08-12,8669526,257038,3530338,5000586,138602,-2741,28940,142879,3960
2020-08-13,8845306,254297,3559278,5143465,142563,-2995,25862,144050,3993
2020-08-14,9019209,251302,3585139,5287515,146555,-3234,22738,145097,4022
