Date,Confirmed,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-05-09,9,0,9,0,0,1,-1,0,0
2020-05-10,8,1,8,0,0,1,0,0,0
2020-05-11,8,2,8,0,0,0,0,0,0
2020-05-12,8,2,8,0,0,0,0,0,0
2020-05-13,9,2,9,0,0,0,0,0,0
2020-05-14,9,2,9,0,0,0,0,0,0
2020-05-15,9,3,9,0,0,0,0,0,0
2020-05-16,9,3,9,0,0,0,0,0,0
2020-05-17,10,3,10,0,0,0,0,0,0
2020-05-18,10,3,10,0,0,0,0,0,0
2020-05-19,11,3,11,0,0,0,0,0,0
2020-05-20,11,3,11,0,0,0,0,0,0
2020-05-21,11,3,11,0,0,0,0,0,0
2020-05-22,12,3,12,0,0,0,0,0,0
2020-05-23,12,4,12,0,0,0,0,0,0
2020-05-24,13,4,13,0,0,0,1,0,0
2020-05-25,13,4,13,0,0,0,1,0,0
2020-05-26,14,4,14,0,0,0,1,0,0
2020-05-27,14,4,14,0,0,0,1,0,0
2020-05-28,15,4,15,0,0,0,1,0,0
2020-05-29,15,4,15,0,0,0,1,0,0
2020-05-30,16,5,16,0,0,0,1,0,0
2020-05-31,17,5,17,0,0,0,1,0,0
2020-06-01,17,5,17,0,0,0,1,0,0
2020-06-02,18,5,18,0,0,0,1,0,0
2020-06-03,19,5,19,0,0,0,1,0,0
2020-06-04,19,6,19,0,0,0,1,0,0
2020-06-05,20,6,20,0,0,0,1,0,0
2020-06-06,21,6,21,0,0,0,1,0,0
2020-06-07,22,6,22,0,0,0,1,0,0
2020-06-08,23,7,23,0,0,0,1,0,0
2020-06-09,24,7,24,0,0,0,1,0,0
2020-06-10,25,7,25,0,0,0,1,0,0
2020-06-11,25,7,25,0,0,0,1,0,0
2020-06-12,26,8,26,0,0,0,1,0,0
2020-06-13,27,8,27,0,0,0,1,0,0
2020-06-14,29,8,29,0,0,0,1,0,0
2020-06-15,30,9,30,0,0,0,1,0,0
2020-06-16,31,9,31,0,0,0,1,0,0
2020-06-17,32,9,32,0,0,0,1,0,0
2020-06-18,33,10,33,0,0,0,1,0,0
2020-06-19,35,10,35,0,0,0,1,0,0
2020-06-20,36,10,36,0,0,0,1,0,0
2020-06-21,37,11,37,0,0,0,1,0,0
2020-06-22,39,11,39,0,0,0,2,0,0
2020-06-23,40,12,40,0,0,0,2,0,0
2020-06-24,42,12,42,0,0,0,2,0,0
2020-06-25,43,12,43,0,0,0,2,0,0
2020-06-26,45,13,45,0,0,0,2,0,0
2020-06-27,47,13,47,0,0,1,2,0,0
2020-06-28,49,14,49,0,0,1,2,0,0
2020-06-29,51,14,51,0,0,1,2,0,0
2020-06-30,53,15,53,0,0,1,2,0,0
2020-07-01,55,16,55,0,0,1,2,0,0
2020-07-02,57,16,57,0,0,1,2,0,0
2020-07-03,59,17,59,0,0,1,2,0,0
2020-07-04,61,17,61,0,0,1,2,0,0
2020-07-05,64,18,64,0,0,1,2,0,0
2020-07-06,66,19,66,0,0,1,3,0,0
2020-07-07,69,20,69,0,0,1,3,0,0
2020-07-08,71,20,71,0,0,1,3,0,0
2020-07-09,74,21,74,0,0,1,3,0,0
2020-07-10,77,22,77,0,0,1,3,0,0
2020-07-11,80,23,80,0,0,1,3,0,0
2020-07-12,83,24,83,0,0,1,3,0,0
2020-07-13,86,25,86,0,0,1,3,0,0
2020-07-14,89,25,89,0,0,1,3,0,0
2020-07-15,93,26,93,0,0,1,4,0,0
2020-07-16,96,27,96,0,0,1,4,0,0
2020-07-17,100,28,100,0,0,1,4,0,0
2020-07-18,104,30,104,0,0,1,4,0,0
2020-07-19,108,31,108,0,0,1,4,0,0
2020-07-20,112,32,112,0,0,1,4,0,0
2020-07-21,116,33,116,0,0,1,4,0,0
2020-07-22,121,34,121,0,0,1,5,0,0
2020-07-23,125,36,125,0,0,1,5,0,0
2020-07-24,130,37,130,0,0,1,5,0,0
2020-07-25,135,38,135,0,0,1,5,0,0
2020-07-26,140,40,140,0,0,1,5,0,0
2020-07-27,145,41,145,0,0,2,5,0,0
2020-07-28,151,43,151,0,0,2,6,0,0
2020-07-29,157,44,157,0,0,2,6,0,0
2020-07-30,162,46,162,0,0,2,6,0,0
2020-07-31,169,48,169,0,0,2,6,0,0
2020-08-01,175,49,175,0,0,2,7,0,0
2020-08-02,181,51,181,0,0,2,7,0,0
2020-08-03,188,53,188,0,0,2,7,0,0
2020-08-04,195,55,195,0,0,2,7,0,0
2020-08-05,202,57,202,0,0,2,7,0,0
2020-08-06,210,59,210,0,0,2,8,0,0
2020-08-07,218,61,218,0,0,2,8,0,0
2020-08-08,226,63,226,0,0,2,8,0,0
2020-08-09,234,65,234,0,0,2,9,0,0
2020-08-10,243,68,243,0,0,2,9,0,0
2020-08-11,251,70,251,0,0,2,9,0,0
2020-08-12,261,73,261,0,0,3,9,0,0
2020-08-13,270,75,270,0,0,3,10,0,0
2020-08-14,280,78,280,0,0,3,10,0,0
2020-08-15,290,81,290,0,0,3,10,0,0
