Date,Confirmed,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-05-09,32,10,32,0,0,3,-2,0,0
2020-05-10,30,13,30,0,0,1,1,0,0
2020-05-11,31,15,31,0,0,1,1,0,0
2020-05-12,32,15,32,0,0,1,1,0,0
2020-05-13,33,16,33,0,0,1,1,0,0
2020-05-14,35,17,35,0,0,1,1,0,0
2020-05-15,36,17,36,0,0,1,1,0,0
2020-05-16,37,18,37,0,0,1,1,0,0
2020-05-17,39,18,39,0,0,1,1,0,0
2020-05-18,40,19,40,0,0,1,2,0,0
2020-05-19,42,20,42,0,0,1,2,0,0
2020-05-20,43,21,43,0,0,1,2,0,0
2020-05-21,45,21,45,0,0,1,2,0,0
2020-05-22,47,22,47,0,0,1,2,0,0
2020-05-23,49,23,49,0,0,1,2,0,0
2020-05-24,50,24,50,0,0,1,2,0,0
2020-05-25,52,25,52,0,0,1,2,0,0
2020-05-26,54,26,54,0,0,1,2,0,0
2020-05-27,56,27,56,0,0,1,2,0,0
2020-05-28,58,28,58,0,0,1,2,0,0
2020-05-29,61,29,61,0,0,1,2,0,0
2020-05-30,63,30,63,0,0,1,2,0,0
2020-05-31,65,31,65,0,0,1,2,0,0
2020-06-01,67,32,67,0,0,1,2,0,0
2020-06-02,70,33,70,0,0,1,3,0,0
2020-06-03,72,34,72,0,0,1,3,0,0
2020-06-04,75,35,75,0,0,1,3,0,0
2020-06-05,78,37,78,0,0,1,3,0,0
2020-06-06,80,38,80,0,0,1,3,0,0
2020-06-07,83,39,83,0,0,1,3,0,0
2020-06-08,86,41,86,0,0,1,3,0,0
2020-06-09,89,42,89,0,0,1,3,0,0
2020-06-10,92,43,92,0,0,1,3,0,0
2020-06-11,96,45,96,0,0,1,3,0,0
2020-06-12,99,46,99,0,0,2,3,0,0
2020-06-13,102,48,102,0,0,2,3,0,0
2020-06-14,106,49,106,0,0,2,4,0,0
2020-06-15,109,51,109,0,0,2,4,0,0
2020-06-16,113,52,113,0,0,2,4,0,0
2020-06-17,116,54,116,0,0,2,4,0,0
2020-06-18,120,56,120,0,0,2,4,0,0
2020-06-19,124,58,124,0,0,2,4,0,0
2020-06-20,128,59,128,0,0,2,4,0,0
2020-06-21,132,61,132,0,0,2,4,0,0
2020-06-22,136,63,136,0,0,2,4,0,0
2020-06-23,140,65,140,0,0,2,4,0,0
2020-06-24,144,67,144,0,0,2,4,0,0
2020-06-25,149,68,149,0,0,2,4,0,0
2020-06-26,153,70,153,0,0,2,4,0,0
2020-06-27,158,72,158,0,0,2,5,0,0
2020-06-28,162,74,162,0,0,2,5,0,0
2020-06-29,167,76,167,0,0,2,5,0,0
2020-06-30,171,78,171,0,0,2,5,0,0
2020-07-01,176,80,176,0,0,2,5,0,0
2020-07-02,181,82,181,0,0,2,5,0,0
