Date,Confirmed,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-05-06,83970,443,404,78914,4652,1,-38,41,2
2020-05-07,83975,444,366,78954,4655,0,-34,37,2
2020-05-08,83979,444,331,78991,4657,0,-31,33,2
2020-05-09,83983,444,300,79024,4659,-1,-27,30,2
2020-05-10,83988,443,273,79054,4661,-1,-25,27,2
2020-05-11,83991,442,248,79081,4662,-1,-22,25,1
2020-05-12,83996,441,226,79106,4664,-2,-20,23,1
2020-05-13,84001,439,207,79129,4665,-2,-18,21,1
2020-05-14,84005,438,189,79150,4666,-2,-16,19,1
2020-05-15,84010,436,174,79169,4667,-2,-14,17,1
2020-05-16,84013,434,159,79186,4668,-2,-13,16,1
2020-05-17,84018,431,147,79202,4669,-2,-11,15,1
2020-05-18,84023,429,136,79217,4670,-3,-10,14,1
2020-05-19,84026,426,125,79230,4671,-3,-9,13,1
2020-05-20,84031,424,116,79243,4672,-3,-8,12,1
2020-05-21,84036,421,108,79255,4673,-3,-7,11,1
2020-05-22,84040,418,101,79266,4673,-3,-7,10,1
2020-05-23,84044,415,94,79276,4674,-3,-6,9,1
2020-05-24,84048,412,89,79285,4674,-3,-5,9,1
2020-05-25,84052,409,83,79294,4675,-3,-5,8,0
2020-05-26,84056,406,79,79302,4675,-3,-4,8,0
2020-05-27,84060,403,74,79310,4676,-3,-4,7,0
2020-05-28,84064,400,70,79318,4676,-3,-3,7,0
2020-05-29,84069,397,67,79325,4677,-3,-3,7,0
2020-05-30,84073,394,64,79332,4677,-3,-3,6,0
2020-05-31,84076,391,61,79338,4677,-3,-3,6,0
2020-06-01,84080,388,58,79344,4678,-3,-2,6,0
2020-06-02,84084,384,56,79350,4678,-3,-2,6,0
2020-06-03,84088,381,54,79356,4678,-3,-2,5,0
2020-06-04,84092,378,52,79361,4679,-3,-2,5,0
2020-06-05,84095,375,50,79366,4679,-3,-2,5,0
2020-06-06,84099,372,49,79371,4679,-3,-1,5,0
2020-06-07,84103,369,47,79376,4680,-3,-1,5,0
2020-06-08,84107,366,46,79381,4680,-3,-1,5,0
2020-06-09,84110,363,45,79385,4680,-3,-1,4,0
2020-06-10,84115,360,44,79390,4681,-3,-1,4,0
2020-06-11,84118,357,43,79394,4681,-3,-1,4,0
2020-06-12,84122,354,42,79399,4681,-3,-1,4,0
2020-06-13,84125,351,41,79403,4681,-3,-1,4,0
2020-06-14,84129,348,40,79407,4682,-3,-1,4,0
2020-06-15,84132,345,39,79411,4682,-3,-1,4,0
2020-06-16,84135,342,38,79415,4682,-3,-1,4,0
2020-06-17,84139,339,38,79419,4682,-3,-1,4,0
2020-06-18,84141,336,37,79422,4682,-3,-1,4,0
2020-06-19,84146,333,37,79426,4683,-3,-1,4,0
2020-06-20,84149,330,36,79430,4683,-3,-1,4,0
2020-06-21,84151,327,35,79433,4683,-3,0,4,0
2020-06-22,84155,324,35,79437,4683,-3,0,4,0
2020-06-23,84158,322,35,79440,4683,-3,0,3,0
2020-06-24,84162,319,34,79444,4684,-3,0,3,0
2020-06-25,84165,316,34,79447,4684,-3,0,3,0
2020-06-26,84168,313,33,79451,4684,-3,0,3,0
2020-06-27,84171,311,33,79454,4684,-3,0,3,0
2020-06-28,84173,308,32,79457,4684,-3,0,3,0
2020-06-29,84178,305,32,79461,4685,-3,0,3,0
2020-06-30,84181,303,32,79464,4685,-3,0,3,0
2020-07-01,84183,300,31,79467,4685,-3,0,3,0
2020-07-02,84186,297,31,79470,4685,-3,0,3,0
2020-07-03,84189,295,31,79473,4685,-3,0,3,0
2020-07-04,84192,292,30,79476,4686,-3,0,3,0
2020-07-05,84195,290,30,79479,4686,-3,0,3,0
2020-07-06,84198,287,30,79482,4686,-2,0,3,0
2020-07-07,84201,285,30,79485,4686,-2,0,3,0
2020-07-08,84203,282,29,79488,4686,-2,0,3,0
2020-07-09,84206,280,29,79491,4686,-2,0,3,0
2020-07-10,84210,277,29,79494,4687,-2,0,3,0
2020-07-11,84212,275,28,79497,4687,-2,0,3,0
2020-07-12,84215,273,28,79500,4687,-2,0,3,0
2020-07-13,84218,270,28,79503,4687,-2,0,3,0
2020-07-14,84221,268,28,79506,4687,-2,0,3,0
2020-07-15,84222,266,27,79508,4687,-2,0,3,0
2020-07-16,84226,263,27,79511,4688,-2,0,3,0
2020-07-17,84229,261,27,79514,4688,-2,0,3,0
2020-07-18,84231,259,27,79516,4688,-2,0,3,0
2020-07-19,84233,257,26,79519,4688,-2,0,3,0
2020-07-20,84236,254,26,79522,4688,-2,0,3,0
2020-07-21,84238,252,26,79524,4688,-2,0,3,0
2020-07-22,84242,250,26,79527,4689,-2,0,3,0
2020-07-23,84244,248,25,79530,4689,-2,0,3,0
2020-07-24,84246,246,25,79532,4689,-2,0,3,0
2020-07-25,84249,243,25,79535,4689,-2,0,3,0
2020-07-26,84251,241,25,79537,4689,-2,0,2,0
2020-07-27,84254,239,25,79540,4689,-2,0,2,0
2020-07-28,84255,237,24,79542,4689,-2,0,2,0
