Date,Confirmed,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-05-07,1133,629,331,775,27,20,-11,24,1
2020-05-08,1147,649,320,799,28,18,-10,23,1
2020-05-09,1161,667,310,822,29,17,-9,23,1
2020-05-10,1176,683,301,845,30,15,-8,22,1
2020-05-11,1190,699,294,866,30,14,-7,21,1
2020-05-12,1206,713,287,888,31,13,-6,21,1
2020-05-13,1222,726,281,909,32,12,-5,20,1
2020-05-14,1238,739,276,929,33,12,-5,20,1
2020-05-15,1253,750,271,949,33,11,-4,20,1
2020-05-16,1270,761,267,969,34,10,-3,19,1
2020-05-17,1287,772,264,988,35,10,-3,19,1
2020-05-18,1303,781,261,1007,35,9,-3,19,1
2020-05-19,1320,790,258,1026,36,9,-2,19,1
2020-05-20,1338,799,256,1045,37,8,-2,19,1
2020-05-21,1355,807,254,1064,37,8,-1,18,1
2020-05-22,1373,815,253,1082,38,8,-1,18,1
2020-05-23,1391,823,252,1100,39,7,-1,18,1
2020-05-24,1409,830,251,1119,39,7,-1,18,1
2020-05-25,1427,837,250,1137,40,7,0,18,1
2020-05-26,1445,844,249,1155,41,7,0,18,1
2020-05-27,1463,851,249,1173,41,6,0,18,1
2020-05-28,1482,857,249,1191,42,6,0,18,1
2020-05-29,1501,864,249,1209,43,6,0,18,1
2020-05-30,1519,870,249,1227,43,6,0,18,1
2020-05-31,1539,876,249,1246,44,6,0,18,1
2020-06-01,1558,882,250,1264,44,6,0,18,1
2020-06-02,1577,888,250,1282,45,6,1,18,1
2020-06-03,1597,894,251,1300,46,6,1,18,1
2020-06-04,1616,899,252,1318,46,6,1,18,1
2020-06-05,1636,905,252,1337,47,6,1,18,1
2020-06-06,1656,911,253,1355,48,6,1,18,1
2020-06-07,1675,916,254,1373,48,6,1,18,1
2020-06-08,1696,922,255,1392,49,6,1,19,1
2020-06-09,1716,927,256,1410,50,5,1,19,1
2020-06-10,1736,933,257,1429,50,5,1,19,1
2020-06-11,1756,938,258,1447,51,5,1,19,1
2020-06-12,1777,944,259,1466,52,5,1,19,1
2020-06-13,1797,949,260,1485,52,5,1,19,1
2020-06-14,1818,955,261,1504,53,5,1,19,1
2020-06-15,1840,960,263,1523,54,5,1,19,1
2020-06-16,1860,966,264,1542,54,5,1,19,1
2020-06-17,1881,971,265,1561,55,5,1,19,1
2020-06-18,1903,977,266,1581,56,5,1,19,1
2020-06-19,1924,982,268,1600,56,5,1,19,1
2020-06-20,1945,988,269,1619,57,5,1,20,1
2020-06-21,1967,993,270,1639,58,6,1,20,1
2020-06-22,1989,999,272,1659,58,6,1,20,1
2020-06-23,2010,1004,273,1678,59,6,1,20,1
2020-06-24,2033,1010,275,1698,60,6,1,20,1
2020-06-25,2054,1015,276,1718,60,6,1,20,1
2020-06-26,2076,1021,277,1738,61,6,1,20,1
2020-06-27,2099,1026,279,1758,62,6,1,20,1
2020-06-28,2122,1032,280,1779,63,6,1,20,1
2020-06-29,2144,1038,282,1799,63,6,1,20,1
2020-06-30,2166,1043,283,1819,64,6,2,21,1
2020-07-01,2190,1049,285,1840,65,6,2,21,1
2020-07-02,2212,1055,286,1861,65,6,2,21,1
2020-07-03,2236,1061,288,1882,66,6,2,21,1
2020-07-04,2258,1066,289,1902,67,6,2,21,1
2020-07-05,2282,1072,291,1923,68,6,2,21,1
2020-07-06,2306,1078,293,1945,68,6,2,21,1
2020-07-07,2329,1084,294,1966,69,6,2,21,1
2020-07-08,2353,1090,296,1987,70,6,2,21,1
2020-07-09,2377,1096,297,2009,71,6,2,22,1
2020-07-10,2400,1102,299,2030,71,6,2,22,1
2020-07-11,2424,1108,300,2052,72,6,2,22,1
2020-07-12,2449,1114,302,2074,73,6,2,22,1
2020-07-13,2474,1120,304,2096,74,6,2,22,1
2020-07-14,2498,1126,305,2118,75,6,2,22,1
2020-07-15,2522,1132,307,2140,75,6,2,22,1
2020-07-16,2547,1138,309,2162,76,6,2,22,1
2020-07-17,2572,1144,310,2185,77,6,2,23,1
2020-07-18,2597,1150,312,2207,78,6,2,23,1
2020-07-19,2622,1157,314,2230,78,6,2,23,1
2020-07-20,2647,1163,315,2253,79,6,2,23,1
2020-07-21,2673,1169,317,2276,80,6,2,23,1
2020-07-22,2699,1175,319,2299,81,6,2,23,1
2020-07-23,2725,1182,321,2322,82,6,2,23,1
2020-07-24,2750,1188,322,2345,83,6,2,23,1
2020-07-25,2776,1195,324,2369,83,6,2,24,1
2020-07-26,2802,1201,326,2392,84,6,2,24,1
2020-07-27,2828,1208,327,2416,85,7,2,24,1
2020-07-28,2855,1214,329,2440,86,7,2,24,1
2020-07-29,2882,1221,331,2464,87,7,2,24,1
2020-07-30,2909,1227,333,2488,88,7,2,24,1
2020-07-31,2935,1234,335,2512,88,7,2,24,1
2020-08-01,2961,1241,336,2536,89,7,2,24,1
2020-08-02,2989,1247,338,2561,90,7,2,25,1
2020-08-03,3016,1254,340,2585,91,7,2,25,1
2020-08-04,3044,1261,342,2610,92,7,2,25,1
2020-08-05,3072,1268,344,2635,93,7,2,25,1
2020-08-06,3100,1274,346,2660,94,7,2,25,1
2020-08-07,3127,1281,348,2685,94,7,2,25,1
2020-08-08,3154,1288,349,2710,95,7,2,25,1
2020-08-09,3182,1295,351,2735,96,7,2,26,1
2020-08-10,3211,1302,353,2761,97,7,2,26,1
2020-08-11,3240,1309,355,2787,98,7,2,26,1
2020-08-12,3268,1316,357,2812,99,7,2,26,1
2020-08-13,3297,1323,359,2838,100,7,2,26,1
2020-08-14,3326,1330,361,2864,101,7,2,26,1
2020-08-15,3356,1338,363,2891,102,7,2,26,1
2020-08-16,3385,1345,365,2917,103,7,2,27,1
2020-08-17,3415,1352,367,2944,104,7,2,27,1
2020-08-18,3444,1359,369,2970,105,7,2,27,1
2020-08-19,3473,1367,371,2997,105,7,2,27,1
2020-08-20,3503,1374,373,3024,106,7,2,27,1
2020-08-21,3533,1382,375,3051,107,7,2,27,1
2020-08-22,3563,1389,377,3078,108,7,2,27,1
2020-08-23,3594,1396,379,3106,109,8,2,28,1
2020-08-24,3624,1404,381,3133,110,8,2,28,1
2020-08-25,3655,1412,383,3161,111,8,2,28,1
2020-08-26,3686,1419,385,3189,112,8,2,28,1
2020-08-27,3717,1427,387,3217,113,8,2,28,1
2020-08-28,3748,1434,389,3245,114,8,2,28,1
2020-08-29,3779,1442,391,3273,115,8,2,28,1
2020-08-30,3810,1450,393,3301,116,8,2,29,1
2020-08-31,3842,1458,395,3330,117,8,2,29,1
2020-09-01,3875,1466,398,3359,118,8,2,29,1
2020-09-02,3907,1473,400,3388,119,8,2,29,1
2020-09-03,3939,1481,402,3417,120,8,2,29,1
2020-09-04,3971,1489,404,3446,121,8,2,29,1
2020-09-05,4003,1497,406,3475,122,8,2,30,1
2020-09-06,4036,1505,408,3505,123,8,2,30,1
2020-09-07,4069,1513,411,3534,124,8,2,30,1
2020-09-08,4102,1522,413,3564,125,8,2,30,1
2020-09-09,4136,1530,415,3594,127,8,2,30,1
2020-09-10,4169,1538,417,3624,128,8,2,30,1
2020-09-11,4203,1546,419,3655,129,8,2,30,1
2020-09-12,4237,1555,422,3685,130,8,2,31,1
2020-09-13,4271,1563,424,3716,131,8,2,31,1
2020-09-14,4305,1571,426,3747,132,8,2,31,1
2020-09-15,4340,1580,429,3778,133,8,2,31,1
2020-09-16,4374,1588,431,3809,134,9,2,31,1
2020-09-17,4408,1597,433,3840,135,9,2,31,1
2020-09-18,4444,1605,436,3872,136,9,2,32,1
2020-09-19,4478,1614,438,3903,137,9,2,32,1
2020-09-20,4513,1623,440,3935,138,9,2,32,1
2020-09-21,4550,1631,443,3967,140,9,2,32,1
2020-09-22,4585,1640,445,3999,141,9,2,32,1
2020-09-23,4620,1649,447,4031,142,9,2,33,1
2020-09-24,4657,1658,450,4064,143,9,2,33,1
2020-09-25,4693,1666,452,4097,144,9,2,33,1
2020-09-26,4730,1675,455,4130,145,9,2,33,1
2020-09-27,4767,1684,457,4163,147,9,2,33,1
2020-09-28,4803,1693,459,4196,148,9,2,33,1
2020-09-29,4840,1702,462,4229,149,9,2,34,1
2020-09-30,4877,1712,464,4263,150,9,2,34,1
2020-10-01,4914,1721,467,4296,151,9,3,34,1
2020-10-02,4951,1730,469,4330,152,9,3,34,1
2020-10-03,4991,1739,472,4365,154,9,3,34,1
2020-10-04,5028,1748,474,4399,155,9,3,34,1
2020-10-05,5066,1758,477,4433,156,9,3,35,1
2020-10-06,5105,1767,480,4468,157,9,3,35,1
2020-10-07,5143,1777,482,4503,158,9,3,35,1
2020-10-08,5183,1786,485,4538,160,10,3,35,1
2020-10-09,5221,1796,487,4573,161,10,3,35,1
2020-10-10,5260,1805,490,4608,162,10,3,36,1
2020-10-11,5300,1815,493,4644,163,10,3,36,1
